Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-13T05:18:17.136390900
Total Errors: 611

Failed to fetch stock price for symbol: PDD
Failed to fetch stock price for symbol: OPRX
Failed to fetch stock price for symbol: PDM
Failed to fetch stock price for symbol: OZK
Failed to fetch stock price for symbol: PGRE
Failed to fetch stock price for symbol: MCRB
Failed to fetch stock price for symbol: PKST
Failed to fetch stock price for symbol: PFLT
Failed to fetch stock price for symbol: PLRX
Failed to fetch stock price for symbol: PHR
Failed to fetch stock price for symbol: PYXS
Failed to fetch stock price for symbol: PWR
Failed to fetch stock price for symbol: PRAX
Failed to fetch stock price for symbol: PXLW
Failed to fetch stock price for symbol: PRTH
Failed to fetch stock price for symbol: QNCX
Failed to fetch stock price for symbol: RCL
Failed to fetch stock price for symbol: QIPT
Failed to fetch stock price for symbol: VVPR
Failed to fetch stock price for symbol: RRC
Failed to fetch stock price for symbol: WRAP
Failed to fetch stock price for symbol: RNG
Failed to fetch stock price for symbol: WBX
Failed to fetch stock price for symbol: VGZ
Failed to fetch stock price for symbol: VG
Failed to fetch stock price for symbol: SBS
Failed to fetch stock price for symbol: UP
Failed to fetch stock price for symbol: UMC
Failed to fetch stock price for symbol: SCVL
Failed to fetch stock price for symbol: SCHW
Failed to fetch stock price for symbol: SMR
Failed to fetch stock price for symbol: SLGN
Failed to fetch stock price for symbol: SST
Failed to fetch stock price for symbol: SIEB
Failed to fetch stock price for symbol: SMCI
Missing latest annual statements for BRR: No annual cash flow found
Failed to fetch stock price for symbol: SUN
Failed to fetch stock price for symbol: SNDK
Failed to fetch stock price for symbol: SNV
Failed to fetch stock price for symbol: SNPS
Failed to fetch stock price for symbol: SNBR
Failed to fetch stock price for symbol: SPB
Failed to fetch stock price for symbol: SERV
Failed to fetch stock price for symbol: SGML
Failed to fetch stock price for symbol: SKYH
Failed to fetch stock price for symbol: SEPN
Failed to fetch stock price for symbol: TFX
Failed to fetch stock price for symbol: SRTS
Failed to fetch stock price for symbol: STNG
Failed to fetch stock price for symbol: SRRK
Failed to fetch stock price for symbol: SW
Failed to fetch stock price for symbol: STGW
Failed to fetch stock price for symbol: SSTI
Failed to fetch stock price for symbol: STRZ
Failed to fetch stock price for symbol: STLD
Failed to fetch stock price for symbol: TFC
Failed to fetch stock price for symbol: TECH
Failed to fetch stock price for symbol: BBNX
Failed to fetch stock price for symbol: SWX
Failed to fetch stock price for symbol: TE
Failed to fetch stock price for symbol: SY
Failed to fetch stock price for symbol: TEF
Failed to fetch stock price for symbol: TAC
Failed to fetch stock price for symbol: QUBT
Failed to fetch stock price for symbol: SCYX
Failed to fetch stock price for symbol: TDW
