Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-14T11:55:51.859828600
Total Errors: 1771

Missing or empty price for symbol: OPRX | Quote: {}
Missing or empty price for symbol: PDM | Quote: {}
Missing or empty price for symbol: ORLY | Quote: {}
Missing or empty price for symbol: OSCR | Quote: {}
Missing or empty price for symbol: OXY | Quote: {}
Missing or empty price for symbol: OTEX | Quote: {}
Missing or empty price for symbol: ORMP | Quote: {}
Missing or empty price for symbol: PAGP | Quote: {}
Missing or empty price for symbol: PAGS | Quote: {}
Missing or empty price for symbol: OPRT | Quote: {}
Missing or empty price for symbol: OR | Quote: {}
Missing or empty price for symbol: ORN | Quote: {}
Missing or empty price for symbol: OSW | Quote: {}
Missing or empty price for symbol: OSUR | Quote: {}
Missing or empty price for symbol: ORIC | Quote: {}
Missing or empty price for symbol: PASG | Quote: {}
Missing or empty price for symbol: PANL | Quote: {}
Missing or empty price for symbol: PHG | Quote: {}
Missing or empty price for symbol: PCTY | Quote: {}
Missing or empty price for symbol: PEGA | Quote: {}
Missing or empty price for symbol: RXRX | Quote: {}
Missing or empty price for symbol: PFBC | Quote: {}
Missing or empty price for symbol: WT | Quote: {}
Missing or empty price for symbol: PBH | Quote: {}
Missing or empty price for symbol: PDS | Quote: {}
Missing or empty price for symbol: PGR | Quote: {}
Missing or empty price for symbol: PENN | Quote: {}
Missing or empty price for symbol: PFGC | Quote: {}
Missing or empty price for symbol: QMCO | Quote: {}
Missing or empty price for symbol: ALT | Quote: {}
Missing or empty price for symbol: WTFC | Quote: {}
Missing or empty price for symbol: PGRE | Quote: {}
Missing or empty price for symbol: PBA | Quote: {}
Missing or empty price for symbol: PFSI | Quote: {}
Missing or empty price for symbol: WTBA | Quote: {}
Missing or empty price for symbol: CADL | Quote: {}
Missing or empty price for symbol: PEP | Quote: {}
Missing or empty price for symbol: PHIN | Quote: {}
Missing or empty price for symbol: WTS | Quote: {}
Missing or empty price for symbol: PPC | Quote: {}
Missing or empty price for symbol: PCOR | Quote: {}
Missing or empty price for symbol: POWI | Quote: {}
Missing or empty price for symbol: POOL | Quote: {}
Missing or empty price for symbol: PHR | Quote: {}
Missing or empty price for symbol: PCVX | Quote: {}
Missing or empty price for symbol: PNC | Quote: {}
Missing or empty price for symbol: PLAB | Quote: {}
Missing or empty price for symbol: PKST | Quote: {}
Missing or empty price for symbol: WIX | Quote: {}
Missing or empty price for symbol: WK | Quote: {}
Missing or empty price for symbol: PTLO | Quote: {}
Missing or empty price for symbol: PRLB | Quote: {}
Missing or empty price for symbol: QBTS | Quote: {}
Missing or empty price for symbol: PRCH | Quote: {}
Missing or empty price for symbol: PRM | Quote: {}
Missing or empty price for symbol: PTC | Quote: {}
Missing or empty price for symbol: WLDN | Quote: {}
Missing or empty price for symbol: BURU | Quote: {}
Missing or empty price for symbol: PRIM | Quote: {}
Missing or empty price for symbol: PTCT | Quote: {}
Missing or empty price for symbol: PUBM | Quote: {}
Missing or empty price for symbol: PRTA | Quote: {}
Missing or empty price for symbol: PSN | Quote: {}
Missing or empty price for symbol: QDEL | Quote: {}
Missing or empty price for symbol: RBA | Quote: {}
Missing or empty price for symbol: RAIL | Quote: {}
Missing or empty price for symbol: RCI | Quote: {}
Missing or empty price for symbol: RAPP | Quote: {}
Missing or empty price for symbol: QTRX | Quote: {}
Missing or empty price for symbol: RBBN | Quote: {}
Missing or empty price for symbol: RBLX | Quote: {}
Missing or empty price for symbol: WLK | Quote: {}
Missing or empty price for symbol: WM | Quote: {}
Missing or empty price for symbol: WMG | Quote: {}
Missing or empty price for symbol: QRHC | Quote: {}
Missing or empty price for symbol: XAIR | Quote: {}
Missing or empty price for symbol: REVG | Quote: {}
Missing or empty price for symbol: REPX | Quote: {}
Missing or empty price for symbol: RPAY | Quote: {}
Missing or empty price for symbol: WPM | Quote: {}
Missing or empty price for symbol: WS | Quote: {}
Missing or empty price for symbol: WSBF | Quote: {}
Missing or empty price for symbol: ROP | Quote: {}
Missing or empty price for symbol: WKSP | Quote: {}
Missing or empty price for symbol: RNG | Quote: {}
Missing or empty price for symbol: RSI | Quote: {}
Missing or empty price for symbol: RPD | Quote: {}
Missing or empty price for symbol: SBH | Quote: {}
Missing or empty price for symbol: RYN | Quote: {}
Missing or empty price for symbol: VFS | Quote: {}
Missing or empty price for symbol: SATS | Quote: {}
Missing or empty price for symbol: VRAR | Quote: {}
Missing or empty price for symbol: VOYG | Quote: {}
Missing or empty price for symbol: SBCF | Quote: {}
Missing or empty price for symbol: ULBI | Quote: {}
Missing or empty price for symbol: SCI | Quote: {}
Missing or empty price for symbol: SCHW | Quote: {}
Missing or empty price for symbol: SCVL | Quote: {}
Missing or empty price for symbol: TXMD | Quote: {}
Missing or empty price for symbol: UONEK | Quote: {}
Missing or empty price for symbol: UP | Quote: {}
Missing or empty price for symbol: TLYS | Quote: {}
Missing or empty price for symbol: TOON | Quote: {}
Missing or empty price for symbol: SEI | Quote: {}
Missing or empty price for symbol: SEZL | Quote: {}
Missing or empty price for symbol: SHBI | Quote: {}
Missing or empty price for symbol: SFIX | Quote: {}
Missing or empty price for symbol: SERA | Quote: {}
Missing or empty price for symbol: SKM | Quote: {}
Missing or empty price for symbol: SIGI | Quote: {}
Missing or empty price for symbol: SKYT | Quote: {}
Missing or empty price for symbol: SKWD | Quote: {}
Missing or empty price for symbol: SJT | Quote: {}
Missing or empty price for symbol: SKLZ | Quote: {}
Missing or empty price for symbol: TEO | Quote: {}
Missing or empty price for symbol: SMPL | Quote: {}
Missing or empty price for symbol: SLP | Quote: {}
Missing or empty price for symbol: SMRT | Quote: {}
Missing or empty price for symbol: SLDE | Quote: {}
Missing or empty price for symbol: SLVM | Quote: {}
Missing latest annual statements for BRR: No annual cash flow found
Missing or empty price for symbol: SIEB | Quote: {}
Missing or empty price for symbol: SMCI | Quote: {}
Missing or empty price for symbol: SURG | Quote: {}
Missing or empty price for symbol: SRL | Quote: {}
Missing or empty price for symbol: SOUN | Quote: {}
Missing or empty price for symbol: SPB | Quote: {}
Missing or empty price for symbol: SNDX | Quote: {}
Missing or empty price for symbol: SOLV | Quote: {}
Missing or empty price for symbol: SOC | Quote: {}
Missing or empty price for symbol: SOPH | Quote: {}
Missing or empty price for symbol: SNBR | Quote: {}
Missing or empty price for symbol: SMMT | Quote: {}
Missing or empty price for symbol: SGMT | Quote: {}
Missing or empty price for symbol: PRE | Quote: {}
Missing or empty price for symbol: SGLY | Quote: {}
Missing or empty price for symbol: SKYH | Quote: {}
Missing or empty price for symbol: TFX | Quote: {}
Missing or empty price for symbol: SSL | Quote: {}
Missing or empty price for symbol: STXS | Quote: {}
Missing or empty price for symbol: ST | Quote: {}
Missing or empty price for symbol: STZ | Quote: {}
Missing or empty price for symbol: SRPT | Quote: {}
Missing or empty price for symbol: STN | Quote: {}
Missing or empty price for symbol: STAG | Quote: {}
Missing or empty price for symbol: STLA | Quote: {}
Missing or empty price for symbol: SSD | Quote: {}
Missing or empty price for symbol: SU | Quote: {}
Missing or empty price for symbol: STRZ | Quote: {}
Missing or empty price for symbol: STX | Quote: {}
Missing or empty price for symbol: STLD | Quote: {}
Missing or empty price for symbol: TE | Quote: {}
Missing or empty price for symbol: TFC | Quote: {}
Missing or empty price for symbol: SCYX | Quote: {}
Missing or empty price for symbol: BBNX | Quote: {}
Missing or empty price for symbol: TEX | Quote: {}
Missing or empty price for symbol: TEAM | Quote: {}
Missing or empty price for symbol: TDW | Quote: {}
Missing or empty price for symbol: TECK | Quote: {}
Missing or empty price for symbol: TBBK | Quote: {}
Missing or empty price for symbol: QUBT | Quote: {}
Missing or empty price for symbol: TECH | Quote: {}
Missing or empty price for symbol: TEL | Quote: {}
Missing or empty price for symbol: TARS | Quote: {}
Missing or empty price for symbol: SYF | Quote: {}
Missing or empty price for symbol: SY | Quote: {}
Missing or empty price for symbol: SYRE | Quote: {}
Missing or empty price for symbol: SXC | Quote: {}
Missing or empty price for symbol: TPC | Quote: {}
Missing or empty price for symbol: TPVG | Quote: {}
Missing or empty price for symbol: TMCI | Quote: {}
Missing or empty price for symbol: TKR | Quote: {}
Missing or empty price for symbol: TRN | Quote: {}
Missing or empty price for symbol: TNL | Quote: {}
Missing or empty price for symbol: TPH | Quote: {}
Missing or empty price for symbol: TRMB | Quote: {}
Missing or empty price for symbol: THS | Quote: {}
Missing or empty price for symbol: TH | Quote: {}
Missing or empty price for symbol: TIPT | Quote: {}
Missing or empty price for symbol: TPG | Quote: {}
Missing or empty price for symbol: TOWN | Quote: {}
Missing or empty price for symbol: TTWO | Quote: {}
Missing or empty price for symbol: TRUP | Quote: {}
Missing or empty price for symbol: TRV | Quote: {}
Missing or empty price for symbol: TSLX | Quote: {}
Missing or empty price for symbol: TW | Quote: {}
Missing or empty price for symbol: TUSK | Quote: {}
Missing or empty price for symbol: UAA | Quote: {}
Missing or empty price for symbol: TTD | Quote: {}
Missing or empty price for symbol: TRTX | Quote: {}
Missing or empty price for symbol: TTEC | Quote: {}
Missing or empty price for symbol: DERM | Quote: {}
Missing or empty price for symbol: TTEK | Quote: {}
Missing or empty price for symbol: UBSI | Quote: {}
Missing or empty price for symbol: TSEM | Quote: {}
Missing or empty price for symbol: TXN | Quote: {}
Missing or empty price for symbol: U | Quote: {}
Missing or empty price for symbol: TROW | Quote: {}
Missing or empty price for symbol: TWO | Quote: {}
Missing or empty price for symbol: TROX | Quote: {}
Missing or empty price for symbol: UAL | Quote: {}
Missing or empty price for symbol: TUYA | Quote: {}
Missing or empty price for symbol: TSAT | Quote: {}
Missing or empty price for symbol: TSM | Quote: {}
Missing or empty price for symbol: UAMY | Quote: {}
Missing or empty price for symbol: UNH | Quote: {}
Missing or empty price for symbol: UPS | Quote: {}
Missing or empty price for symbol: ULTA | Quote: {}
Missing or empty price for symbol: URBN | Quote: {}
Missing or empty price for symbol: UMBF | Quote: {}
Missing or empty price for symbol: UUUU | Quote: {}
Missing or empty price for symbol: USB | Quote: {}
Missing or empty price for symbol: UROY | Quote: {}
Missing or empty price for symbol: UTHR | Quote: {}
Missing or empty price for symbol: UPBD | Quote: {}
Missing or empty price for symbol: VAL | Quote: {}
Missing or empty price for symbol: VANI | Quote: {}
Missing or empty price for symbol: VAC | Quote: {}
