Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-15T04:33:11.802561
Total Errors: 1916

Missing or empty price for symbol: OR | Quote: {}
Missing or empty price for symbol: PDLB | Quote: {}
Missing or empty price for symbol: ORIC | Quote: {}
Missing or empty price for symbol: OS | Quote: {}
Missing or empty price for symbol: OXSQ | Quote: {}
Missing or empty price for symbol: ORN | Quote: {}
Missing or empty price for symbol: ORLY | Quote: {}
Missing or empty price for symbol: OXY | Quote: {}
Missing or empty price for symbol: PAAS | Quote: {}
Missing or empty price for symbol: OPRX | Quote: {}
Missing or empty price for symbol: PAHC | Quote: {}
Missing or empty price for symbol: ORMP | Quote: {}
Missing or empty price for symbol: OTTR | Quote: {}
Missing or empty price for symbol: PD | Quote: {}
Missing or empty price for symbol: OTEX | Quote: {}
Missing or empty price for symbol: PDD | Quote: {}
Missing or empty price for symbol: PDM | Quote: {}
Missing or empty price for symbol: PEGA | Quote: {}
Missing or empty price for symbol: PHIN | Quote: {}
Missing or empty price for symbol: QMCO | Quote: {}
Missing or empty price for symbol: PEP | Quote: {}
Missing or empty price for symbol: ALT | Quote: {}
Missing or empty price for symbol: PEN | Quote: {}
Missing or empty price for symbol: WSO | Quote: {}
Missing or empty price for symbol: WTBA | Quote: {}
Missing or empty price for symbol: PFS | Quote: {}
Missing or empty price for symbol: MCRB | Quote: {}
Missing or empty price for symbol: CADL | Quote: {}
Missing or empty price for symbol: PENN | Quote: {}
Missing or empty price for symbol: WT | Quote: {}
Missing or empty price for symbol: PHG | Quote: {}
Missing or empty price for symbol: PKST | Quote: {}
Missing or empty price for symbol: PFLT | Quote: {}
Missing or empty price for symbol: PLBY | Quote: {}
Missing or empty price for symbol: PHM | Quote: {}
Missing or empty price for symbol: PNNT | Quote: {}
Missing or empty price for symbol: PINS | Quote: {}
Missing or empty price for symbol: PLAY | Quote: {}
Missing or empty price for symbol: PHR | Quote: {}
Missing or empty price for symbol: PM | Quote: {}
Missing or empty price for symbol: POWI | Quote: {}
Missing or empty price for symbol: PK | Quote: {}
Missing or empty price for symbol: PCOR | Quote: {}
Missing or empty price for symbol: POOL | Quote: {}
Missing or empty price for symbol: PL | Quote: {}
Missing or empty price for symbol: PKOH | Quote: {}
Missing or empty price for symbol: PLAB | Quote: {}
Missing or empty price for symbol: WK | Quote: {}
Missing or empty price for symbol: PNC | Quote: {}
Missing or empty price for symbol: WIX | Quote: {}
Missing or empty price for symbol: PRMB | Quote: {}
Missing or empty price for symbol: PR | Quote: {}
Missing or empty price for symbol: PWR | Quote: {}
Missing or empty price for symbol: PRIM | Quote: {}
Missing or empty price for symbol: PRDO | Quote: {}
Missing or empty price for symbol: PZZA | Quote: {}
Missing or empty price for symbol: PSFE | Quote: {}
Missing or empty price for symbol: SMWB | Quote: {}
Missing or empty price for symbol: QDEL | Quote: {}
Missing or empty price for symbol: PPTA | Quote: {}
Missing or empty price for symbol: PRM | Quote: {}
Missing or empty price for symbol: PSN | Quote: {}
Missing or empty price for symbol: PTCT | Quote: {}
Missing or empty price for symbol: PRTA | Quote: {}
Missing or empty price for symbol: PRCH | Quote: {}
Missing or empty price for symbol: PRQR | Quote: {}
Missing or empty price for symbol: PUK | Quote: {}
Missing or empty price for symbol: QSR | Quote: {}
Missing or empty price for symbol: WLK | Quote: {}
Missing or empty price for symbol: RBLX | Quote: {}
Missing or empty price for symbol: RCI | Quote: {}
Missing or empty price for symbol: RAPP | Quote: {}
Missing or empty price for symbol: RBBN | Quote: {}
Missing or empty price for symbol: QTRX | Quote: {}
Missing or empty price for symbol: QRHC | Quote: {}
Missing or empty price for symbol: WM | Quote: {}
Missing or empty price for symbol: RC | Quote: {}
Missing or empty price for symbol: WMB | Quote: {}
Missing or empty price for symbol: WMG | Quote: {}
Missing or empty price for symbol: QVCGA | Quote: {}
Missing or empty price for symbol: RAIL | Quote: {}
Missing or empty price for symbol: XAIR | Quote: {}
Missing or empty price for symbol: WU | Quote: {}
Missing or empty price for symbol: WTW | Quote: {}
Missing or empty price for symbol: WMS | Quote: {}
Missing or empty price for symbol: WW | Quote: {}
Missing or empty price for symbol: RSKD | Quote: {}
Missing or empty price for symbol: ROP | Quote: {}
Missing or empty price for symbol: RSI | Quote: {}
Missing or empty price for symbol: WSBF | Quote: {}
Missing or empty price for symbol: WRAP | Quote: {}
Missing or empty price for symbol: RPAY | Quote: {}
Missing or empty price for symbol: WSC | Quote: {}
Missing or empty price for symbol: VFS | Quote: {}
Missing or empty price for symbol: VINP | Quote: {}
Missing or empty price for symbol: SBDS | Quote: {}
Missing or empty price for symbol: SANM | Quote: {}
Missing or empty price for symbol: SCCO | Quote: {}
Missing or empty price for symbol: SATS | Quote: {}
Missing or empty price for symbol: VERI | Quote: {}
Missing or empty price for symbol: SB | Quote: {}
Missing or empty price for symbol: VOC | Quote: {}
Missing or empty price for symbol: SBH | Quote: {}
Missing or empty price for symbol: SBUX | Quote: {}
Missing or empty price for symbol: SBAC | Quote: {}
Missing or empty price for symbol: VG | Quote: {}
Missing or empty price for symbol: SCL | Quote: {}
Missing or empty price for symbol: SCI | Quote: {}
Missing or empty price for symbol: SCHW | Quote: {}
Missing or empty price for symbol: SCOR | Quote: {}
Missing or empty price for symbol: ULBI | Quote: {}
Missing or empty price for symbol: WOW | Quote: {}
Missing or empty price for symbol: WOR | Quote: {}
Missing or empty price for symbol: UMC | Quote: {}
Missing or empty price for symbol: UP | Quote: {}
Missing or empty price for symbol: UPXI | Quote: {}
Missing or empty price for symbol: TXMD | Quote: {}
Missing or empty price for symbol: TLYS | Quote: {}
Missing or empty price for symbol: FISV | Quote: {}
Missing or empty price for symbol: SEVN | Quote: {}
Missing or empty price for symbol: TRMD | Quote: {}
Missing or empty price for symbol: TOON | Quote: {}
Missing or empty price for symbol: TRAW | Quote: {}
Missing or empty price for symbol: SG | Quote: {}
Missing or empty price for symbol: TNYA | Quote: {}
Missing or empty price for symbol: SFL | Quote: {}
Missing or empty price for symbol: SFD | Quote: {}
Missing or empty price for symbol: SEIC | Quote: {}
Missing or empty price for symbol: SERA | Quote: {}
Missing or empty price for symbol: SF | Quote: {}
Missing or empty price for symbol: SGI | Quote: {}
Missing or empty price for symbol: SEI | Quote: {}
Missing or empty price for symbol: SHBI | Quote: {}
Missing or empty price for symbol: SIGI | Quote: {}
Missing or empty price for symbol: SJT | Quote: {}
Missing or empty price for symbol: SJM | Quote: {}
Missing or empty price for symbol: SHW | Quote: {}
Missing or empty price for symbol: SKM | Quote: {}
Missing or empty price for symbol: SIBN | Quote: {}
Missing or empty price for symbol: TASK | Quote: {}
Missing or empty price for symbol: SKE | Quote: {}
Missing or empty price for symbol: SITC | Quote: {}
Missing or empty price for symbol: SKIL | Quote: {}
Missing or empty price for symbol: LXP | Quote: {}
Missing or empty price for symbol: SKWD | Quote: {}
Missing or empty price for symbol: SYBX | Quote: {}
Missing or empty price for symbol: SKLZ | Quote: {}
Missing or empty price for symbol: SLM | Quote: {}
Missing or empty price for symbol: SLGN | Quote: {}
Missing or empty price for symbol: SLG | Quote: {}
Missing or empty price for symbol: SMG | Quote: {}
Missing or empty price for symbol: SMRT | Quote: {}
Missing or empty price for symbol: SLQT | Quote: {}
Missing or empty price for symbol: SRXH | Quote: {}
Missing or empty price for symbol: SMR | Quote: {}
Missing or empty price for symbol: SIEB | Quote: {}
Missing or empty price for symbol: SLDP | Quote: {}
Missing or empty price for symbol: SLRC | Quote: {}
Missing or empty price for symbol: SRL | Quote: {}
Missing or empty price for symbol: SMTC | Quote: {}
Missing latest annual statements for BRR: No annual cash flow found
Missing or empty price for symbol: STEM | Quote: {}
Missing or empty price for symbol: SNOW | Quote: {}
Missing or empty price for symbol: SNDK | Quote: {}
Missing or empty price for symbol: SOC | Quote: {}
Missing or empty price for symbol: SNEX | Quote: {}
Missing or empty price for symbol: SONY | Quote: {}
Missing or empty price for symbol: SNV | Quote: {}
Missing or empty price for symbol: SNDX | Quote: {}
Missing or empty price for symbol: SOLV | Quote: {}
Missing or empty price for symbol: SOFI | Quote: {}
Missing or empty price for symbol: SPB | Quote: {}
Missing or empty price for symbol: SPCE | Quote: {}
Missing or empty price for symbol: SPHR | Quote: {}
Missing or empty price for symbol: SGMT | Quote: {}
Missing or empty price for symbol: PRE | Quote: {}
Missing or empty price for symbol: SLGL | Quote: {}
Missing or empty price for symbol: SPXC | Quote: {}
Missing or empty price for symbol: SKYE | Quote: {}
Missing or empty price for symbol: SES | Quote: {}
Missing or empty price for symbol: SERV | Quote: {}
Missing or empty price for symbol: SEPN | Quote: {}
Missing or empty price for symbol: SGML | Quote: {}
Missing or empty price for symbol: SSTI | Quote: {}
Missing or empty price for symbol: SSRM | Quote: {}
Missing or empty price for symbol: STRZ | Quote: {}
Missing or empty price for symbol: STNE | Quote: {}
Missing or empty price for symbol: STXS | Quote: {}
Missing or empty price for symbol: STLD | Quote: {}
Missing or empty price for symbol: STAA | Quote: {}
Missing or empty price for symbol: SRTS | Quote: {}
Missing or empty price for symbol: SSSS | Quote: {}
Missing or empty price for symbol: STZ | Quote: {}
Missing or empty price for symbol: STRA | Quote: {}
Missing or empty price for symbol: STWD | Quote: {}
Missing or empty price for symbol: STN | Quote: {}
Missing or empty price for symbol: STNG | Quote: {}
Missing or empty price for symbol: SVC | Quote: {}
Missing or empty price for symbol: SU | Quote: {}
Missing or empty price for symbol: SCLX | Quote: {}
Missing or empty price for symbol: TEX | Quote: {}
Missing or empty price for symbol: TDY | Quote: {}
Missing or empty price for symbol: TDW | Quote: {}
Missing or empty price for symbol: TEM | Quote: {}
Missing or empty price for symbol: TECH | Quote: {}
Missing or empty price for symbol: TGLS | Quote: {}
Missing or empty price for symbol: TPC | Quote: {}
Missing or empty price for symbol: VIAV | Quote: {}
Missing or empty price for symbol: VCEL | Quote: {}
Missing or empty price for symbol: VIK | Quote: {}
Missing or empty price for symbol: VLN | Quote: {}
Missing or empty price for symbol: VITL | Quote: {}
Missing or empty price for symbol: VSEC | Quote: {}
Missing or empty price for symbol: VTRS | Quote: {}
Missing or empty price for symbol: VRT | Quote: {}
Missing or empty price for symbol: VRNS | Quote: {}
Missing or empty price for symbol: VOYA | Quote: {}
Missing or empty price for symbol: VREX | Quote: {}
Missing or empty price for symbol: VSCO | Quote: {}
Missing or empty price for symbol: VRSN | Quote: {}
Missing or empty price for symbol: VRSK | Quote: {}
Missing or empty price for symbol: GM | Quote: {}
Missing or empty price for symbol: WIT | Quote: {}
Missing or empty price for symbol: WB | Quote: {}
Missing or empty price for symbol: VTYX | Quote: {}
Missing or empty price for symbol: WDAY | Quote: {}
Missing or empty price for symbol: WAY | Quote: {}
Missing or empty price for symbol: WAL | Quote: {}
Missing or empty price for symbol: WASH | Quote: {}
Missing or empty price for symbol: IMDX | Quote: {}
Missing or empty price for symbol: RKT | Quote: {}
Missing or empty price for symbol: WOOF | Quote: {}
Missing or empty price for symbol: WMT | Quote: {}
Missing or empty price for symbol: CTSO | Quote: {}
Missing or empty price for symbol: XFOR | Quote: {}
Missing or empty price for symbol: WHWK | Quote: {}
Missing or empty price for symbol: RCON | Quote: {}
Missing or empty price for symbol: ZBH | Quote: {}
Missing or empty price for symbol: ZVIA | Quote: {}
Missing or empty price for symbol: XRAY | Quote: {}
Missing or empty price for symbol: ZG | Quote: {}
Missing or empty price for symbol: ZBRA | Quote: {}
Missing or empty price for symbol: YOU | Quote: {}
Missing or empty price for symbol: YPF | Quote: {}
Missing or empty price for symbol: ZS | Quote: {}
Missing or empty price for symbol: LYV | Quote: {}
Missing or empty price for symbol: ZTS | Quote: {}
Missing or empty price for symbol: ZION | Quote: {}
Missing or empty price for symbol: ZVRA | Quote: {}
Missing or empty price for symbol: ZWS | Quote: {}
Missing or empty price for symbol: YALA | Quote: {}
Missing or empty price for symbol: XPRO | Quote: {}
Missing or empty price for symbol: ICFI | Quote: {}
Missing or empty price for symbol: KE | Quote: {}
Missing or empty price for symbol: TVTX | Quote: {}
Missing or empty price for symbol: STKL | Quote: {}
Missing or empty price for symbol: IONQ | Quote: {}
Missing or empty price for symbol: DAKT | Quote: {}
Missing or empty price for symbol: TU | Quote: {}
Missing or empty price for symbol: BHVN | Quote: {}
Missing or empty price for symbol: CVI | Quote: {}
Missing or empty price for symbol: LRN | Quote: {}
Missing or empty price for symbol: DAN | Quote: {}
Missing or empty price for symbol: SNAP | Quote: {}
Missing or empty price for symbol: KMI | Quote: {}
Missing or empty price for symbol: CBZ | Quote: {}
Missing or empty price for symbol: WSM | Quote: {}
Missing or empty price for symbol: PTN | Quote: {}
Missing or empty price for symbol: LIVN | Quote: {}
Missing or empty price for symbol: WEX | Quote: {}
Missing or empty price for symbol: TRIN | Quote: {}
Missing or empty price for symbol: ARRY | Quote: {}
Missing or empty price for symbol: BC | Quote: {}
Missing or empty price for symbol: CINT | Quote: {}
Missing or empty price for symbol: BBD | Quote: {}
Missing or empty price for symbol: A | Quote: {}
Missing or empty price for symbol: LION | Quote: {}
Missing or empty price for symbol: PETS | Quote: {}
Missing or empty price for symbol: CHRW | Quote: {}
Missing or empty price for symbol: PRCT | Quote: {}
Missing or empty price for symbol: MCD | Quote: {}
Missing or empty price for symbol: HOG | Quote: {}
Missing or empty price for symbol: RBNE | Quote: {}
Missing or empty price for symbol: SWK | Quote: {}
Missing or empty price for symbol: ARMK | Quote: {}
Missing or empty price for symbol: RCAT | Quote: {}
Missing or empty price for symbol: FIVE | Quote: {}
Missing or empty price for symbol: GPRO | Quote: {}
Missing or empty price for symbol: OKE | Quote: {}
Missing or empty price for symbol: GPN | Quote: {}
Missing or empty price for symbol: TSSI | Quote: {}
Missing or empty price for symbol: SRE | Quote: {}
Missing or empty price for symbol: TCBK | Quote: {}
Missing or empty price for symbol: ACGL | Quote: {}
Missing or empty price for symbol: DG | Quote: {}
Missing or empty price for symbol: NUVB | Quote: {}
Missing or empty price for symbol: ZETA | Quote: {}
Missing or empty price for symbol: FITB | Quote: {}
Missing or empty price for symbol: GE | Quote: {}
