Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-16T04:31:24.021970700
Total Errors: 1989

Missing or empty price for symbol: PAHC | Quote: {}
Missing or empty price for symbol: OSUR | Quote: {}
Missing or empty price for symbol: OZK | Quote: {}
Missing or empty price for symbol: PDD | Quote: {}
Missing or empty price for symbol: ORN | Quote: {}
Missing or empty price for symbol: OPRT | Quote: {}
Missing or empty price for symbol: PASG | Quote: {}
Missing or empty price for symbol: OPRX | Quote: {}
Missing or empty price for symbol: ORA | Quote: {}
Missing or empty price for symbol: PANL | Quote: {}
Missing or empty price for symbol: PAGP | Quote: {}
Missing or empty price for symbol: OTEX | Quote: {}
Missing or empty price for symbol: OSS | Quote: {}
Missing or empty price for symbol: OMI | Quote: {}
Missing or empty price for symbol: ORLY | Quote: {}
Missing or empty price for symbol: OXSQ | Quote: {}
Missing or empty price for symbol: VVOS | Quote: {}
Missing or empty price for symbol: PENG | Quote: {}
Missing or empty price for symbol: WSO | Quote: {}
Missing or empty price for symbol: PDSB | Quote: {}
Missing or empty price for symbol: PGR | Quote: {}
Missing or empty price for symbol: PFSI | Quote: {}
Missing or empty price for symbol: PDS | Quote: {}
Missing or empty price for symbol: PERI | Quote: {}
Missing or empty price for symbol: PBH | Quote: {}
Missing or empty price for symbol: PEGA | Quote: {}
Missing or empty price for symbol: PHIN | Quote: {}
Missing or empty price for symbol: WTFC | Quote: {}
Missing or empty price for symbol: CADL | Quote: {}
Missing or empty price for symbol: RXRX | Quote: {}
Missing or empty price for symbol: PFG | Quote: {}
Missing or empty price for symbol: POWW | Quote: {}
Missing or empty price for symbol: POWI | Quote: {}
Missing or empty price for symbol: PKST | Quote: {}
Missing or empty price for symbol: PPG | Quote: {}
Missing or empty price for symbol: PINS | Quote: {}
Missing or empty price for symbol: POR | Quote: {}
Missing or empty price for symbol: PPC | Quote: {}
Missing or empty price for symbol: PLTR | Quote: {}
Missing or empty price for symbol: PLX | Quote: {}
Missing or empty price for symbol: WK | Quote: {}
Missing or empty price for symbol: PLAY | Quote: {}
Missing or empty price for symbol: PFLT | Quote: {}
Missing or empty price for symbol: POST | Quote: {}
Missing or empty price for symbol: PNTG | Quote: {}
Missing or empty price for symbol: PLMR | Quote: {}
Missing or empty price for symbol: PCVX | Quote: {}
Missing or empty price for symbol: PNC | Quote: {}
Missing or empty price for symbol: PLAB | Quote: {}
Missing or empty price for symbol: PCOR | Quote: {}
Missing or empty price for symbol: PSFE | Quote: {}
Missing or empty price for symbol: PRG | Quote: {}
Missing or empty price for symbol: QCOM | Quote: {}
Missing or empty price for symbol: PTCT | Quote: {}
Missing or empty price for symbol: PWR | Quote: {}
Missing or empty price for symbol: PR | Quote: {}
Missing or empty price for symbol: PRDO | Quote: {}
Missing or empty price for symbol: PRTA | Quote: {}
Missing or empty price for symbol: BURU | Quote: {}
Missing or empty price for symbol: PRM | Quote: {}
Missing or empty price for symbol: PRLB | Quote: {}
Missing or empty price for symbol: PRGS | Quote: {}
Missing or empty price for symbol: PRTH | Quote: {}
Missing or empty price for symbol: PUBM | Quote: {}
Missing or empty price for symbol: PTLO | Quote: {}
Missing or empty price for symbol: PRQR | Quote: {}
Missing or empty price for symbol: QUAD | Quote: {}
Missing or empty price for symbol: RCL | Quote: {}
Missing or empty price for symbol: QLYS | Quote: {}
Missing or empty price for symbol: RAIL | Quote: {}
Missing or empty price for symbol: RC | Quote: {}
Missing or empty price for symbol: QTWO | Quote: {}
Missing or empty price for symbol: WMG | Quote: {}
Missing or empty price for symbol: QNCX | Quote: {}
Missing or empty price for symbol: R | Quote: {}
Missing or empty price for symbol: QS | Quote: {}
Missing or empty price for symbol: RAPT | Quote: {}
Missing or empty price for symbol: REPX | Quote: {}
Missing or empty price for symbol: WMS | Quote: {}
Missing or empty price for symbol: WTW | Quote: {}
Missing or empty price for symbol: WU | Quote: {}
Missing or empty price for symbol: RSI | Quote: {}
Missing or empty price for symbol: RPAY | Quote: {}
Missing or empty price for symbol: WSBC | Quote: {}
Missing or empty price for symbol: ROP | Quote: {}
Missing or empty price for symbol: VUZI | Quote: {}
Missing or empty price for symbol: RSKD | Quote: {}
Missing or empty price for symbol: RPD | Quote: {}
Missing or empty price for symbol: RRR | Quote: {}
Missing or empty price for symbol: WRB | Quote: {}
Missing or empty price for symbol: WKSP | Quote: {}
Missing or empty price for symbol: WRBY | Quote: {}
Missing or empty price for symbol: RNG | Quote: {}
Missing or empty price for symbol: SB | Quote: {}
Missing or empty price for symbol: SCCO | Quote: {}
Missing or empty price for symbol: SAR | Quote: {}
Missing or empty price for symbol: RZLT | Quote: {}
Missing or empty price for symbol: SATS | Quote: {}
Missing or empty price for symbol: SBS | Quote: {}
Missing or empty price for symbol: VGZ | Quote: {}
Missing or empty price for symbol: VINP | Quote: {}
Missing or empty price for symbol: VG | Quote: {}
Missing or empty price for symbol: VFS | Quote: {}
Missing or empty price for symbol: VRAR | Quote: {}
Missing or empty price for symbol: RYN | Quote: {}
Missing or empty price for symbol: SCL | Quote: {}
Missing or empty price for symbol: WOW | Quote: {}
Missing or empty price for symbol: SCHW | Quote: {}
Missing or empty price for symbol: SCI | Quote: {}
Missing or empty price for symbol: UMC | Quote: {}
Missing or empty price for symbol: JRVR | Quote: {}
Missing or empty price for symbol: UP | Quote: {}
Missing or empty price for symbol: UMAC | Quote: {}
Missing or empty price for symbol: SF | Quote: {}
Missing or empty price for symbol: SHC | Quote: {}
Missing or empty price for symbol: TRAW | Quote: {}
Missing or empty price for symbol: SG | Quote: {}
Missing or empty price for symbol: SFL | Quote: {}
Missing or empty price for symbol: SFM | Quote: {}
Missing or empty price for symbol: SHLS | Quote: {}
Missing or empty price for symbol: SERA | Quote: {}
Missing or empty price for symbol: SEZL | Quote: {}
Missing or empty price for symbol: SFD | Quote: {}
Missing or empty price for symbol: TNYA | Quote: {}
Missing or empty price for symbol: TRVG | Quote: {}
Missing or empty price for symbol: SKLZ | Quote: {}
Missing or empty price for symbol: SHW | Quote: {}
Missing or empty price for symbol: TASK | Quote: {}
Missing or empty price for symbol: SJM | Quote: {}
Missing or empty price for symbol: SKY | Quote: {}
Missing or empty price for symbol: SID | Quote: {}
Missing or empty price for symbol: TEO | Quote: {}
Missing or empty price for symbol: SKYT | Quote: {}
Missing or empty price for symbol: SKWD | Quote: {}
Missing or empty price for symbol: LXP | Quote: {}
Missing or empty price for symbol: SIRI | Quote: {}
Missing or empty price for symbol: SMTC | Quote: {}
Missing or empty price for symbol: SMPL | Quote: {}
Missing or empty price for symbol: SQFT | Quote: {}
Missing or empty price for symbol: SLGN | Quote: {}
Missing or empty price for symbol: SLDE | Quote: {}
Missing or empty price for symbol: SMLR | Quote: {}
Missing or empty price for symbol: SRL | Quote: {}
Missing or empty price for symbol: SMP | Quote: {}
Missing or empty price for symbol: SLB | Quote: {}
Missing or empty price for symbol: BRR | Quote: {}
Missing or empty price for symbol: SPRO | Quote: {}
Missing or empty price for symbol: SMCI | Quote: {}
Missing or empty price for symbol: SNDX | Quote: {}
Missing or empty price for symbol: SOLV | Quote: {}
Missing or empty price for symbol: SPB | Quote: {}
Missing or empty price for symbol: SNEX | Quote: {}
Missing or empty price for symbol: SOFI | Quote: {}
Missing or empty price for symbol: SNDL | Quote: {}
Missing or empty price for symbol: SNPS | Quote: {}
Missing or empty price for symbol: SOUN | Quote: {}
Missing or empty price for symbol: SOPH | Quote: {}
Missing or empty price for symbol: SNOW | Quote: {}
Missing or empty price for symbol: SPCE | Quote: {}
Missing or empty price for symbol: SERV | Quote: {}
Missing or empty price for symbol: SGMT | Quote: {}
Missing or empty price for symbol: SKYE | Quote: {}
Missing or empty price for symbol: SPRU | Quote: {}
Missing or empty price for symbol: SLGL | Quote: {}
Missing or empty price for symbol: SSTI | Quote: {}
Missing or empty price for symbol: STZ | Quote: {}
Missing or empty price for symbol: STWD | Quote: {}
Missing or empty price for symbol: STOK | Quote: {}
Missing or empty price for symbol: SU | Quote: {}
Missing or empty price for symbol: STX | Quote: {}
Missing or empty price for symbol: SUPV | Quote: {}
Missing or empty price for symbol: STNE | Quote: {}
Missing or empty price for symbol: STLD | Quote: {}
Missing or empty price for symbol: SRPT | Quote: {}
Missing or empty price for symbol: STRZ | Quote: {}
Missing or empty price for symbol: STXS | Quote: {}
Missing or empty price for symbol: STN | Quote: {}
Missing or empty price for symbol: SSL | Quote: {}
Missing or empty price for symbol: TEN | Quote: {}
Missing or empty price for symbol: TDC | Quote: {}
Missing or empty price for symbol: TE | Quote: {}
Missing or empty price for symbol: TALO | Quote: {}
Missing or empty price for symbol: TECH | Quote: {}
Missing or empty price for symbol: TFC | Quote: {}
Missing or empty price for symbol: TFII | Quote: {}
Missing or empty price for symbol: TELA | Quote: {}
Missing or empty price for symbol: TBBK | Quote: {}
Missing or empty price for symbol: TECK | Quote: {}
Missing or empty price for symbol: TEL | Quote: {}
Missing or empty price for symbol: TEM | Quote: {}
Missing or empty price for symbol: TDS | Quote: {}
Missing or empty price for symbol: TDW | Quote: {}
Missing or empty price for symbol: SYF | Quote: {}
Missing or empty price for symbol: BBNX | Quote: {}
Missing or empty price for symbol: TKR | Quote: {}
Missing or empty price for symbol: THRY | Quote: {}
Missing or empty price for symbol: TMDX | Quote: {}
Missing or empty price for symbol: TRNO | Quote: {}
Missing or empty price for symbol: TOWN | Quote: {}
Missing or empty price for symbol: TIGO | Quote: {}
Missing or empty price for symbol: TGS | Quote: {}
Missing or empty price for symbol: TRN | Quote: {}
Missing or empty price for symbol: TPG | Quote: {}
Missing or empty price for symbol: THC | Quote: {}
Missing or empty price for symbol: TIGR | Quote: {}
Missing or empty price for symbol: TRMB | Quote: {}
Missing or empty price for symbol: TPB | Quote: {}
Missing or empty price for symbol: TPL | Quote: {}
Missing or empty price for symbol: TLN | Quote: {}
Missing or empty price for symbol: TITN | Quote: {}
Missing or empty price for symbol: TNL | Quote: {}
Missing or empty price for symbol: TSM | Quote: {}
Missing or empty price for symbol: TSAT | Quote: {}
Missing or empty price for symbol: TWST | Quote: {}
Missing or empty price for symbol: UAL | Quote: {}
Missing or empty price for symbol: TRUP | Quote: {}
Missing or empty price for symbol: TTEK | Quote: {}
Missing or empty price for symbol: TRNS | Quote: {}
Missing or empty price for symbol: TUYA | Quote: {}
Missing or empty price for symbol: TTD | Quote: {}
Missing or empty price for symbol: TSEM | Quote: {}
Missing or empty price for symbol: TXG | Quote: {}
Missing or empty price for symbol: TXO | Quote: {}
Missing or empty price for symbol: TSCO | Quote: {}
Missing or empty price for symbol: TW | Quote: {}
Missing or empty price for symbol: TTWO | Quote: {}
Missing or empty price for symbol: TSE | Quote: {}
Missing or empty price for symbol: UPBD | Quote: {}
Missing or empty price for symbol: USB | Quote: {}
Missing or empty price for symbol: UNP | Quote: {}
Missing or empty price for symbol: UPS | Quote: {}
Missing or empty price for symbol: USAU | Quote: {}
Missing or empty price for symbol: USLM | Quote: {}
Missing or empty price for symbol: UNM | Quote: {}
Missing or empty price for symbol: UEC | Quote: {}
Missing or empty price for symbol: UTI | Quote: {}
Missing or empty price for symbol: UPST | Quote: {}
Missing or empty price for symbol: URBN | Quote: {}
Missing or empty price for symbol: UMBF | Quote: {}
Missing or empty price for symbol: VAC | Quote: {}
Missing or empty price for symbol: UGI | Quote: {}
Missing or empty price for symbol: VALE | Quote: {}
Missing or empty price for symbol: VICI | Quote: {}
Missing or empty price for symbol: VMD | Quote: {}
Missing or empty price for symbol: VMC | Quote: {}
Missing or empty price for symbol: UWMC | Quote: {}
Missing or empty price for symbol: VLN | Quote: {}
Missing or empty price for symbol: VFF | Quote: {}
Missing or empty price for symbol: VRNS | Quote: {}
Missing or empty price for symbol: VTOL | Quote: {}
Missing or empty price for symbol: VSAT | Quote: {}
Missing or empty price for symbol: VSEC | Quote: {}
Missing or empty price for symbol: VSCO | Quote: {}
Missing or empty price for symbol: VTRS | Quote: {}
Missing or empty price for symbol: VRA | Quote: {}
Missing or empty price for symbol: VOYA | Quote: {}
Missing or empty price for symbol: VST | Quote: {}
Missing or empty price for symbol: RLMD | Quote: {}
Missing or empty price for symbol: VTYX | Quote: {}
Missing or empty price for symbol: WCN | Quote: {}
Missing or empty price for symbol: CNA | Quote: {}
Missing or empty price for symbol: VTSI | Quote: {}
Missing or empty price for symbol: WAY | Quote: {}
Missing or empty price for symbol: WAL | Quote: {}
Missing or empty price for symbol: WB | Quote: {}
Missing or empty price for symbol: IPI | Quote: {}
Missing or empty price for symbol: WCC | Quote: {}
Missing or empty price for symbol: FTCI | Quote: {}
Missing or empty price for symbol: WIT | Quote: {}
Missing or empty price for symbol: GM | Quote: {}
Missing or empty price for symbol: CPA | Quote: {}
Missing or empty price for symbol: WOOF | Quote: {}
Missing or empty price for symbol: RCON | Quote: {}
Missing or empty price for symbol: WHWK | Quote: {}
Missing or empty price for symbol: WMT | Quote: {}
Missing or empty price for symbol: CTSO | Quote: {}
Missing or empty price for symbol: BSET | Quote: {}
Missing or empty price for symbol: ZVIA | Quote: {}
Missing or empty price for symbol: YOU | Quote: {}
Missing or empty price for symbol: UFI | Quote: {}
Missing or empty price for symbol: ZION | Quote: {}
Missing or empty price for symbol: ZWS | Quote: {}
Missing or empty price for symbol: ZG | Quote: {}
Missing or empty price for symbol: YUMC | Quote: {}
Missing or empty price for symbol: LYV | Quote: {}
Missing or empty price for symbol: USAC | Quote: {}
Missing or empty price for symbol: AA | Quote: {}
Missing or empty price for symbol: ZM | Quote: {}
Missing or empty price for symbol: ZTS | Quote: {}
Missing or empty price for symbol: ZNTL | Quote: {}
Missing or empty price for symbol: YETI | Quote: {}
Missing or empty price for symbol: KDP | Quote: {}
Missing or empty price for symbol: DAN | Quote: {}
Missing or empty price for symbol: KE | Quote: {}
Missing or empty price for symbol: PTN | Quote: {}
Missing or empty price for symbol: CVX | Quote: {}
Missing or empty price for symbol: CF | Quote: {}
Missing or empty price for symbol: DAKT | Quote: {}
Missing or empty price for symbol: ONON | Quote: {}
Missing or empty price for symbol: MGM | Quote: {}
Missing or empty price for symbol: SNAP | Quote: {}
Missing or empty price for symbol: ONL | Quote: {}
Missing or empty price for symbol: LSAK | Quote: {}
Missing or empty price for symbol: SPRY | Quote: {}
Missing or empty price for symbol: ICFI | Quote: {}
Missing or empty price for symbol: IONQ | Quote: {}
Missing or empty price for symbol: DAR | Quote: {}
Missing or empty price for symbol: TU | Quote: {}
Missing or empty price for symbol: DAL | Quote: {}
Missing or empty price for symbol: TTAN | Quote: {}
Missing or empty price for symbol: CHRW | Quote: {}
Missing or empty price for symbol: LION | Quote: {}
Missing or empty price for symbol: DE | Quote: {}
Missing or empty price for symbol: CINT | Quote: {}
Missing or empty price for symbol: AN | Quote: {}
Missing or empty price for symbol: CHTR | Quote: {}
Missing or empty price for symbol: OCFC | Quote: {}
Missing or empty price for symbol: HOG | Quote: {}
Missing or empty price for symbol: PRCT | Quote: {}
Missing or empty price for symbol: MRSN | Quote: {}
Missing or empty price for symbol: LIVN | Quote: {}
Missing or empty price for symbol: BC | Quote: {}
Missing or empty price for symbol: TRIP | Quote: {}
Missing or empty price for symbol: ABCB | Quote: {}
Missing or empty price for symbol: OGS | Quote: {}
Missing or empty price for symbol: RBNE | Quote: {}
Missing or empty price for symbol: HPE | Quote: {}
Missing or empty price for symbol: OIS | Quote: {}
Missing or empty price for symbol: OKE | Quote: {}
Missing or empty price for symbol: SDRL | Quote: {}
Missing or empty price for symbol: ZETA | Quote: {}
Missing or empty price for symbol: MNKD | Quote: {}
Missing or empty price for symbol: CRDO | Quote: {}
Missing or empty price for symbol: NUS | Quote: {}
Missing or empty price for symbol: TSSI | Quote: {}
Missing or empty price for symbol: CYPH | Quote: {}
Missing or empty price for symbol: OKTA | Quote: {}
Missing or empty price for symbol: NUVB | Quote: {}
Missing or empty price for symbol: SRE | Quote: {}
Missing or empty price for symbol: GPMT | Quote: {}
Missing or empty price for symbol: OLN | Quote: {}
Missing or empty price for symbol: DMLP | Quote: {}
Missing or empty price for symbol: DLHC | Quote: {}
Missing or empty price for symbol: LUV | Quote: {}
Missing or empty price for symbol: WYY | Quote: {}
Missing or empty price for symbol: HCC | Quote: {}
Missing or empty price for symbol: NEE | Quote: {}
Missing or empty price for symbol: AL | Quote: {}
Missing or empty price for symbol: TRC | Quote: {}
Missing or empty price for symbol: UHT | Quote: {}
Missing or empty price for symbol: SBSI | Quote: {}
Missing or empty price for symbol: UIS | Quote: {}
Missing or empty price for symbol: BDX | Quote: {}
Missing or empty price for symbol: GBDC | Quote: {}
Missing or empty price for symbol: SAIA | Quote: {}
Missing or empty price for symbol: VIRT | Quote: {}
Missing or empty price for symbol: MTB | Quote: {}
Missing or empty price for symbol: FTHM | Quote: {}
Missing or empty price for symbol: RPM | Quote: {}
Missing or empty price for symbol: GIFI | Quote: {}
Missing or empty price for symbol: KRNY | Quote: {}
Missing or empty price for symbol: HDB | Quote: {}
Missing or empty price for symbol: SPGI | Quote: {}
Missing or empty price for symbol: CNDT | Quote: {}
Missing or empty price for symbol: CIB | Quote: {}
Missing or empty price for symbol: PSTG | Quote: {}
Missing or empty price for symbol: TJX | Quote: {}
Missing or empty price for symbol: NMRA | Quote: {}
Missing or empty price for symbol: PMVP | Quote: {}
Missing or empty price for symbol: PSTL | Quote: {}
Missing or empty price for symbol: OLP | Quote: {}
Missing or empty price for symbol: HTLD | Quote: {}
Missing or empty price for symbol: CFG | Quote: {}
Missing or empty price for symbol: OSBC | Quote: {}
Missing or empty price for symbol: FA | Quote: {}
Missing or empty price for symbol: VNO | Quote: {}
Missing or empty price for symbol: SHEN | Quote: {}
Missing or empty price for symbol: NTR | Quote: {}
Missing or empty price for symbol: XOM | Quote: {}
Missing or empty price for symbol: PCG | Quote: {}
Missing or empty price for symbol: SNY | Quote: {}
Missing or empty price for symbol: TKO | Quote: {}
Missing or empty price for symbol: UDR | Quote: {}
Missing or empty price for symbol: TDOC | Quote: {}
Missing or empty price for symbol: BP | Quote: {}
Missing or empty price for symbol: GES | Quote: {}
Missing or empty price for symbol: RWT | Quote: {}
Missing or empty price for symbol: WDS | Quote: {}
Missing or empty price for symbol: CNK | Quote: {}
Missing or empty price for symbol: ASO | Quote: {}
Missing or empty price for symbol: VLTO | Quote: {}
Missing or empty price for symbol: SII | Quote: {}
Missing or empty price for symbol: PG | Quote: {}
Missing or empty price for symbol: HRB | Quote: {}
Missing or empty price for symbol: MITT | Quote: {}
Missing or empty price for symbol: ASIX | Quote: {}
Missing or empty price for symbol: JOE | Quote: {}
