Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-24T04:31:55.076963700
Total Options: 119

These are tier 1 options:
Underlying: TSM | Expiration: 25-Jul-25 | Strike: 237.50 | Previous Close: 1.50 | Adjusted PE: 0.53 | Yield: 0.31%
Underlying: TSM | Expiration: 01-Aug-25 | Strike: 237.50 | Previous Close: 4.05 | Adjusted PE: 0.53 | Yield: 0.24%
Underlying: TSM | Expiration: 25-Jul-25 | Strike: 240.00 | Previous Close: 2.59 | Adjusted PE: 0.53 | Yield: 0.54%
Underlying: TSM | Expiration: 01-Aug-25 | Strike: 240.00 | Previous Close: 4.80 | Adjusted PE: 0.53 | Yield: 0.29%
Underlying: COP | Expiration: 01-Aug-25 | Strike: 94.00 | Previous Close: 1.55 | Adjusted PE: 5.18 | Yield: 0.23%
Underlying: COP | Expiration: 25-Jul-25 | Strike: 95.00 | Previous Close: 0.75 | Adjusted PE: 5.23 | Yield: 0.39%
Underlying: COP | Expiration: 01-Aug-25 | Strike: 95.00 | Previous Close: 1.74 | Adjusted PE: 5.23 | Yield: 0.26%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 545.00 | Previous Close: 9.00 | Adjusted PE: 6.03 | Yield: 0.24%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 550.00 | Previous Close: 9.95 | Adjusted PE: 6.09 | Yield: 0.26%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 555.00 | Previous Close: 12.06 | Adjusted PE: 6.14 | Yield: 0.31%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 562.50 | Previous Close: 19.00 | Adjusted PE: 6.22 | Yield: 0.48%
Underlying: REGN | Expiration: 25-Jul-25 | Strike: 567.50 | Previous Close: 3.20 | Adjusted PE: 6.28 | Yield: 0.28%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 36.00 | Previous Close: 1.85 | Adjusted PE: 6.28 | Yield: 0.30%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 570.00 | Previous Close: 18.45 | Adjusted PE: 6.31 | Yield: 0.46%
Underlying: REGN | Expiration: 25-Jul-25 | Strike: 570.00 | Previous Close: 3.85 | Adjusted PE: 6.31 | Yield: 0.34%
Underlying: REGN | Expiration: 08-Aug-25 | Strike: 570.00 | Previous Close: 22.33 | Adjusted PE: 6.31 | Yield: 0.33%
Underlying: REGN | Expiration: 15-Aug-25 | Strike: 570.00 | Previous Close: 24.90 | Adjusted PE: 6.31 | Yield: 0.26%
Underlying: ACMR | Expiration: 15-Aug-25 | Strike: 28.00 | Previous Close: 1.16 | Adjusted PE: 6.36 | Yield: 0.24%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 37.00 | Previous Close: 1.70 | Adjusted PE: 6.45 | Yield: 0.27%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 37.00 | Previous Close: 3.56 | Adjusted PE: 6.45 | Yield: 0.23%
Underlying: ACMR | Expiration: 15-Aug-25 | Strike: 29.00 | Previous Close: 1.50 | Adjusted PE: 6.59 | Yield: 0.30%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 38.00 | Previous Close: 2.60 | Adjusted PE: 6.63 | Yield: 0.40%
Underlying: NEM | Expiration: 25-Jul-25 | Strike: 41.00 | Previous Close: 0.36 | Adjusted PE: 6.78 | Yield: 0.43%
