Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-25T12:15:20.485054400
Total Options: 32

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
These are tier 6 options:
Underlying: WOLF | Expiration: 22-Aug-25 | Strike: 0.50 | Previous Close: 0.08 | Adjusted PE: 0.04 | Yield: 0.67%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.13 | Adjusted PE: 0.04 | Yield: 0.40%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.20 | Adjusted PE: 0.04 | Yield: 0.37%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 0.50 | Previous Close: 0.23 | Adjusted PE: 0.04 | Yield: 0.36%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 0.50 | Previous Close: 0.16 | Adjusted PE: 0.04 | Yield: 0.35%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.07 | Adjusted PE: 0.04 | Yield: 0.30%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 0.50 | Previous Close: 0.22 | Adjusted PE: 0.04 | Yield: 0.19%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 0.50 | Previous Close: 0.24 | Adjusted PE: 0.04 | Yield: 0.16%
Underlying: WOLF | Expiration: 15-Aug-25 | Strike: 0.50 | Previous Close: 0.02 | Adjusted PE: 0.04 | Yield: 0.13%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 0.50 | Previous Close: 0.35 | Adjusted PE: 0.04 | Yield: 0.11%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.31 | Adjusted PE: 0.08 | Yield: 0.75%
Underlying: WOLF | Expiration: 05-Sep-25 | Strike: 1.00 | Previous Close: 0.23 | Adjusted PE: 0.08 | Yield: 0.73%
Underlying: WOLF | Expiration: 29-Aug-25 | Strike: 1.00 | Previous Close: 0.19 | Adjusted PE: 0.08 | Yield: 0.69%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.40 | Adjusted PE: 0.08 | Yield: 0.65%
Underlying: WOLF | Expiration: 22-Aug-25 | Strike: 1.00 | Previous Close: 0.14 | Adjusted PE: 0.08 | Yield: 0.62%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.50 | Adjusted PE: 0.08 | Yield: 0.58%
Underlying: WOLF | Expiration: 15-Aug-25 | Strike: 1.00 | Previous Close: 0.10 | Adjusted PE: 0.08 | Yield: 0.56%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 1.00 | Previous Close: 0.56 | Adjusted PE: 0.08 | Yield: 0.53%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.58 | Adjusted PE: 0.08 | Yield: 0.47%
Underlying: WOLF | Expiration: 08-Aug-25 | Strike: 1.00 | Previous Close: 0.06 | Adjusted PE: 0.08 | Yield: 0.46%
Underlying: WOLF | Expiration: 20-Mar-26 | Strike: 1.00 | Previous Close: 0.54 | Adjusted PE: 0.08 | Yield: 0.32%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 1.00 | Previous Close: 0.65 | Adjusted PE: 0.08 | Yield: 0.31%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 1.00 | Previous Close: 0.63 | Adjusted PE: 0.08 | Yield: 0.27%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.72 | Adjusted PE: 0.08 | Yield: 0.19%
Underlying: WOLF | Expiration: 01-Aug-25 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.08 | Yield: 0.17%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 1.00 | Previous Close: 0.76 | Adjusted PE: 0.08 | Yield: 0.12%
