Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-07-30T04:56:31.559615
Total Options: 91

These are tier 1 options:
Underlying: UMC | Expiration: 15-Aug-25 | Strike: 7.00 | Previous Close: 0.28 | Adjusted PE: 0.12 | Yield: 0.30%
Underlying: TSM | Expiration: 01-Aug-25 | Strike: 237.50 | Previous Close: 1.74 | Adjusted PE: 0.53 | Yield: 0.24%
Underlying: TSM | Expiration: 01-Aug-25 | Strike: 240.00 | Previous Close: 2.61 | Adjusted PE: 0.53 | Yield: 0.36%
Underlying: TSM | Expiration: 08-Aug-25 | Strike: 240.00 | Previous Close: 4.43 | Adjusted PE: 0.53 | Yield: 0.23%
Underlying: COP | Expiration: 01-Aug-25 | Strike: 97.00 | Previous Close: 0.75 | Adjusted PE: 5.34 | Yield: 0.25%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 517.50 | Previous Close: 4.90 | Adjusted PE: 5.73 | Yield: 0.32%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 520.00 | Previous Close: 4.70 | Adjusted PE: 5.75 | Yield: 0.30%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 33.00 | Previous Close: 1.10 | Adjusted PE: 5.76 | Yield: 0.25%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 522.50 | Previous Close: 5.00 | Adjusted PE: 5.78 | Yield: 0.32%
Underlying: INMD | Expiration: 15-Aug-25 | Strike: 14.00 | Previous Close: 0.43 | Adjusted PE: 5.78 | Yield: 0.23%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 530.00 | Previous Close: 7.00 | Adjusted PE: 5.86 | Yield: 0.44%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 535.00 | Previous Close: 7.22 | Adjusted PE: 5.92 | Yield: 0.45%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 540.00 | Previous Close: 9.54 | Adjusted PE: 5.98 | Yield: 0.59%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 545.00 | Previous Close: 11.30 | Adjusted PE: 6.03 | Yield: 0.69%
Underlying: REGN | Expiration: 15-Aug-25 | Strike: 545.00 | Previous Close: 17.00 | Adjusted PE: 6.03 | Yield: 0.24%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 550.00 | Previous Close: 13.65 | Adjusted PE: 6.09 | Yield: 0.83%
Underlying: REGN | Expiration: 15-Aug-25 | Strike: 550.00 | Previous Close: 19.00 | Adjusted PE: 6.09 | Yield: 0.27%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 35.00 | Previous Close: 1.55 | Adjusted PE: 6.11 | Yield: 0.34%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 35.00 | Previous Close: 3.15 | Adjusted PE: 6.11 | Yield: 0.24%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 552.50 | Previous Close: 17.10 | Adjusted PE: 6.11 | Yield: 1.03%
Underlying: REGN | Expiration: 15-Aug-25 | Strike: 552.50 | Previous Close: 20.30 | Adjusted PE: 6.11 | Yield: 0.28%
Underlying: REGN | Expiration: 01-Aug-25 | Strike: 557.50 | Previous Close: 18.05 | Adjusted PE: 6.17 | Yield: 1.08%
Underlying: SMLR | Expiration: 15-Aug-25 | Strike: 36.00 | Previous Close: 2.28 | Adjusted PE: 6.28 | Yield: 0.49%
Underlying: SMLR | Expiration: 17-Oct-25 | Strike: 36.00 | Previous Close: 4.90 | Adjusted PE: 6.28 | Yield: 0.24%
Underlying: ACMR | Expiration: 15-Aug-25 | Strike: 30.00 | Previous Close: 1.35 | Adjusted PE: 6.82 | Yield: 0.34%
Underlying: ON | Expiration: 01-Aug-25 | Strike: 45.50 | Previous Close: 0.38 | Adjusted PE: 6.84 | Yield: 0.27%
Underlying: ACMR | Expiration: 15-Aug-25 | Strike: 31.00 | Previous Close: 1.78 | Adjusted PE: 7.04 | Yield: 0.44%
Underlying: ACLS | Expiration: 15-Aug-25 | Strike: 70.00 | Previous Close: 2.35 | Adjusted PE: 7.18 | Yield: 0.26%
Underlying: UTHR | Expiration: 15-Aug-25 | Strike: 290.00 | Previous Close: 8.80 | Adjusted PE: 7.32 | Yield: 0.23%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 53.00 | Previous Close: 1.08 | Adjusted PE: 7.96 | Yield: 0.25%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 54.00 | Previous Close: 1.38 | Adjusted PE: 8.11 | Yield: 0.32%
Underlying: XOM | Expiration: 01-Aug-25 | Strike: 112.00 | Previous Close: 1.03 | Adjusted PE: 8.16 | Yield: 0.30%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 55.00 | Previous Close: 1.68 | Adjusted PE: 8.26 | Yield: 0.38%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 55.00 | Previous Close: 1.90 | Adjusted PE: 8.26 | Yield: 0.26%
Underlying: ON | Expiration: 08-Aug-25 | Strike: 56.00 | Previous Close: 1.85 | Adjusted PE: 8.42 | Yield: 0.41%
Underlying: ON | Expiration: 15-Aug-25 | Strike: 56.00 | Previous Close: 2.20 | Adjusted PE: 8.42 | Yield: 0.30%
