Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-13T14:37:48.646546600
Total Options: 61

These are tier 1 options:
Underlying: YALA | Expiration: 15-Aug-25 | Strike: 7.50 | Previous Close: 0.20 | Adjusted PE: 8.30 | Yield: 0.63%
Underlying: ISSC | Expiration: 15-Aug-25 | Strike: 7.50 | Previous Close: 0.50 | Adjusted PE: 11.12 | Yield: 1.63%
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
Underlying: YALA | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.31 | Adjusted PE: 8.30 | Yield: 0.14%
These are tier 5 options:
Underlying: STLA | Expiration: 15-Aug-25 | Strike: 4.00 | Previous Close: 0.03 | Adjusted PE: 0.53 | Yield: 0.13%
Underlying: STLA | Expiration: 15-Aug-25 | Strike: 5.00 | Previous Close: 0.03 | Adjusted PE: 0.67 | Yield: 0.10%
Underlying: MTLS | Expiration: 15-Aug-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 3.51 | Yield: 0.45%
Underlying: YALA | Expiration: 17-Oct-25 | Strike: 7.50 | Previous Close: 0.39 | Adjusted PE: 8.30 | Yield: 0.11%
Underlying: VTSI | Expiration: 15-Aug-25 | Strike: 5.00 | Previous Close: 0.06 | Adjusted PE: 8.98 | Yield: 0.25%
Underlying: VTSI | Expiration: 19-Sep-25 | Strike: 5.00 | Previous Close: 0.19 | Adjusted PE: 8.98 | Yield: 0.13%
Underlying: AMRX | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.21 | Adjusted PE: 18.43 | Yield: 0.10%
These are tier 6 options:
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.23 | Adjusted PE: 0.04 | Yield: 0.48%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 0.50 | Previous Close: 0.22 | Adjusted PE: 0.04 | Yield: 0.38%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.10 | Adjusted PE: 0.04 | Yield: 0.38%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 0.50 | Previous Close: 0.25 | Adjusted PE: 0.04 | Yield: 0.25%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 0.50 | Previous Close: 0.35 | Adjusted PE: 0.04 | Yield: 0.12%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.02 | Adjusted PE: 0.04 | Yield: 0.07%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.38 | Adjusted PE: 0.08 | Yield: 0.77%
Underlying: WOLF | Expiration: 26-Sep-25 | Strike: 1.00 | Previous Close: 0.26 | Adjusted PE: 0.08 | Yield: 0.76%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.20 | Adjusted PE: 0.08 | Yield: 0.68%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.45 | Adjusted PE: 0.08 | Yield: 0.60%
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 1.00 | Previous Close: 0.14 | Adjusted PE: 0.08 | Yield: 0.57%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 1.00 | Previous Close: 0.51 | Adjusted PE: 0.08 | Yield: 0.54%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.58 | Adjusted PE: 0.08 | Yield: 0.52%
Underlying: WOLF | Expiration: 05-Sep-25 | Strike: 1.00 | Previous Close: 0.09 | Adjusted PE: 0.08 | Yield: 0.44%
Underlying: WOLF | Expiration: 29-Aug-25 | Strike: 1.00 | Previous Close: 0.07 | Adjusted PE: 0.08 | Yield: 0.43%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 1.00 | Previous Close: 0.69 | Adjusted PE: 0.08 | Yield: 0.32%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 1.00 | Previous Close: 0.71 | Adjusted PE: 0.08 | Yield: 0.25%
Underlying: WOLF | Expiration: 15-Aug-25 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.08 | Yield: 0.25%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.70 | Adjusted PE: 0.08 | Yield: 0.19%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 1.00 | Previous Close: 0.76 | Adjusted PE: 0.08 | Yield: 0.13%
Underlying: YRD | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.45 | Adjusted PE: 0.11 | Yield: 0.12%
Underlying: KPTI | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.10 | Adjusted PE: 0.30 | Yield: 0.90%
Underlying: KPTI | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 1.44 | Adjusted PE: 0.30 | Yield: 0.78%
Underlying: VNET | Expiration: 19-Sep-25 | Strike: 7.00 | Previous Close: 0.50 | Adjusted PE: 0.37 | Yield: 0.25%
Underlying: VNET | Expiration: 19-Dec-25 | Strike: 7.00 | Previous Close: 1.10 | Adjusted PE: 0.37 | Yield: 0.17%
Underlying: VNET | Expiration: 15-Aug-25 | Strike: 7.00 | Previous Close: 0.05 | Adjusted PE: 0.37 | Yield: 0.14%
Underlying: SRPT | Expiration: 15-Jan-27 | Strike: 5.00 | Previous Close: 1.19 | Adjusted PE: 0.46 | Yield: 0.07%
Underlying: MEIP | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.20 | Adjusted PE: 0.48 | Yield: 0.07%
Underlying: STLA | Expiration: 22-Aug-25 | Strike: 4.00 | Previous Close: 0.04 | Adjusted PE: 0.53 | Yield: 0.08%
Underlying: PBR | Expiration: 15-Aug-25 | Strike: 3.00 | Previous Close: 0.16 | Adjusted PE: 0.94 | Yield: 1.25%
Underlying: F | Expiration: 22-Aug-25 | Strike: 6.00 | Previous Close: 0.23 | Adjusted PE: 1.07 | Yield: 0.41%
Underlying: F | Expiration: 29-Aug-25 | Strike: 6.00 | Previous Close: 0.06 | Adjusted PE: 1.07 | Yield: 0.06%
Underlying: F | Expiration: 29-Aug-25 | Strike: 6.50 | Previous Close: 0.15 | Adjusted PE: 1.16 | Yield: 0.15%
Underlying: PBR | Expiration: 15-Aug-25 | Strike: 4.00 | Previous Close: 0.36 | Adjusted PE: 1.26 | Yield: 2.19%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 1.50 | Previous Close: 0.24 | Adjusted PE: 1.29 | Yield: 0.21%
Underlying: NPWR | Expiration: 15-Aug-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 1.72 | Yield: 0.50%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.51 | Adjusted PE: 1.72 | Yield: 0.34%
Underlying: NPWR | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.15 | Adjusted PE: 2.15 | Yield: 1.40%
Underlying: NPWR | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.42 | Adjusted PE: 2.15 | Yield: 0.59%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.67 | Adjusted PE: 2.15 | Yield: 0.36%
Underlying: ARVN | Expiration: 16-Jan-26 | Strike: 5.00 | Previous Close: 0.37 | Adjusted PE: 2.38 | Yield: 0.07%
Underlying: SRI | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.35 | Adjusted PE: 2.59 | Yield: 0.16%
Underlying: PRTA | Expiration: 15-Aug-25 | Strike: 5.00 | Previous Close: 0.03 | Adjusted PE: 2.68 | Yield: 0.10%
Underlying: DHX | Expiration: 20-Feb-26 | Strike: 2.00 | Previous Close: 0.31 | Adjusted PE: 2.73 | Yield: 0.11%
Underlying: CDNA | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.19 | Adjusted PE: 3.23 | Yield: 0.09%
