Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-14T08:10:53.363972100
Total Options: 60

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: CAAS | Expiration: 15-Aug-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 0.74 | Yield: 0.80%
These are tier 6 options:
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.10 | Adjusted PE: 0.04 | Yield: 0.39%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.06 | Adjusted PE: 0.04 | Yield: 0.39%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 0.50 | Previous Close: 0.21 | Adjusted PE: 0.04 | Yield: 0.37%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 0.50 | Previous Close: 0.14 | Adjusted PE: 0.04 | Yield: 0.37%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 0.50 | Previous Close: 0.29 | Adjusted PE: 0.04 | Yield: 0.30%
Underlying: WOLF | Expiration: 20-Mar-26 | Strike: 0.50 | Previous Close: 0.22 | Adjusted PE: 0.04 | Yield: 0.28%
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 0.50 | Previous Close: 0.03 | Adjusted PE: 0.04 | Yield: 0.19%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 0.50 | Previous Close: 0.27 | Adjusted PE: 0.04 | Yield: 0.19%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 0.50 | Previous Close: 0.32 | Adjusted PE: 0.04 | Yield: 0.11%
Underlying: WOLF | Expiration: 26-Sep-25 | Strike: 1.00 | Previous Close: 0.28 | Adjusted PE: 0.08 | Yield: 0.87%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.39 | Adjusted PE: 0.08 | Yield: 0.83%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.22 | Adjusted PE: 0.08 | Yield: 0.81%
