Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-14T08:08:32.155394700
Total Options: 56

These are tier 1 options:
Underlying: CPRX | Expiration: 15-Aug-25 | Strike: 20.00 | Previous Close: 0.22 | Adjusted PE: 14.11 | Yield: 0.53%
Underlying: ISSC | Expiration: 15-Aug-25 | Strike: 15.00 | Previous Close: 0.11 | Adjusted PE: 22.23 | Yield: 0.33%
Underlying: ISSC | Expiration: 15-Aug-25 | Strike: 17.50 | Previous Close: 0.35 | Adjusted PE: 25.94 | Yield: 0.97%
These are tier 2 options:
Underlying: ISSC | Expiration: 19-Sep-25 | Strike: 17.50 | Previous Close: 0.93 | Adjusted PE: 25.94 | Yield: 0.20%
These are tier 3 options:
Underlying: INMD | Expiration: 15-Aug-25 | Strike: 14.00 | Previous Close: 0.06 | Adjusted PE: 5.78 | Yield: 0.18%
Underlying: MAMA | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.39 | Adjusted PE: 31.92 | Yield: 0.20%
These are tier 4 options:
Underlying: STLA | Expiration: 15-Aug-25 | Strike: 9.50 | Previous Close: 0.06 | Adjusted PE: 1.27 | Yield: 0.26%
Underlying: STLA | Expiration: 22-Aug-25 | Strike: 9.50 | Previous Close: 0.16 | Adjusted PE: 1.27 | Yield: 0.23%
Underlying: STLA | Expiration: 12-Sep-25 | Strike: 9.50 | Previous Close: 0.34 | Adjusted PE: 1.27 | Yield: 0.17%
Underlying: STLA | Expiration: 26-Sep-25 | Strike: 9.50 | Previous Close: 0.44 | Adjusted PE: 1.27 | Yield: 0.15%
Underlying: HAL | Expiration: 15-Aug-25 | Strike: 14.00 | Previous Close: 0.24 | Adjusted PE: 2.83 | Yield: 0.82%
Underlying: SSTK | Expiration: 15-Aug-25 | Strike: 20.00 | Previous Close: 1.05 | Adjusted PE: 4.16 | Yield: 2.60%
Underlying: SSTK | Expiration: 19-Sep-25 | Strike: 20.00 | Previous Close: 1.35 | Adjusted PE: 4.16 | Yield: 0.26%
Underlying: SSTK | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 2.70 | Adjusted PE: 4.16 | Yield: 0.15%
