Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-20T07:16:22.543021400
Total Options: 56

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
These are tier 6 options:
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.18 | Adjusted PE: 0.04 | Yield: 0.40%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 0.50 | Previous Close: 0.20 | Adjusted PE: 0.04 | Yield: 0.37%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.08 | Adjusted PE: 0.04 | Yield: 0.33%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 0.50 | Previous Close: 0.31 | Adjusted PE: 0.04 | Yield: 0.29%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 0.50 | Previous Close: 0.27 | Adjusted PE: 0.04 | Yield: 0.28%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 0.50 | Previous Close: 0.31 | Adjusted PE: 0.04 | Yield: 0.22%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.03 | Adjusted PE: 0.04 | Yield: 0.18%
Underlying: WOLF | Expiration: 05-Sep-25 | Strike: 0.50 | Previous Close: 0.02 | Adjusted PE: 0.04 | Yield: 0.17%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 0.50 | Previous Close: 0.32 | Adjusted PE: 0.04 | Yield: 0.11%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.38 | Adjusted PE: 0.08 | Yield: 0.88%
Underlying: WOLF | Expiration: 26-Sep-25 | Strike: 1.00 | Previous Close: 0.23 | Adjusted PE: 0.08 | Yield: 0.82%
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 1.00 | Previous Close: 0.14 | Adjusted PE: 0.08 | Yield: 0.77%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.15 | Adjusted PE: 0.08 | Yield: 0.64%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 1.00 | Previous Close: 0.53 | Adjusted PE: 0.08 | Yield: 0.61%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.57 | Adjusted PE: 0.08 | Yield: 0.54%
Underlying: WOLF | Expiration: 05-Sep-25 | Strike: 1.00 | Previous Close: 0.07 | Adjusted PE: 0.08 | Yield: 0.50%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 1.00 | Previous Close: 0.73 | Adjusted PE: 0.08 | Yield: 0.39%
Underlying: WOLF | Expiration: 29-Aug-25 | Strike: 1.00 | Previous Close: 0.04 | Adjusted PE: 0.08 | Yield: 0.38%
Underlying: WOLF | Expiration: 22-Aug-25 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.08 | Yield: 0.33%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.71 | Adjusted PE: 0.08 | Yield: 0.20%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 1.00 | Previous Close: 0.77 | Adjusted PE: 0.08 | Yield: 0.13%
Underlying: KPTI | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 1.23 | Adjusted PE: 0.30 | Yield: 0.73%
Underlying: KPTI | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 0.30 | Yield: 0.07%
Underlying: MEIP | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.25 | Adjusted PE: 0.48 | Yield: 0.11%
Underlying: MEIP | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.10 | Adjusted PE: 0.48 | Yield: 0.09%
Underlying: CTMX | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.21 | Adjusted PE: 1.47 | Yield: 0.46%
Underlying: NPWR | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.29 | Adjusted PE: 1.72 | Yield: 0.33%
Underlying: NPWR | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.40 | Adjusted PE: 2.15 | Yield: 0.71%
Underlying: NOTE | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.05 | Adjusted PE: 2.20 | Yield: 0.36%
Underlying: DHX | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.20 | Adjusted PE: 2.73 | Yield: 0.14%
Underlying: EB | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 2.90 | Yield: 0.07%
Underlying: SRTS | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.40 | Adjusted PE: 4.41 | Yield: 0.13%
Underlying: ACB | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.06 | Adjusted PE: 4.62 | Yield: 0.06%
Underlying: SKYT | Expiration: 29-Aug-25 | Strike: 2.00 | Previous Close: 0.38 | Adjusted PE: 4.86 | Yield: 2.31%
Underlying: FLNC | Expiration: 15-Jan-27 | Strike: 3.00 | Previous Close: 0.65 | Adjusted PE: 5.12 | Yield: 0.06%
Underlying: CAPR | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.40 | Adjusted PE: 7.97 | Yield: 0.15%
Underlying: CAPR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.15 | Adjusted PE: 7.97 | Yield: 0.08%
Underlying: CAPR | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 7.97 | Yield: 0.07%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 3.50 | Previous Close: 0.32 | Adjusted PE: 8.09 | Yield: 0.09%
Underlying: TUYA | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.10 | Adjusted PE: 10.45 | Yield: 0.21%
Underlying: TUYA | Expiration: 19-Dec-25 | Strike: 2.00 | Previous Close: 0.20 | Adjusted PE: 10.45 | Yield: 0.11%
Underlying: INDI | Expiration: 21-Nov-25 | Strike: 3.50 | Previous Close: 0.38 | Adjusted PE: 10.78 | Yield: 0.16%
Underlying: INDI | Expiration: 19-Sep-25 | Strike: 3.50 | Previous Close: 0.11 | Adjusted PE: 10.78 | Yield: 0.13%
Underlying: INDI | Expiration: 16-Jan-26 | Strike: 3.50 | Previous Close: 0.42 | Adjusted PE: 10.78 | Yield: 0.11%
Underlying: THTX | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 12.14 | Yield: 0.07%
Underlying: CRON | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 13.24 | Yield: 0.09%
Underlying: GRAB | Expiration: 22-Aug-25 | Strike: 1.50 | Previous Close: 0.05 | Adjusted PE: 15.69 | Yield: 0.89%
Underlying: GRAB | Expiration: 22-Aug-25 | Strike: 2.50 | Previous Close: 0.75 | Adjusted PE: 26.15 | Yield: 9.87%
Underlying: SMRT | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.05 | Adjusted PE: 29.95 | Yield: 0.09%
