Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-21T04:45:06.070732
Total Options: 66

These are tier 1 options:
Underlying: TSM | Expiration: 22-Aug-25 | Strike: 225.00 | Previous Close: 1.18 | Adjusted PE: 0.50 | Yield: 0.26%
Underlying: TSM | Expiration: 22-Aug-25 | Strike: 227.50 | Previous Close: 1.88 | Adjusted PE: 0.51 | Yield: 0.41%
Underlying: TSM | Expiration: 29-Aug-25 | Strike: 227.50 | Previous Close: 4.20 | Adjusted PE: 0.51 | Yield: 0.26%
Underlying: COP | Expiration: 22-Aug-25 | Strike: 55.00 | Previous Close: 0.40 | Adjusted PE: 3.03 | Yield: 0.36%
Underlying: COP | Expiration: 22-Aug-25 | Strike: 60.00 | Previous Close: 0.60 | Adjusted PE: 3.31 | Yield: 0.49%
Underlying: PLAB | Expiration: 19-Sep-25 | Strike: 20.00 | Previous Close: 1.00 | Adjusted PE: 4.49 | Yield: 0.24%
Underlying: COP | Expiration: 22-Aug-25 | Strike: 94.00 | Previous Close: 0.50 | Adjusted PE: 5.18 | Yield: 0.26%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 30.00 | Previous Close: 1.55 | Adjusted PE: 5.23 | Yield: 0.24%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 31.00 | Previous Close: 1.77 | Adjusted PE: 5.41 | Yield: 0.27%
Underlying: ACMR | Expiration: 19-Sep-25 | Strike: 25.00 | Previous Close: 1.30 | Adjusted PE: 5.68 | Yield: 0.25%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 552.50 | Previous Close: 3.00 | Adjusted PE: 6.11 | Yield: 0.27%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 555.00 | Previous Close: 3.10 | Adjusted PE: 6.14 | Yield: 0.28%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 557.50 | Previous Close: 2.90 | Adjusted PE: 6.17 | Yield: 0.26%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 572.50 | Previous Close: 3.63 | Adjusted PE: 6.34 | Yield: 0.32%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 575.00 | Previous Close: 4.33 | Adjusted PE: 6.36 | Yield: 0.38%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 580.00 | Previous Close: 3.65 | Adjusted PE: 6.42 | Yield: 0.31%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 585.00 | Previous Close: 4.40 | Adjusted PE: 6.47 | Yield: 0.38%
Underlying: REGN | Expiration: 22-Aug-25 | Strike: 590.00 | Previous Close: 6.88 | Adjusted PE: 6.53 | Yield: 0.58%
Underlying: REGN | Expiration: 12-Sep-25 | Strike: 590.00 | Previous Close: 22.13 | Adjusted PE: 6.53 | Yield: 0.23%
Underlying: UTHR | Expiration: 19-Sep-25 | Strike: 280.00 | Previous Close: 16.50 | Adjusted PE: 7.06 | Yield: 0.28%
Underlying: ON | Expiration: 22-Aug-25 | Strike: 48.00 | Previous Close: 0.30 | Adjusted PE: 7.21 | Yield: 0.30%
Underlying: ON | Expiration: 05-Sep-25 | Strike: 48.00 | Previous Close: 1.50 | Adjusted PE: 7.21 | Yield: 0.28%
Underlying: ON | Expiration: 22-Aug-25 | Strike: 48.50 | Previous Close: 0.49 | Adjusted PE: 7.29 | Yield: 0.50%
Underlying: ON | Expiration: 29-Aug-25 | Strike: 48.50 | Previous Close: 0.97 | Adjusted PE: 7.29 | Yield: 0.28%
Underlying: ON | Expiration: 22-Aug-25 | Strike: 49.00 | Previous Close: 0.72 | Adjusted PE: 7.36 | Yield: 0.72%
Underlying: ON | Expiration: 05-Sep-25 | Strike: 49.00 | Previous Close: 1.98 | Adjusted PE: 7.36 | Yield: 0.37%
Underlying: ON | Expiration: 29-Aug-25 | Strike: 49.00 | Previous Close: 1.25 | Adjusted PE: 7.36 | Yield: 0.36%
Underlying: UTHR | Expiration: 19-Sep-25 | Strike: 300.00 | Previous Close: 28.20 | Adjusted PE: 7.57 | Yield: 0.45%
Underlying: UTHR | Expiration: 17-Oct-25 | Strike: 300.00 | Previous Close: 29.29 | Adjusted PE: 7.57 | Yield: 0.24%
Underlying: NEM | Expiration: 22-Aug-25 | Strike: 47.00 | Previous Close: 0.50 | Adjusted PE: 7.77 | Yield: 0.52%
Underlying: XOM | Expiration: 22-Aug-25 | Strike: 108.00 | Previous Close: 0.54 | Adjusted PE: 7.87 | Yield: 0.25%
Underlying: NEM | Expiration: 22-Aug-25 | Strike: 50.00 | Previous Close: 0.31 | Adjusted PE: 8.26 | Yield: 0.30%
Underlying: YALA | Expiration: 19-Sep-25 | Strike: 7.50 | Previous Close: 0.50 | Adjusted PE: 8.30 | Yield: 0.31%
Underlying: AMAT | Expiration: 22-Aug-25 | Strike: 157.50 | Previous Close: 0.75 | Adjusted PE: 11.32 | Yield: 0.24%
Underlying: NEM | Expiration: 22-Aug-25 | Strike: 69.00 | Previous Close: 0.68 | Adjusted PE: 11.40 | Yield: 0.49%
Underlying: NEM | Expiration: 29-Aug-25 | Strike: 69.00 | Previous Close: 1.33 | Adjusted PE: 11.40 | Yield: 0.27%
Underlying: NEM | Expiration: 05-Sep-25 | Strike: 69.00 | Previous Close: 1.90 | Adjusted PE: 11.40 | Yield: 0.25%
Underlying: AMAT | Expiration: 22-Aug-25 | Strike: 160.00 | Previous Close: 1.48 | Adjusted PE: 11.50 | Yield: 0.46%
Underlying: AMAT | Expiration: 29-Aug-25 | Strike: 160.00 | Previous Close: 3.21 | Adjusted PE: 11.50 | Yield: 0.29%
Underlying: ALGN | Expiration: 22-Aug-25 | Strike: 141.00 | Previous Close: 1.03 | Adjusted PE: 11.73 | Yield: 0.36%
Underlying: ALGN | Expiration: 22-Aug-25 | Strike: 142.00 | Previous Close: 1.25 | Adjusted PE: 11.82 | Yield: 0.44%
Underlying: ALGN | Expiration: 22-Aug-25 | Strike: 143.00 | Previous Close: 1.50 | Adjusted PE: 11.90 | Yield: 0.52%
Underlying: GOOGL | Expiration: 22-Aug-25 | Strike: 195.00 | Previous Close: 0.96 | Adjusted PE: 12.02 | Yield: 0.24%
Underlying: GOOGL | Expiration: 22-Aug-25 | Strike: 197.50 | Previous Close: 1.67 | Adjusted PE: 12.17 | Yield: 0.42%
Underlying: GOOG | Expiration: 22-Aug-25 | Strike: 197.50 | Previous Close: 1.34 | Adjusted PE: 12.17 | Yield: 0.34%
Underlying: GOOGL | Expiration: 29-Aug-25 | Strike: 197.50 | Previous Close: 3.50 | Adjusted PE: 12.17 | Yield: 0.25%
Underlying: GOOG | Expiration: 22-Aug-25 | Strike: 200.00 | Previous Close: 2.33 | Adjusted PE: 12.33 | Yield: 0.58%
Underlying: GOOG | Expiration: 29-Aug-25 | Strike: 200.00 | Previous Close: 4.35 | Adjusted PE: 12.33 | Yield: 0.31%
Underlying: META | Expiration: 22-Aug-25 | Strike: 737.50 | Previous Close: 3.65 | Adjusted PE: 13.44 | Yield: 0.25%
Underlying: META | Expiration: 22-Aug-25 | Strike: 740.00 | Previous Close: 4.35 | Adjusted PE: 13.48 | Yield: 0.29%
Underlying: META | Expiration: 22-Aug-25 | Strike: 742.50 | Previous Close: 5.25 | Adjusted PE: 13.53 | Yield: 0.35%
Underlying: META | Expiration: 22-Aug-25 | Strike: 745.00 | Previous Close: 6.20 | Adjusted PE: 13.57 | Yield: 0.42%
Underlying: META | Expiration: 29-Aug-25 | Strike: 745.00 | Previous Close: 12.04 | Adjusted PE: 13.57 | Yield: 0.23%
Underlying: META | Expiration: 22-Aug-25 | Strike: 747.50 | Previous Close: 7.29 | Adjusted PE: 13.62 | Yield: 0.49%
Underlying: META | Expiration: 29-Aug-25 | Strike: 747.50 | Previous Close: 13.15 | Adjusted PE: 13.62 | Yield: 0.25%
Underlying: MPWR | Expiration: 19-Sep-25 | Strike: 820.00 | Previous Close: 39.90 | Adjusted PE: 17.74 | Yield: 0.23%
Underlying: MSFT | Expiration: 22-Aug-25 | Strike: 502.50 | Previous Close: 2.46 | Adjusted PE: 18.86 | Yield: 0.24%
Underlying: MSFT | Expiration: 22-Aug-25 | Strike: 505.00 | Previous Close: 3.49 | Adjusted PE: 18.96 | Yield: 0.35%
Underlying: SNPS | Expiration: 22-Aug-25 | Strike: 595.00 | Previous Close: 4.50 | Adjusted PE: 20.76 | Yield: 0.38%
Underlying: SNPS | Expiration: 29-Aug-25 | Strike: 595.00 | Previous Close: 10.27 | Adjusted PE: 20.76 | Yield: 0.25%
Underlying: SNPS | Expiration: 22-Aug-25 | Strike: 600.00 | Previous Close: 6.50 | Adjusted PE: 20.94 | Yield: 0.54%
Underlying: SNPS | Expiration: 29-Aug-25 | Strike: 600.00 | Previous Close: 12.47 | Adjusted PE: 20.94 | Yield: 0.30%
Underlying: SNPS | Expiration: 12-Sep-25 | Strike: 600.00 | Previous Close: 23.70 | Adjusted PE: 20.94 | Yield: 0.25%
Underlying: SNPS | Expiration: 05-Sep-25 | Strike: 600.00 | Previous Close: 15.35 | Adjusted PE: 20.94 | Yield: 0.23%
Underlying: CDNS | Expiration: 22-Aug-25 | Strike: 345.00 | Previous Close: 2.76 | Adjusted PE: 34.39 | Yield: 0.40%
