Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-27T06:13:32.911145100
Total Options: 26

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
These are tier 6 options:
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 0.50 | Previous Close: 0.06 | Adjusted PE: 0.04 | Yield: 0.83%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.10 | Adjusted PE: 0.04 | Yield: 0.49%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.19 | Adjusted PE: 0.04 | Yield: 0.44%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 0.50 | Previous Close: 0.14 | Adjusted PE: 0.04 | Yield: 0.42%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 0.50 | Previous Close: 0.29 | Adjusted PE: 0.04 | Yield: 0.16%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.34 | Adjusted PE: 0.08 | Yield: 0.89%
Underlying: WOLF | Expiration: 03-Oct-25 | Strike: 1.00 | Previous Close: 0.24 | Adjusted PE: 0.08 | Yield: 0.85%
Underlying: WOLF | Expiration: 26-Sep-25 | Strike: 1.00 | Previous Close: 0.17 | Adjusted PE: 0.08 | Yield: 0.73%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.44 | Adjusted PE: 0.08 | Yield: 0.69%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.12 | Adjusted PE: 0.08 | Yield: 0.65%
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 1.00 | Previous Close: 0.08 | Adjusted PE: 0.08 | Yield: 0.58%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 1.00 | Previous Close: 0.48 | Adjusted PE: 0.08 | Yield: 0.58%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.52 | Adjusted PE: 0.08 | Yield: 0.52%
Underlying: WOLF | Expiration: 20-Mar-26 | Strike: 1.00 | Previous Close: 0.58 | Adjusted PE: 0.08 | Yield: 0.40%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 1.00 | Previous Close: 0.62 | Adjusted PE: 0.08 | Yield: 0.34%
Underlying: WOLF | Expiration: 29-Aug-25 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.08 | Yield: 0.33%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 1.00 | Previous Close: 0.69 | Adjusted PE: 0.08 | Yield: 0.26%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.71 | Adjusted PE: 0.08 | Yield: 0.20%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 1.00 | Previous Close: 0.73 | Adjusted PE: 0.08 | Yield: 0.12%
Underlying: ALEC | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.08 | Adjusted PE: 1.42 | Yield: 0.19%
