Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-08-28T06:21:25.207368300
Total Options: 31

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
These are tier 6 options:
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 0.50 | Previous Close: 0.12 | Adjusted PE: 0.04 | Yield: 0.61%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 0.50 | Previous Close: 0.20 | Adjusted PE: 0.04 | Yield: 0.48%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 0.50 | Previous Close: 0.21 | Adjusted PE: 0.04 | Yield: 0.41%
Underlying: WOLF | Expiration: 20-Mar-26 | Strike: 0.50 | Previous Close: 0.25 | Adjusted PE: 0.04 | Yield: 0.34%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 0.50 | Previous Close: 0.30 | Adjusted PE: 0.04 | Yield: 0.29%
Underlying: WOLF | Expiration: 18-Sep-26 | Strike: 0.50 | Previous Close: 0.27 | Adjusted PE: 0.04 | Yield: 0.20%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 0.50 | Previous Close: 0.30 | Adjusted PE: 0.04 | Yield: 0.17%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.02 | Adjusted PE: 0.04 | Yield: 0.13%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 0.50 | Previous Close: 0.33 | Adjusted PE: 0.04 | Yield: 0.11%
Underlying: WOLF | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.38 | Adjusted PE: 0.08 | Yield: 1.03%
Underlying: WOLF | Expiration: 03-Oct-25 | Strike: 1.00 | Previous Close: 0.26 | Adjusted PE: 0.08 | Yield: 0.96%
Underlying: WOLF | Expiration: 26-Sep-25 | Strike: 1.00 | Previous Close: 0.19 | Adjusted PE: 0.08 | Yield: 0.86%
Underlying: WOLF | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.47 | Adjusted PE: 0.08 | Yield: 0.75%
Underlying: WOLF | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.13 | Adjusted PE: 0.08 | Yield: 0.75%
Underlying: WOLF | Expiration: 19-Dec-25 | Strike: 1.00 | Previous Close: 0.52 | Adjusted PE: 0.08 | Yield: 0.64%
Underlying: WOLF | Expiration: 12-Sep-25 | Strike: 1.00 | Previous Close: 0.08 | Adjusted PE: 0.08 | Yield: 0.64%
Underlying: WOLF | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.56 | Adjusted PE: 0.08 | Yield: 0.56%
Underlying: WOLF | Expiration: 20-Mar-26 | Strike: 1.00 | Previous Close: 0.65 | Adjusted PE: 0.08 | Yield: 0.45%
Underlying: WOLF | Expiration: 15-May-26 | Strike: 1.00 | Previous Close: 0.65 | Adjusted PE: 0.08 | Yield: 0.36%
Underlying: WOLF | Expiration: 18-Jun-26 | Strike: 1.00 | Previous Close: 0.67 | Adjusted PE: 0.08 | Yield: 0.33%
Underlying: WOLF | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.76 | Adjusted PE: 0.08 | Yield: 0.22%
Underlying: WOLF | Expiration: 05-Sep-25 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.08 | Yield: 0.17%
Underlying: WOLF | Expiration: 17-Dec-27 | Strike: 1.00 | Previous Close: 0.77 | Adjusted PE: 0.08 | Yield: 0.13%
Underlying: CERS | Expiration: 19-Sep-25 | Strike: 1.00 | Previous Close: 0.05 | Adjusted PE: 4.52 | Yield: 0.25%
Underlying: GRAB | Expiration: 29-Aug-25 | Strike: 1.00 | Previous Close: 0.05 | Adjusted PE: 10.46 | Yield: 2.00%
