Sold Option Buy-to-Close Report - Option Scanner
Underlying: NOTE
Strike: 6.0
Expiration: 2025-12-19
Type: put
Sold Date: 2025-07-31
Sold Price: 1.20
Total Trading Days: 100
Timestamp: 2025-09-02T08:55:18.755650400

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-07-31   1          1.18         1.17        
2025-08-01   2          1.17         1.15        
2025-08-04   3          1.16         1.12        
2025-08-05   4          1.15         1.10        
2025-08-06   5          1.13         1.08        
2025-08-07   6          1.12         1.05        
2025-08-08   7          1.11         1.03        
2025-08-11   8          1.10         1.00        
2025-08-12   9          1.09         0.98        
2025-08-13   10         1.08         0.96        
2025-08-14   11         1.06         0.93        
2025-08-15   12         1.05         0.91        
2025-08-18   13         1.04         0.88        
2025-08-19   14         1.03         0.86        
2025-08-20   15         1.02         0.84        
2025-08-21   16         1.00         0.81        
2025-08-22   17         0.99         0.79        
2025-08-25   18         0.98         0.76        
2025-08-26   19         0.97         0.74        
2025-08-27   20         0.96         0.72        
2025-08-28   21         0.94         0.69        
2025-08-29   22         0.93         0.67        
2025-09-02   23         0.92         0.64        
2025-09-03   24         0.91         0.62        
2025-09-04   25         0.90         0.60        
2025-09-05   26         0.88         0.57        
2025-09-08   27         0.87         0.55        
2025-09-09   28         0.86         0.52        
2025-09-10   29         0.85         0.50        
2025-09-11   30         0.84         0.48        
2025-09-12   31         0.82         0.45        
2025-09-15   32         0.81         0.43        
2025-09-16   33         0.80         0.40        
2025-09-17   34         0.79         0.38        
2025-09-18   35         0.78         0.36        
2025-09-19   36         0.76         0.33        
2025-09-22   37         0.75         0.31        
2025-09-23   38         0.74         0.28        
2025-09-24   39         0.73         0.26        
2025-09-25   40         0.72         0.24        
2025-09-26   41         0.70         0.21        
2025-09-29   42         0.69         0.19        
2025-09-30   43         0.68         0.16        
2025-10-01   44         0.67         0.14        
2025-10-02   45         0.66         0.12        
2025-10-03   46         0.64         0.09        
2025-10-06   47         0.63         0.07        
2025-10-07   48         0.62         0.04        
2025-10-08   49         0.61         0.02        
2025-10-09   50         0.60         0.30        
2025-10-10   51         0.58         0.28        
2025-10-13   52         0.57         0.26        
2025-10-14   53         0.56         0.24        
2025-10-15   54         0.55         0.22        
2025-10-16   55         0.54         0.21        
2025-10-17   56         0.52         0.19        
2025-10-20   57         0.51         0.17        
2025-10-21   58         0.50         0.15        
2025-10-22   59         0.49         0.13        
2025-10-23   60         0.48         0.12        
2025-10-24   61         0.46         0.10        
2025-10-27   62         0.45         0.08        
2025-10-28   63         0.44         0.06        
2025-10-29   64         0.43         0.04        
2025-10-30   65         0.42         0.03        
2025-10-31   66         0.40         0.01        
2025-11-03   67         0.39         0.19        
2025-11-04   68         0.38         0.18        
2025-11-05   69         0.37         0.16        
2025-11-06   70         0.36         0.15        
2025-11-07   71         0.34         0.13        
2025-11-10   72         0.33         0.12        
2025-11-11   73         0.32         0.10        
2025-11-12   74         0.31         0.09        
2025-11-13   75         0.30         0.07        
2025-11-14   76         0.28         0.06        
2025-11-17   77         0.27         0.04        
2025-11-18   78         0.26         0.03        
2025-11-19   79         0.25         0.01        
2025-11-20   80         0.24         0.12        
2025-11-21   81         0.22         0.11        
2025-11-24   82         0.21         0.09        
2025-11-25   83         0.20         0.08        
2025-11-26   84         0.19         0.07        
2025-11-28   85         0.18         0.05        
2025-12-01   86         0.16         0.04        
2025-12-02   87         0.15         0.03        
2025-12-03   88         0.14         0.01        
2025-12-04   89         0.13         0.06        
2025-12-05   90         0.12         0.05        
2025-12-08   91         0.10         0.04        
2025-12-09   92         0.09         0.02        
2025-12-10   93         0.08         0.01        
2025-12-11   94         0.07         0.03        
2025-12-12   95         0.06         0.02        
2025-12-15   96         0.04         0.01        
2025-12-16   97         0.03         0.02        
2025-12-17   98         0.02         0.01        
2025-12-18   99         0.01         0.01        
2025-12-19   100        0.00         0.00        
