Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-16T05:03:19.965464100
Total Options: 58

These are tier 1 options:
Underlying: TSM | Expiration: 19-Sep-25 | Strike: 257.50 | Previous Close: 2.59 | Adjusted PE: 0.57 | Yield: 0.25%
Underlying: TSM | Expiration: 19-Sep-25 | Strike: 260.00 | Previous Close: 3.30 | Adjusted PE: 0.58 | Yield: 0.32%
Underlying: TSM | Expiration: 26-Sep-25 | Strike: 260.00 | Previous Close: 5.50 | Adjusted PE: 0.58 | Yield: 0.24%
Underlying: NEM | Expiration: 19-Sep-25 | Strike: 27.50 | Previous Close: 0.33 | Adjusted PE: 4.54 | Yield: 0.29%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 27.00 | Previous Close: 0.30 | Adjusted PE: 4.71 | Yield: 0.27%
Underlying: SMLR | Expiration: 17-Oct-25 | Strike: 27.00 | Previous Close: 1.57 | Adjusted PE: 4.71 | Yield: 0.24%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 28.00 | Previous Close: 0.60 | Adjusted PE: 4.88 | Yield: 0.53%
Underlying: PLAB | Expiration: 19-Sep-25 | Strike: 22.50 | Previous Close: 0.30 | Adjusted PE: 5.05 | Yield: 0.32%
Underlying: COP | Expiration: 19-Sep-25 | Strike: 92.00 | Previous Close: 1.00 | Adjusted PE: 5.07 | Yield: 0.27%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 557.50 | Previous Close: 5.40 | Adjusted PE: 6.17 | Yield: 0.24%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 560.00 | Previous Close: 5.80 | Adjusted PE: 6.20 | Yield: 0.26%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 562.50 | Previous Close: 7.20 | Adjusted PE: 6.22 | Yield: 0.32%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 565.00 | Previous Close: 6.73 | Adjusted PE: 6.25 | Yield: 0.30%
Underlying: REGN | Expiration: 26-Sep-25 | Strike: 565.00 | Previous Close: 12.83 | Adjusted PE: 6.25 | Yield: 0.25%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 567.50 | Previous Close: 8.30 | Adjusted PE: 6.28 | Yield: 0.37%
Underlying: REGN | Expiration: 26-Sep-25 | Strike: 567.50 | Previous Close: 12.00 | Adjusted PE: 6.28 | Yield: 0.24%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 570.00 | Previous Close: 7.80 | Adjusted PE: 6.31 | Yield: 0.34%
Underlying: ACMR | Expiration: 19-Sep-25 | Strike: 29.00 | Previous Close: 0.52 | Adjusted PE: 6.59 | Yield: 0.44%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 46.00 | Previous Close: 0.48 | Adjusted PE: 6.91 | Yield: 0.26%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 46.50 | Previous Close: 0.55 | Adjusted PE: 6.99 | Yield: 0.29%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 46.50 | Previous Close: 1.05 | Adjusted PE: 6.99 | Yield: 0.25%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 47.00 | Previous Close: 0.57 | Adjusted PE: 7.06 | Yield: 0.30%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 47.00 | Previous Close: 1.18 | Adjusted PE: 7.06 | Yield: 0.28%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 47.50 | Previous Close: 0.88 | Adjusted PE: 7.14 | Yield: 0.46%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 47.50 | Previous Close: 1.39 | Adjusted PE: 7.14 | Yield: 0.32%
Underlying: ON | Expiration: 19-Sep-25 | Strike: 48.00 | Previous Close: 1.16 | Adjusted PE: 7.21 | Yield: 0.60%
Underlying: ON | Expiration: 26-Sep-25 | Strike: 48.00 | Previous Close: 1.60 | Adjusted PE: 7.21 | Yield: 0.37%
Underlying: ON | Expiration: 17-Oct-25 | Strike: 48.00 | Previous Close: 2.74 | Adjusted PE: 7.21 | Yield: 0.24%
Underlying: ACLS | Expiration: 19-Sep-25 | Strike: 85.00 | Previous Close: 1.00 | Adjusted PE: 8.72 | Yield: 0.29%
