 Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-17T12:48:11.698800600
Total Options: 39

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: CRNT | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.03 | Adjusted PE: 2.34 | Yield: 0.33%
These are tier 6 options:
Underlying: KPTI | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.29 | Adjusted PE: 0.30 | Yield: 0.49%
Underlying: SID | Expiration: 17-Oct-25 | Strike: 1.50 | Previous Close: 0.05 | Adjusted PE: 0.67 | Yield: 0.12%
Underlying: CTMX | Expiration: 21-Nov-25 | Strike: 1.50 | Previous Close: 0.15 | Adjusted PE: 1.10 | Yield: 0.19%
Underlying: ALEC | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.05 | Adjusted PE: 1.42 | Yield: 0.17%
Underlying: CRNT | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 2.34 | Yield: 0.09%
Underlying: NVAX | Expiration: 19-Sep-25 | Strike: 3.50 | Previous Close: 0.03 | Adjusted PE: 2.46 | Yield: 0.19%
Underlying: SNAP | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 2.79 | Yield: 0.06%
Underlying: CAPR | Expiration: 16-Jan-26 | Strike: 1.00 | Previous Close: 0.15 | Adjusted PE: 3.19 | Yield: 0.17%
Underlying: PATH | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.03 | Adjusted PE: 3.48 | Yield: 0.33%
Underlying: NIU | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 3.50 | Yield: 0.07%
Underlying: SRTS | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.35 | Adjusted PE: 4.41 | Yield: 0.13%
Underlying: PATH | Expiration: 19-Sep-25 | Strike: 3.00 | Previous Close: 0.05 | Adjusted PE: 5.22 | Yield: 0.44%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.19 | Adjusted PE: 6.93 | Yield: 0.07%
Underlying: CAPR | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.45 | Adjusted PE: 7.97 | Yield: 0.21%
Underlying: CAPR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.25 | Adjusted PE: 7.97 | Yield: 0.20%
Underlying: CAPR | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.34 | Adjusted PE: 7.97 | Yield: 0.20%
Underlying: CAPR | Expiration: 15-Jan-27 | Strike: 2.50 | Previous Close: 1.05 | Adjusted PE: 7.97 | Yield: 0.12%
Underlying: INDI | Expiration: 20-Feb-26 | Strike: 3.00 | Previous Close: 0.37 | Adjusted PE: 9.24 | Yield: 0.11%
Underlying: GRAB | Expiration: 17-Oct-25 | Strike: 1.00 | Previous Close: 0.03 | Adjusted PE: 10.46 | Yield: 0.09%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 3.50 | Previous Close: 0.20 | Adjusted PE: 10.78 | Yield: 0.24%
Underlying: INDI | Expiration: 21-Nov-25 | Strike: 3.50 | Previous Close: 0.40 | Adjusted PE: 10.78 | Yield: 0.23%
Underlying: INDI | Expiration: 20-Feb-26 | Strike: 3.50 | Previous Close: 0.60 | Adjusted PE: 10.78 | Yield: 0.16%
Underlying: TUYA | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.25 | Adjusted PE: 13.06 | Yield: 0.14%
Underlying: CRON | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.04 | Adjusted PE: 13.24 | Yield: 0.07%
Underlying: CRON | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 13.24 | Yield: 0.06%
Underlying: CRON | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 16.54 | Yield: 0.53%
Underlying: CRON | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.22 | Adjusted PE: 16.54 | Yield: 0.37%
Underlying: CRON | Expiration: 17-Apr-26 | Strike: 2.50 | Previous Close: 0.38 | Adjusted PE: 16.54 | Yield: 0.10%
Underlying: HCAT | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.05 | Adjusted PE: 31.05 | Yield: 0.07%
Underlying: SLQT | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 121.19 | Yield: 0.67%
Underlying: SLQT | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.20 | Adjusted PE: 121.19 | Yield: 0.41%
Underlying: SLQT | Expiration: 16-Jan-26 | Strike: 2.00 | Previous Close: 0.40 | Adjusted PE: 121.19 | Yield: 0.23%
