Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-18T05:04:44.138900100
Total Options: 63

These are tier 1 options:
Underlying: UMC | Expiration: 19-Sep-25 | Strike: 6.00 | Previous Close: 0.04 | Adjusted PE: 0.10 | Yield: 0.25%
Underlying: TSM | Expiration: 19-Sep-25 | Strike: 260.00 | Previous Close: 1.58 | Adjusted PE: 0.58 | Yield: 0.30%
Underlying: TSM | Expiration: 19-Sep-25 | Strike: 262.50 | Previous Close: 2.64 | Adjusted PE: 0.58 | Yield: 0.50%
Underlying: TSM | Expiration: 26-Sep-25 | Strike: 262.50 | Previous Close: 5.00 | Adjusted PE: 0.58 | Yield: 0.27%
Underlying: NTES | Expiration: 19-Sep-25 | Strike: 155.00 | Previous Close: 1.00 | Adjusted PE: 2.03 | Yield: 0.32%
Underlying: SMLR | Expiration: 19-Sep-25 | Strike: 27.00 | Previous Close: 0.31 | Adjusted PE: 4.71 | Yield: 0.56%
Underlying: SMLR | Expiration: 17-Oct-25 | Strike: 27.00 | Previous Close: 2.00 | Adjusted PE: 4.71 | Yield: 0.34%
Underlying: COP | Expiration: 19-Sep-25 | Strike: 92.50 | Previous Close: 0.48 | Adjusted PE: 5.10 | Yield: 0.25%
Underlying: COP | Expiration: 19-Sep-25 | Strike: 93.00 | Previous Close: 0.58 | Adjusted PE: 5.13 | Yield: 0.31%
Underlying: COP | Expiration: 26-Sep-25 | Strike: 93.00 | Previous Close: 1.59 | Adjusted PE: 5.13 | Yield: 0.24%
Underlying: AMAT | Expiration: 19-Sep-25 | Strike: 80.00 | Previous Close: 0.40 | Adjusted PE: 5.75 | Yield: 0.24%
Underlying: INMD | Expiration: 19-Sep-25 | Strike: 14.00 | Previous Close: 0.09 | Adjusted PE: 5.78 | Yield: 0.29%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 570.00 | Previous Close: 3.12 | Adjusted PE: 6.31 | Yield: 0.27%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 575.00 | Previous Close: 4.40 | Adjusted PE: 6.36 | Yield: 0.38%
Underlying: REGN | Expiration: 19-Sep-25 | Strike: 577.50 | Previous Close: 6.40 | Adjusted PE: 6.39 | Yield: 0.55%
