Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-09-19T07:06:00.739590500
Total Options: 54

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: CRNT | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.03 | Adjusted PE: 2.34 | Yield: 1.00%
Underlying: CRNT | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 2.34 | Yield: 0.10%
These are tier 6 options:
Underlying: KPTI | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.96 | Adjusted PE: 0.30 | Yield: 0.83%
Underlying: KPTI | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.32 | Adjusted PE: 0.30 | Yield: 0.59%
Underlying: SID | Expiration: 17-Oct-25 | Strike: 1.50 | Previous Close: 0.07 | Adjusted PE: 0.67 | Yield: 0.19%
Underlying: SID | Expiration: 20-Mar-26 | Strike: 1.50 | Previous Close: 0.21 | Adjusted PE: 0.67 | Yield: 0.11%
Underlying: NPWR | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.35 | Adjusted PE: 0.86 | Yield: 0.10%
Underlying: NPWR | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.05 | Adjusted PE: 1.72 | Yield: 2.00%
Underlying: NPWR | Expiration: 17-Oct-25 | Strike: 2.00 | Previous Close: 0.13 | Adjusted PE: 1.72 | Yield: 0.29%
Underlying: NPWR | Expiration: 20-Feb-26 | Strike: 2.00 | Previous Close: 0.50 | Adjusted PE: 1.72 | Yield: 0.23%
Underlying: NPWR | Expiration: 21-Jan-28 | Strike: 2.00 | Previous Close: 1.21 | Adjusted PE: 1.72 | Yield: 0.10%
Underlying: NPWR | Expiration: 19-Sep-25 | Strike: 2.50 | Previous Close: 0.10 | Adjusted PE: 2.15 | Yield: 3.60%
Underlying: NPWR | Expiration: 17-Oct-25 | Strike: 2.50 | Previous Close: 0.35 | Adjusted PE: 2.15 | Yield: 0.65%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.50 | Adjusted PE: 2.15 | Yield: 0.43%
Underlying: CRNT | Expiration: 19-Dec-25 | Strike: 2.00 | Previous Close: 0.10 | Adjusted PE: 2.34 | Yield: 0.07%
Underlying: CRNT | Expiration: 16-Jan-26 | Strike: 2.00 | Previous Close: 0.11 | Adjusted PE: 2.34 | Yield: 0.06%
Underlying: EB | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.12 | Adjusted PE: 2.90 | Yield: 0.07%
Underlying: PATH | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.03 | Adjusted PE: 3.48 | Yield: 1.00%
Underlying: ALEC | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.86 | Adjusted PE: 3.54 | Yield: 0.52%
Underlying: DCGO | Expiration: 21-Nov-25 | Strike: 1.50 | Previous Close: 0.14 | Adjusted PE: 4.39 | Yield: 0.19%
Underlying: GRAB | Expiration: 19-Sep-25 | Strike: 0.50 | Previous Close: 0.05 | Adjusted PE: 5.23 | Yield: 8.00%
Underlying: INDI | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.15 | Adjusted PE: 7.70 | Yield: 0.07%
Underlying: CAPR | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.35 | Adjusted PE: 7.97 | Yield: 0.21%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 3.50 | Previous Close: 0.20 | Adjusted PE: 8.09 | Yield: 0.07%
Underlying: INDI | Expiration: 17-Oct-25 | Strike: 3.00 | Previous Close: 0.08 | Adjusted PE: 9.24 | Yield: 0.11%
Underlying: INDI | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.25 | Adjusted PE: 9.24 | Yield: 0.10%
Underlying: TUYA | Expiration: 19-Sep-25 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 10.45 | Yield: 3.00%
Underlying: GRAB | Expiration: 03-Oct-25 | Strike: 1.00 | Previous Close: 0.38 | Adjusted PE: 10.46 | Yield: 3.36%
Underlying: INDI | Expiration: 19-Sep-25 | Strike: 3.50 | Previous Close: 0.05 | Adjusted PE: 10.78 | Yield: 1.14%
