Sold Option Buy-to-Close Report - Option Scanner
Underlying: KPTI
Strike: 2.5
Expiration: 2026-02-20
Type: put
Sold Date: 2025-07-22
Sold Price: 1.20
Total Trading Days: 148
Timestamp: 2025-09-26T06:44:01.549860500

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-07-22   1          1.19         1.18        
2025-07-23   2          1.18         1.16        
2025-07-24   3          1.17         1.15        
2025-07-25   4          1.16         1.13        
2025-07-28   5          1.15         1.11        
2025-07-29   6          1.15         1.10        
2025-07-30   7          1.14         1.08        
2025-07-31   8          1.13         1.07        
2025-08-01   9          1.12         1.05        
2025-08-04   10         1.11         1.03        
2025-08-05   11         1.11         1.02        
2025-08-06   12         1.10         1.00        
2025-08-07   13         1.09         0.98        
2025-08-08   14         1.08         0.97        
2025-08-11   15         1.07         0.95        
2025-08-12   16         1.07         0.94        
2025-08-13   17         1.06         0.92        
2025-08-14   18         1.05         0.90        
2025-08-15   19         1.04         0.89        
2025-08-18   20         1.03         0.87        
2025-08-19   21         1.02         0.85        
2025-08-20   22         1.02         0.84        
2025-08-21   23         1.01         0.82        
2025-08-22   24         1.00         0.81        
2025-08-25   25         0.99         0.79        
2025-08-26   26         0.98         0.77        
2025-08-27   27         0.98         0.76        
2025-08-28   28         0.97         0.74        
2025-08-29   29         0.96         0.72        
2025-09-02   30         0.95         0.71        
2025-09-03   31         0.94         0.69        
2025-09-04   32         0.94         0.68        
2025-09-05   33         0.93         0.66        
2025-09-08   34         0.92         0.64        
2025-09-09   35         0.91         0.63        
2025-09-10   36         0.90         0.61        
2025-09-11   37         0.89         0.60        
2025-09-12   38         0.89         0.58        
2025-09-15   39         0.88         0.56        
2025-09-16   40         0.87         0.55        
2025-09-17   41         0.86         0.53        
2025-09-18   42         0.85         0.51        
2025-09-19   43         0.85         0.50        
2025-09-22   44         0.84         0.48        
2025-09-23   45         0.83         0.47        
2025-09-24   46         0.82         0.45        
2025-09-25   47         0.81         0.43        
2025-09-26   48         0.81         0.42        
2025-09-29   49         0.80         0.40        
2025-09-30   50         0.79         0.38        
2025-10-01   51         0.78         0.37        
2025-10-02   52         0.77         0.35        
2025-10-03   53         0.77         0.34        
2025-10-06   54         0.76         0.32        
2025-10-07   55         0.75         0.30        
2025-10-08   56         0.74         0.29        
2025-10-09   57         0.73         0.27        
2025-10-10   58         0.72         0.25        
2025-10-13   59         0.72         0.24        
2025-10-14   60         0.71         0.22        
2025-10-15   61         0.70         0.21        
2025-10-16   62         0.69         0.19        
2025-10-17   63         0.68         0.17        
2025-10-20   64         0.68         0.16        
2025-10-21   65         0.67         0.14        
2025-10-22   66         0.66         0.12        
2025-10-23   67         0.65         0.11        
2025-10-24   68         0.64         0.09        
2025-10-27   69         0.64         0.08        
2025-10-28   70         0.63         0.06        
2025-10-29   71         0.62         0.04        
2025-10-30   72         0.61         0.03        
2025-10-31   73         0.60         0.01        
2025-11-03   74         0.60         0.30        
2025-11-04   75         0.59         0.28        
2025-11-05   76         0.58         0.27        
2025-11-06   77         0.57         0.26        
2025-11-07   78         0.56         0.25        
2025-11-10   79         0.55         0.23        
2025-11-11   80         0.55         0.22        
2025-11-12   81         0.54         0.21        
2025-11-13   82         0.53         0.20        
2025-11-14   83         0.52         0.19        
2025-11-17   84         0.51         0.17        
2025-11-18   85         0.51         0.16        
2025-11-19   86         0.50         0.15        
2025-11-20   87         0.49         0.14        
2025-11-21   88         0.48         0.12        
2025-11-24   89         0.47         0.11        
2025-11-25   90         0.47         0.10        
2025-11-26   91         0.46         0.09        
2025-11-28   92         0.45         0.08        
2025-12-01   93         0.44         0.06        
2025-12-02   94         0.43         0.05        
2025-12-03   95         0.42         0.04        
2025-12-04   96         0.42         0.03        
2025-12-05   97         0.41         0.02        
2025-12-08   98         0.40         0.20        
2025-12-09   99         0.39         0.19        
2025-12-10   100        0.38         0.18        
2025-12-11   101        0.38         0.17        
2025-12-12   102        0.37         0.16        
2025-12-15   103        0.36         0.15        
2025-12-16   104        0.35         0.14        
2025-12-17   105        0.34         0.13        
2025-12-18   106        0.34         0.12        
2025-12-19   107        0.33         0.11        
2025-12-22   108        0.32         0.10        
2025-12-23   109        0.31         0.09        
2025-12-24   110        0.30         0.08        
2025-12-26   111        0.30         0.07        
2025-12-29   112        0.29         0.06        
2025-12-30   113        0.28         0.05        
