Sold Option Buy-to-Close Report - Option Scanner
Underlying: DCGO
Strike: 1.5
Expiration: 2025-11-21
Type: put
Sold Date: 2025-09-05
Sold Price: 0.10
Total Trading Days: 56
Timestamp: 2025-10-09T13:00:33.513458

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-09-05   1          0.09         0.09        
2025-09-08   2          0.09         0.09        
2025-09-09   3          0.09         0.08        
2025-09-10   4          0.09         0.08        
2025-09-11   5          0.09         0.08        
2025-09-12   6          0.08         0.07        
2025-09-15   7          0.08         0.07        
2025-09-16   8          0.08         0.07        
2025-09-17   9          0.08         0.06        
2025-09-18   10         0.08         0.06        
2025-09-19   11         0.08         0.06        
2025-09-22   12         0.07         0.05        
2025-09-23   13         0.07         0.05        
2025-09-24   14         0.07         0.05        
2025-09-25   15         0.07         0.04        
2025-09-26   16         0.07         0.04        
2025-09-29   17         0.06         0.03        
2025-09-30   18         0.06         0.03        
2025-10-01   19         0.06         0.03        
2025-10-02   20         0.06         0.02        
2025-10-03   21         0.06         0.02        
2025-10-06   22         0.06         0.02        
2025-10-07   23         0.05         0.01        
2025-10-08   24         0.05         0.01        
2025-10-09   25         0.05         0.01        
2025-10-10   26         0.05         0.03        
2025-10-13   27         0.05         0.02        
2025-10-14   28         0.05         0.02        
2025-10-15   29         0.04         0.02        
2025-10-16   30         0.04         0.01        
2025-10-17   31         0.04         0.01        
2025-10-20   32         0.04         0.01        
2025-10-21   33         0.04         0.01        
2025-10-22   34         0.03         0.02        
2025-10-23   35         0.03         0.02        
2025-10-24   36         0.03         0.01        
2025-10-27   37         0.03         0.01        
2025-10-28   38         0.03         0.01        
2025-10-29   39         0.03         0.01        
2025-10-30   40         0.02         0.01        
2025-10-31   41         0.02         0.01        
2025-11-03   42         0.02         0.01        
2025-11-04   43         0.02         0.01        
2025-11-05   44         0.02         0.01        
2025-11-06   45         0.01         0.01        
2025-11-07   46         0.01         0.01        
2025-11-10   47         0.01         0.01        
2025-11-11   48         0.01         0.01        
2025-11-12   49         0.01         0.01        
2025-11-13   50         0.01         0.01        
2025-11-14   51         0.00         0.00        
2025-11-17   52         0.00         0.00        
2025-11-18   53         0.00         0.00        
2025-11-19   54         0.00         0.00        
2025-11-20   55         0.00         0.00        
2025-11-21   56         0.00         0.00        
