Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-16T04:32:18.170530700
Total Options: 113

These are tier 1 options:
Underlying: UMC | Expiration: 17-Oct-25 | Strike: 7.00 | Previous Close: 0.31 | Adjusted PE: 0.12 | Yield: 2.14%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 287.50 | Previous Close: 1.64 | Adjusted PE: 0.64 | Yield: 0.28%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 290.00 | Previous Close: 2.12 | Adjusted PE: 0.64 | Yield: 0.36%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 292.50 | Previous Close: 2.64 | Adjusted PE: 0.65 | Yield: 0.45%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 292.50 | Previous Close: 5.05 | Adjusted PE: 0.65 | Yield: 0.25%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 295.00 | Previous Close: 3.37 | Adjusted PE: 0.66 | Yield: 0.57%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 295.00 | Previous Close: 5.89 | Adjusted PE: 0.66 | Yield: 0.29%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 295.00 | Previous Close: 8.17 | Adjusted PE: 0.66 | Yield: 0.23%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 297.50 | Previous Close: 4.30 | Adjusted PE: 0.66 | Yield: 0.72%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 297.50 | Previous Close: 6.82 | Adjusted PE: 0.66 | Yield: 0.33%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 297.50 | Previous Close: 9.17 | Adjusted PE: 0.66 | Yield: 0.26%
Underlying: TSM | Expiration: 17-Oct-25 | Strike: 300.00 | Previous Close: 5.02 | Adjusted PE: 0.67 | Yield: 0.84%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 300.00 | Previous Close: 8.15 | Adjusted PE: 0.67 | Yield: 0.39%
