Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-25T15:43:41.601360900
Total Options: 138

These are tier 1 options:
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 290.00 | Previous Close: 3.75 | Adjusted PE: 0.64 | Yield: 0.26%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 292.50 | Previous Close: 4.65 | Adjusted PE: 0.65 | Yield: 0.32%
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 23.00 | Previous Close: 2.00 | Adjusted PE: 4.01 | Yield: 0.43%
Underlying: COP | Expiration: 31-Oct-25 | Strike: 88.00 | Previous Close: 1.35 | Adjusted PE: 4.85 | Yield: 0.31%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 550.00 | Previous Close: 7.70 | Adjusted PE: 6.09 | Yield: 0.28%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 555.00 | Previous Close: 8.90 | Adjusted PE: 6.14 | Yield: 0.32%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 560.00 | Previous Close: 11.00 | Adjusted PE: 6.20 | Yield: 0.39%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 565.00 | Previous Close: 12.20 | Adjusted PE: 6.25 | Yield: 0.43%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 570.00 | Previous Close: 14.50 | Adjusted PE: 6.31 | Yield: 0.51%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 570.00 | Previous Close: 17.87 | Adjusted PE: 6.31 | Yield: 0.31%
Underlying: REGN | Expiration: 14-Nov-25 | Strike: 570.00 | Previous Close: 22.40 | Adjusted PE: 6.31 | Yield: 0.26%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 575.00 | Previous Close: 18.30 | Adjusted PE: 6.36 | Yield: 0.64%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 577.50 | Previous Close: 19.50 | Adjusted PE: 6.39 | Yield: 0.68%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 43.50 | Previous Close: 0.87 | Adjusted PE: 6.54 | Yield: 0.40%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 46.00 | Previous Close: 1.10 | Adjusted PE: 6.91 | Yield: 0.24%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 46.50 | Previous Close: 1.26 | Adjusted PE: 6.99 | Yield: 0.27%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 47.50 | Previous Close: 1.55 | Adjusted PE: 7.14 | Yield: 0.32%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 48.00 | Previous Close: 1.60 | Adjusted PE: 7.21 | Yield: 0.33%
Underlying: ON | Expiration: 14-Nov-25 | Strike: 48.00 | Previous Close: 1.88 | Adjusted PE: 7.21 | Yield: 0.26%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 48.50 | Previous Close: 0.63 | Adjusted PE: 7.29 | Yield: 0.26%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 49.00 | Previous Close: 2.12 | Adjusted PE: 7.36 | Yield: 0.43%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 49.00 | Previous Close: 0.90 | Adjusted PE: 7.36 | Yield: 0.36%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 49.00 | Previous Close: 2.60 | Adjusted PE: 7.36 | Yield: 0.26%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 49.50 | Previous Close: 1.90 | Adjusted PE: 7.44 | Yield: 0.38%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 49.50 | Previous Close: 0.93 | Adjusted PE: 7.44 | Yield: 0.37%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 50.00 | Previous Close: 2.59 | Adjusted PE: 7.51 | Yield: 0.52%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 50.00 | Previous Close: 1.11 | Adjusted PE: 7.51 | Yield: 0.44%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 50.00 | Previous Close: 3.05 | Adjusted PE: 7.51 | Yield: 0.30%
Underlying: XOM | Expiration: 31-Oct-25 | Strike: 115.00 | Previous Close: 1.50 | Adjusted PE: 8.38 | Yield: 0.26%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 37.00 | Previous Close: 1.82 | Adjusted PE: 8.41 | Yield: 0.25%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 38.00 | Previous Close: 2.00 | Adjusted PE: 8.63 | Yield: 0.26%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 39.00 | Previous Close: 2.50 | Adjusted PE: 8.86 | Yield: 0.32%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 40.00 | Previous Close: 2.80 | Adjusted PE: 9.09 | Yield: 0.35%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 41.00 | Previous Close: 3.46 | Adjusted PE: 9.31 | Yield: 0.42%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 119.00 | Previous Close: 1.81 | Adjusted PE: 9.90 | Yield: 0.30%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 120.00 | Previous Close: 1.74 | Adjusted PE: 9.99 | Yield: 0.29%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 122.00 | Previous Close: 2.97 | Adjusted PE: 10.15 | Yield: 0.24%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 123.00 | Previous Close: 3.03 | Adjusted PE: 10.24 | Yield: 0.25%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 125.00 | Previous Close: 3.05 | Adjusted PE: 10.40 | Yield: 0.49%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 125.00 | Previous Close: 3.67 | Adjusted PE: 10.40 | Yield: 0.29%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 126.00 | Previous Close: 3.99 | Adjusted PE: 10.49 | Yield: 0.32%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 129.00 | Previous Close: 4.40 | Adjusted PE: 10.74 | Yield: 0.68%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 130.00 | Previous Close: 4.75 | Adjusted PE: 10.82 | Yield: 0.73%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 130.00 | Previous Close: 5.00 | Adjusted PE: 10.82 | Yield: 0.38%
Underlying: ALGN | Expiration: 14-Nov-25 | Strike: 130.00 | Previous Close: 5.60 | Adjusted PE: 10.82 | Yield: 0.29%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 130.00 | Previous Close: 6.03 | Adjusted PE: 10.82 | Yield: 0.23%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 131.00 | Previous Close: 5.16 | Adjusted PE: 10.90 | Yield: 0.79%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 135.00 | Previous Close: 7.09 | Adjusted PE: 11.23 | Yield: 1.05%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 135.00 | Previous Close: 7.48 | Adjusted PE: 11.23 | Yield: 0.55%
Underlying: YETI | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 1.80 | Adjusted PE: 12.58 | Yield: 0.26%
Underlying: META | Expiration: 31-Oct-25 | Strike: 692.50 | Previous Close: 8.78 | Adjusted PE: 12.62 | Yield: 0.25%
Underlying: META | Expiration: 31-Oct-25 | Strike: 695.00 | Previous Close: 9.03 | Adjusted PE: 12.66 | Yield: 0.26%
Underlying: META | Expiration: 31-Oct-25 | Strike: 697.50 | Previous Close: 9.90 | Adjusted PE: 12.71 | Yield: 0.28%
Underlying: META | Expiration: 31-Oct-25 | Strike: 700.00 | Previous Close: 10.39 | Adjusted PE: 12.75 | Yield: 0.30%
Underlying: META | Expiration: 31-Oct-25 | Strike: 702.50 | Previous Close: 11.30 | Adjusted PE: 12.80 | Yield: 0.32%
Underlying: META | Expiration: 31-Oct-25 | Strike: 705.00 | Previous Close: 11.99 | Adjusted PE: 12.84 | Yield: 0.34%
Underlying: META | Expiration: 31-Oct-25 | Strike: 707.50 | Previous Close: 12.80 | Adjusted PE: 12.89 | Yield: 0.36%
Underlying: META | Expiration: 31-Oct-25 | Strike: 710.00 | Previous Close: 13.83 | Adjusted PE: 12.93 | Yield: 0.39%
Underlying: META | Expiration: 31-Oct-25 | Strike: 712.50 | Previous Close: 14.57 | Adjusted PE: 12.98 | Yield: 0.41%
Underlying: META | Expiration: 07-Nov-25 | Strike: 712.50 | Previous Close: 17.15 | Adjusted PE: 12.98 | Yield: 0.24%
Underlying: META | Expiration: 31-Oct-25 | Strike: 715.00 | Previous Close: 15.45 | Adjusted PE: 13.03 | Yield: 0.43%
Underlying: META | Expiration: 07-Nov-25 | Strike: 715.00 | Previous Close: 18.05 | Adjusted PE: 13.03 | Yield: 0.25%
Underlying: META | Expiration: 31-Oct-25 | Strike: 717.50 | Previous Close: 16.40 | Adjusted PE: 13.07 | Yield: 0.46%
Underlying: META | Expiration: 07-Nov-25 | Strike: 717.50 | Previous Close: 18.50 | Adjusted PE: 13.07 | Yield: 0.26%
Underlying: META | Expiration: 31-Oct-25 | Strike: 720.00 | Previous Close: 17.59 | Adjusted PE: 13.12 | Yield: 0.49%
Underlying: META | Expiration: 07-Nov-25 | Strike: 720.00 | Previous Close: 20.35 | Adjusted PE: 13.12 | Yield: 0.28%
Underlying: META | Expiration: 31-Oct-25 | Strike: 722.50 | Previous Close: 18.60 | Adjusted PE: 13.16 | Yield: 0.52%
Underlying: META | Expiration: 07-Nov-25 | Strike: 722.50 | Previous Close: 22.56 | Adjusted PE: 13.16 | Yield: 0.31%
Underlying: META | Expiration: 31-Oct-25 | Strike: 725.00 | Previous Close: 19.43 | Adjusted PE: 13.21 | Yield: 0.54%
Underlying: META | Expiration: 07-Nov-25 | Strike: 725.00 | Previous Close: 21.89 | Adjusted PE: 13.21 | Yield: 0.30%
Underlying: META | Expiration: 31-Oct-25 | Strike: 727.50 | Previous Close: 20.75 | Adjusted PE: 13.25 | Yield: 0.57%
Underlying: META | Expiration: 07-Nov-25 | Strike: 727.50 | Previous Close: 22.92 | Adjusted PE: 13.25 | Yield: 0.32%
Underlying: META | Expiration: 31-Oct-25 | Strike: 730.00 | Previous Close: 21.95 | Adjusted PE: 13.30 | Yield: 0.60%
