Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:41:51.575901800
Total Options: 53

These are tier 1 options:
Underlying: ISSC | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.60 | Adjusted PE: 14.82 | Yield: 0.30%
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
Underlying: STLA | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.27 | Adjusted PE: 1.33 | Yield: 0.13%
Underlying: OPFI | Expiration: 21-Nov-25 | Strike: 9.75 | Previous Close: 0.58 | Adjusted PE: 4.74 | Yield: 0.29%
These are tier 5 options:
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 9.50 | Previous Close: 0.15 | Adjusted PE: 1.27 | Yield: 0.10%
Underlying: STLA | Expiration: 07-Nov-25 | Strike: 10.00 | Previous Close: 0.13 | Adjusted PE: 1.33 | Yield: 0.12%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 10.00 | Previous Close: 0.18 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 10.00 | Previous Close: 0.45 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: MTLS | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 3.51 | Yield: 0.09%
Underlying: HLIT | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.70 | Adjusted PE: 6.94 | Yield: 0.35%
Underlying: VTSI | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 8.98 | Yield: 0.19%
These are tier 6 options:
Underlying: JFIN | Expiration: 19-Dec-25 | Strike: 10.00 | Previous Close: 0.95 | Adjusted PE: 0.24 | Yield: 0.24%
Underlying: JFIN | Expiration: 16-Jan-26 | Strike: 10.00 | Previous Close: 1.04 | Adjusted PE: 0.24 | Yield: 0.18%
Underlying: KPTI | Expiration: 20-Feb-26 | Strike: 2.50 | Previous Close: 0.22 | Adjusted PE: 0.30 | Yield: 0.11%
Underlying: CSIQ | Expiration: 07-Nov-25 | Strike: 10.00 | Previous Close: 0.09 | Adjusted PE: 0.33 | Yield: 0.08%
Underlying: VNET | Expiration: 21-Nov-25 | Strike: 7.00 | Previous Close: 0.20 | Adjusted PE: 0.37 | Yield: 0.14%
Underlying: VNET | Expiration: 19-Dec-25 | Strike: 7.00 | Previous Close: 0.33 | Adjusted PE: 0.37 | Yield: 0.12%
Underlying: VNET | Expiration: 21-Nov-25 | Strike: 8.00 | Previous Close: 0.41 | Adjusted PE: 0.42 | Yield: 0.25%
Underlying: VNET | Expiration: 21-Nov-25 | Strike: 9.00 | Previous Close: 0.80 | Adjusted PE: 0.47 | Yield: 0.44%
