Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:52:35.395586800
Total Options: 52

These are tier 1 options:
Underlying: CPRX | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 1.03 | Adjusted PE: 14.11 | Yield: 0.26%
Underlying: ISSC | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.60 | Adjusted PE: 14.82 | Yield: 0.30%
These are tier 2 options:
Underlying: SMLR | Expiration: 16-Jan-26 | Strike: 20.00 | Previous Close: 2.45 | Adjusted PE: 3.49 | Yield: 0.21%
These are tier 3 options:
Underlying: INMD | Expiration: 21-Nov-25 | Strike: 15.00 | Previous Close: 0.54 | Adjusted PE: 6.20 | Yield: 0.18%
These are tier 4 options:
Underlying: STLA | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.27 | Adjusted PE: 1.33 | Yield: 0.13%
Underlying: STLA | Expiration: 31-Oct-25 | Strike: 10.50 | Previous Close: 0.24 | Adjusted PE: 1.40 | Yield: 0.44%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 10.50 | Previous Close: 0.35 | Adjusted PE: 1.40 | Yield: 0.22%
Underlying: STLA | Expiration: 07-Nov-25 | Strike: 10.50 | Previous Close: 0.23 | Adjusted PE: 1.40 | Yield: 0.21%
Underlying: STLA | Expiration: 28-Nov-25 | Strike: 10.50 | Previous Close: 0.35 | Adjusted PE: 1.40 | Yield: 0.14%
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.60 | Adjusted PE: 3.49 | Yield: 0.15%
Underlying: HAL | Expiration: 31-Oct-25 | Strike: 18.50 | Previous Close: 0.22 | Adjusted PE: 3.74 | Yield: 0.23%
Underlying: SSTK | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.65 | Adjusted PE: 4.16 | Yield: 0.16%
Underlying: OPFI | Expiration: 21-Nov-25 | Strike: 9.75 | Previous Close: 0.58 | Adjusted PE: 4.74 | Yield: 0.29%
These are tier 5 options:
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 19.00 | Previous Close: 0.37 | Adjusted PE: 0.00 | Yield: 0.10%
Underlying: YPF | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.60 | Adjusted PE: 0.00 | Yield: 0.15%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 9.50 | Previous Close: 0.15 | Adjusted PE: 1.27 | Yield: 0.10%
Underlying: STLA | Expiration: 07-Nov-25 | Strike: 10.00 | Previous Close: 0.13 | Adjusted PE: 1.33 | Yield: 0.12%
Underlying: STLA | Expiration: 14-Nov-25 | Strike: 10.00 | Previous Close: 0.18 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: STLA | Expiration: 19-Dec-25 | Strike: 10.00 | Previous Close: 0.45 | Adjusted PE: 1.33 | Yield: 0.11%
Underlying: HAL | Expiration: 07-Nov-25 | Strike: 13.00 | Previous Close: 0.14 | Adjusted PE: 2.63 | Yield: 0.10%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 1.00 | Adjusted PE: 3.49 | Yield: 0.13%
Underlying: MTLS | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 3.51 | Yield: 0.09%
Underlying: SSTK | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 1.00 | Adjusted PE: 4.16 | Yield: 0.13%
Underlying: RPD | Expiration: 19-Dec-25 | Strike: 17.50 | Previous Close: 1.15 | Adjusted PE: 5.47 | Yield: 0.17%
Underlying: RPD | Expiration: 16-Jan-26 | Strike: 17.50 | Previous Close: 1.40 | Adjusted PE: 5.47 | Yield: 0.14%
Underlying: DOLE | Expiration: 21-Nov-25 | Strike: 12.50 | Previous Close: 0.31 | Adjusted PE: 5.50 | Yield: 0.12%
Underlying: RPD | Expiration: 20-Mar-26 | Strike: 18.00 | Previous Close: 2.20 | Adjusted PE: 5.63 | Yield: 0.12%
Underlying: RPD | Expiration: 16-Jan-26 | Strike: 19.00 | Previous Close: 2.05 | Adjusted PE: 5.94 | Yield: 0.19%
Underlying: INMD | Expiration: 16-Jan-26 | Strike: 15.00 | Previous Close: 0.92 | Adjusted PE: 6.20 | Yield: 0.11%
Underlying: FIVN | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.59 | Adjusted PE: 6.83 | Yield: 0.15%
Underlying: FIVN | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 0.95 | Adjusted PE: 6.83 | Yield: 0.12%
Underlying: FIVN | Expiration: 17-Apr-26 | Strike: 20.00 | Previous Close: 2.25 | Adjusted PE: 6.83 | Yield: 0.09%
Underlying: HLIT | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.70 | Adjusted PE: 6.94 | Yield: 0.35%
Underlying: OPRA | Expiration: 21-Nov-25 | Strike: 14.00 | Previous Close: 0.51 | Adjusted PE: 8.34 | Yield: 0.18%
Underlying: OPRA | Expiration: 19-Dec-25 | Strike: 14.00 | Previous Close: 0.60 | Adjusted PE: 8.34 | Yield: 0.11%
Underlying: OPRA | Expiration: 21-Nov-25 | Strike: 15.00 | Previous Close: 1.10 | Adjusted PE: 8.93 | Yield: 0.36%
Underlying: VTSI | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 8.98 | Yield: 0.19%
Underlying: PPIH | Expiration: 19-Dec-25 | Strike: 20.00 | Previous Close: 0.76 | Adjusted PE: 13.41 | Yield: 0.10%
Underlying: PPIH | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 0.37 | Adjusted PE: 13.41 | Yield: 0.09%
These are tier 6 options:
Underlying: YPF | Expiration: 19-Dec-25 | Strike: 19.00 | Previous Close: 0.50 | Adjusted PE: 0.00 | Yield: 0.07%
