Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:57:37.798868100
Total Options: 179

These are tier 1 options:
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 23.00 | Previous Close: 2.00 | Adjusted PE: 4.01 | Yield: 0.43%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 37.00 | Previous Close: 1.82 | Adjusted PE: 8.41 | Yield: 0.25%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 38.00 | Previous Close: 2.00 | Adjusted PE: 8.63 | Yield: 0.26%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 39.00 | Previous Close: 2.50 | Adjusted PE: 8.86 | Yield: 0.32%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 40.00 | Previous Close: 2.80 | Adjusted PE: 9.09 | Yield: 0.35%
Underlying: YETI | Expiration: 21-Nov-25 | Strike: 35.00 | Previous Close: 1.80 | Adjusted PE: 12.58 | Yield: 0.26%
Underlying: CPRX | Expiration: 21-Nov-25 | Strike: 20.00 | Previous Close: 1.03 | Adjusted PE: 14.11 | Yield: 0.26%
Underlying: ISSC | Expiration: 21-Nov-25 | Strike: 10.00 | Previous Close: 0.60 | Adjusted PE: 14.82 | Yield: 0.30%
These are tier 2 options:
Underlying: SMLR | Expiration: 16-Jan-26 | Strike: 20.00 | Previous Close: 2.45 | Adjusted PE: 3.49 | Yield: 0.21%
Underlying: YELP | Expiration: 21-Nov-25 | Strike: 33.00 | Previous Close: 1.56 | Adjusted PE: 4.70 | Yield: 0.24%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 36.00 | Previous Close: 1.55 | Adjusted PE: 8.18 | Yield: 0.21%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 40.00 | Previous Close: 4.55 | Adjusted PE: 9.09 | Yield: 0.20%
Underlying: YETI | Expiration: 21-Nov-25 | Strike: 32.50 | Previous Close: 1.30 | Adjusted PE: 11.68 | Yield: 0.20%
These are tier 3 options:
Underlying: SMLR | Expiration: 17-Apr-26 | Strike: 22.00 | Previous Close: 4.80 | Adjusted PE: 3.84 | Yield: 0.18%
Underlying: YELP | Expiration: 21-Nov-25 | Strike: 32.00 | Previous Close: 1.12 | Adjusted PE: 4.55 | Yield: 0.17%
Underlying: INMD | Expiration: 21-Nov-25 | Strike: 15.00 | Previous Close: 0.54 | Adjusted PE: 6.20 | Yield: 0.18%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 34.00 | Previous Close: 1.14 | Adjusted PE: 7.72 | Yield: 0.17%
