Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-27T08:33:47.099176300
Total Options: 33

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
These are tier 4 options:
These are tier 5 options:
Underlying: MTLS | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 3.51 | Yield: 0.09%
Underlying: VTSI | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 8.98 | Yield: 0.19%
These are tier 6 options:
Underlying: KPTI | Expiration: 20-Feb-26 | Strike: 2.50 | Previous Close: 0.22 | Adjusted PE: 0.30 | Yield: 0.11%
Underlying: CIG | Expiration: 19-Dec-25 | Strike: 1.50 | Previous Close: 0.05 | Adjusted PE: 0.52 | Yield: 0.07%
Underlying: MGNX | Expiration: 17-Apr-26 | Strike: 1.50 | Previous Close: 0.20 | Adjusted PE: 0.82 | Yield: 0.11%
Underlying: F | Expiration: 31-Oct-25 | Strike: 5.00 | Previous Close: 0.07 | Adjusted PE: 0.89 | Yield: 0.24%
Underlying: F | Expiration: 07-Nov-25 | Strike: 5.00 | Previous Close: 0.06 | Adjusted PE: 0.89 | Yield: 0.10%
Underlying: DAO | Expiration: 21-Nov-25 | Strike: 5.00 | Previous Close: 0.10 | Adjusted PE: 0.93 | Yield: 0.09%
Underlying: OEC | Expiration: 16-Jan-26 | Strike: 5.00 | Previous Close: 0.30 | Adjusted PE: 1.05 | Yield: 0.10%
Underlying: OEC | Expiration: 17-Apr-26 | Strike: 5.00 | Previous Close: 0.55 | Adjusted PE: 1.05 | Yield: 0.09%
Underlying: EGHT | Expiration: 15-May-26 | Strike: 1.50 | Previous Close: 0.15 | Adjusted PE: 1.78 | Yield: 0.07%
Underlying: NPWR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.19 | Adjusted PE: 2.15 | Yield: 0.36%
Underlying: CTMX | Expiration: 21-Nov-25 | Strike: 3.00 | Previous Close: 0.32 | Adjusted PE: 2.20 | Yield: 0.52%
Underlying: CTMX | Expiration: 21-Jan-28 | Strike: 3.00 | Previous Close: 1.54 | Adjusted PE: 2.20 | Yield: 0.09%
Underlying: STRO | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.15 | Adjusted PE: 2.78 | Yield: 0.70%
Underlying: DCGO | Expiration: 21-Nov-25 | Strike: 1.00 | Previous Close: 0.05 | Adjusted PE: 2.92 | Yield: 0.20%
Underlying: SLQT | Expiration: 21-Nov-25 | Strike: 1.50 | Previous Close: 0.05 | Adjusted PE: 3.08 | Yield: 0.13%
Underlying: SPRO | Expiration: 21-Nov-25 | Strike: 2.00 | Previous Close: 0.10 | Adjusted PE: 3.83 | Yield: 0.23%
Underlying: CODI | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.26 | Adjusted PE: 4.37 | Yield: 0.06%
Underlying: CODI | Expiration: 15-May-26 | Strike: 5.00 | Previous Close: 0.45 | Adjusted PE: 4.37 | Yield: 0.06%
Underlying: ACB | Expiration: 20-Mar-26 | Strike: 3.00 | Previous Close: 0.19 | Adjusted PE: 6.93 | Yield: 0.06%
Underlying: INDI | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.38 | Adjusted PE: 7.70 | Yield: 0.38%
Underlying: CAPR | Expiration: 21-Nov-25 | Strike: 2.50 | Previous Close: 0.24 | Adjusted PE: 7.97 | Yield: 0.46%
Underlying: CAPR | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.44 | Adjusted PE: 7.97 | Yield: 0.44%
Underlying: CAPR | Expiration: 16-Jan-26 | Strike: 2.50 | Previous Close: 0.43 | Adjusted PE: 7.97 | Yield: 0.30%
Underlying: ACB | Expiration: 16-Jan-26 | Strike: 3.50 | Previous Close: 0.17 | Adjusted PE: 8.09 | Yield: 0.08%
Underlying: ARMP | Expiration: 19-Dec-25 | Strike: 2.50 | Previous Close: 0.15 | Adjusted PE: 8.49 | Yield: 0.14%
