Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-11-06T06:26:46.844773700
Total Options: 97

These are tier 1 options:
Underlying: TSM | Expiration: 07-Nov-25 | Strike: 290.00 | Previous Close: 2.17 | Adjusted PE: 0.65 | Yield: 0.37%
Underlying: TSM | Expiration: 14-Nov-25 | Strike: 290.00 | Previous Close: 5.10 | Adjusted PE: 0.65 | Yield: 0.25%
Underlying: TSM | Expiration: 07-Nov-25 | Strike: 292.50 | Previous Close: 3.00 | Adjusted PE: 0.65 | Yield: 0.51%
Underlying: TSM | Expiration: 14-Nov-25 | Strike: 292.50 | Previous Close: 5.83 | Adjusted PE: 0.65 | Yield: 0.28%
Underlying: NTES | Expiration: 21-Nov-25 | Strike: 135.00 | Previous Close: 3.89 | Adjusted PE: 1.76 | Yield: 0.24%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 15.00 | Previous Close: 0.51 | Adjusted PE: 3.41 | Yield: 0.28%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 3.39 | Adjusted PE: 4.36 | Yield: 0.44%
Underlying: SMLR | Expiration: 16-Jan-26 | Strike: 25.00 | Previous Close: 3.80 | Adjusted PE: 4.36 | Yield: 0.31%
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 26.00 | Previous Close: 2.17 | Adjusted PE: 4.54 | Yield: 0.69%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 27.00 | Previous Close: 3.10 | Adjusted PE: 4.71 | Yield: 0.37%
Underlying: COP | Expiration: 07-Nov-25 | Strike: 86.00 | Previous Close: 0.53 | Adjusted PE: 4.74 | Yield: 0.30%
Underlying: COP | Expiration: 07-Nov-25 | Strike: 87.00 | Previous Close: 0.87 | Adjusted PE: 4.80 | Yield: 0.49%
Underlying: COP | Expiration: 14-Nov-25 | Strike: 87.00 | Previous Close: 1.41 | Adjusted PE: 4.80 | Yield: 0.23%
Underlying: SMLR | Expiration: 21-Nov-25 | Strike: 28.00 | Previous Close: 3.76 | Adjusted PE: 4.88 | Yield: 1.12%
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 28.00 | Previous Close: 5.30 | Adjusted PE: 4.88 | Yield: 0.61%
Underlying: PLAB | Expiration: 21-Nov-25 | Strike: 22.50 | Previous Close: 0.63 | Adjusted PE: 5.05 | Yield: 0.23%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 37.00 | Previous Close: 0.21 | Adjusted PE: 5.56 | Yield: 0.27%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 45.00 | Previous Close: 1.25 | Adjusted PE: 6.06 | Yield: 0.23%
Underlying: ALKS | Expiration: 21-Nov-25 | Strike: 24.00 | Previous Close: 1.15 | Adjusted PE: 6.29 | Yield: 0.40%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 590.00 | Previous Close: 3.65 | Adjusted PE: 6.53 | Yield: 0.31%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 29.00 | Previous Close: 1.05 | Adjusted PE: 6.59 | Yield: 0.30%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 50.00 | Previous Close: 2.58 | Adjusted PE: 6.73 | Yield: 0.43%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 30.00 | Previous Close: 1.39 | Adjusted PE: 6.82 | Yield: 0.38%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 30.00 | Previous Close: 2.25 | Adjusted PE: 6.82 | Yield: 0.24%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 620.00 | Previous Close: 3.30 | Adjusted PE: 6.86 | Yield: 0.27%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 625.00 | Previous Close: 4.72 | Adjusted PE: 6.92 | Yield: 0.38%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 630.00 | Previous Close: 6.47 | Adjusted PE: 6.97 | Yield: 0.51%
Underlying: REGN | Expiration: 14-Nov-25 | Strike: 635.00 | Previous Close: 14.00 | Adjusted PE: 7.03 | Yield: 0.32%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 31.00 | Previous Close: 1.84 | Adjusted PE: 7.04 | Yield: 0.49%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 31.00 | Previous Close: 2.55 | Adjusted PE: 7.04 | Yield: 0.26%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 47.00 | Previous Close: 0.40 | Adjusted PE: 7.06 | Yield: 0.42%
Underlying: REGN | Expiration: 07-Nov-25 | Strike: 640.00 | Previous Close: 9.50 | Adjusted PE: 7.08 | Yield: 0.74%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 48.00 | Previous Close: 0.26 | Adjusted PE: 7.21 | Yield: 0.26%
