Sold Option Buy-to-Close Report - Option Scanner
Underlying: CRNT
Strike: 2.0
Expiration: 2026-01-16
Type: put
Sold Date: 2025-09-19
Sold Price: 0.10
Total Trading Days: 83
Timestamp: 2025-11-13T07:33:07.981491200

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-09-19   1          0.09         0.09        
2025-09-22   2          0.09         0.09        
2025-09-23   3          0.09         0.09        
2025-09-24   4          0.09         0.09        
2025-09-25   5          0.09         0.08        
2025-09-26   6          0.09         0.08        
2025-09-29   7          0.09         0.08        
2025-09-30   8          0.09         0.08        
2025-10-01   9          0.08         0.07        
2025-10-02   10         0.08         0.07        
2025-10-03   11         0.08         0.07        
2025-10-06   12         0.08         0.07        
2025-10-07   13         0.08         0.06        
2025-10-08   14         0.08         0.06        
2025-10-09   15         0.08         0.06        
2025-10-10   16         0.08         0.06        
2025-10-13   17         0.07         0.05        
2025-10-14   18         0.07         0.05        
2025-10-15   19         0.07         0.05        
2025-10-16   20         0.07         0.05        
2025-10-17   21         0.07         0.04        
2025-10-20   22         0.07         0.04        
2025-10-21   23         0.07         0.04        
2025-10-22   24         0.07         0.04        
2025-10-23   25         0.06         0.03        
2025-10-24   26         0.06         0.03        
2025-10-27   27         0.06         0.03        
2025-10-28   28         0.06         0.03        
2025-10-29   29         0.06         0.03        
2025-10-30   30         0.06         0.02        
2025-10-31   31         0.06         0.02        
2025-11-03   32         0.06         0.02        
2025-11-04   33         0.06         0.02        
2025-11-05   34         0.05         0.01        
2025-11-06   35         0.05         0.01        
2025-11-07   36         0.05         0.01        
2025-11-10   37         0.05         0.01        
2025-11-11   38         0.05         0.03        
2025-11-12   39         0.05         0.02        
2025-11-13   40         0.05         0.02        
2025-11-14   41         0.05         0.02        
2025-11-17   42         0.04         0.02        
2025-11-18   43         0.04         0.02        
2025-11-19   44         0.04         0.02        
2025-11-20   45         0.04         0.01        
2025-11-21   46         0.04         0.01        
2025-11-24   47         0.04         0.01        
2025-11-25   48         0.04         0.01        
2025-11-26   49         0.04         0.01        
2025-11-28   50         0.03         0.02        
2025-12-01   51         0.03         0.02        
2025-12-02   52         0.03         0.02        
2025-12-03   53         0.03         0.02        
2025-12-04   54         0.03         0.01        
2025-12-05   55         0.03         0.01        
2025-12-08   56         0.03         0.01        
2025-12-09   57         0.03         0.01        
2025-12-10   58         0.03         0.01        
2025-12-11   59         0.02         0.01        
2025-12-12   60         0.02         0.01        
2025-12-15   61         0.02         0.01        
2025-12-16   62         0.02         0.01        
2025-12-17   63         0.02         0.01        
2025-12-18   64         0.02         0.01        
2025-12-19   65         0.02         0.01        
2025-12-22   66         0.02         0.01        
2025-12-23   67         0.01         0.01        
2025-12-24   68         0.01         0.01        
2025-12-26   69         0.01         0.01        
2025-12-29   70         0.01         0.01        
2025-12-30   71         0.01         0.01        
2025-12-31   72         0.01         0.01        
2026-01-02   73         0.01         0.01        
2026-01-05   74         0.01         0.01        
2026-01-06   75         0.00         0.00        
2026-01-07   76         0.00         0.00        
2026-01-08   77         0.00         0.00        
2026-01-09   78         0.00         0.00        
2026-01-12   79         0.00         0.00        
2026-01-13   80         0.00         0.00        
2026-01-14   81         0.00         0.00        
2026-01-15   82         0.00         0.00        
2026-01-16   83         0.00         0.00        
