These are covered call options for owned stock: TSLA
Dollar Cost Average (Basis): $400.00
Generated on: 2025-11-20 10:25:32

Underlying | Expiration   | Strike   | Previous Close | Yield
--------------------------------------------------------------------------------
TSLA       |    21-NOV-25 |   400.00 |        10.34 |  1.291
TSLA       |    21-NOV-25 |   402.50 |         8.81 |  1.100
TSLA       |    21-NOV-25 |   405.00 |         7.50 |  0.936
TSLA       |    21-NOV-25 |   407.50 |         6.28 |  0.784
TSLA       |    28-NOV-25 |   400.00 |        15.92 |  0.663
TSLA       |    21-NOV-25 |   410.00 |         5.15 |  0.643
TSLA       |    28-NOV-25 |   402.50 |        14.50 |  0.604
TSLA       |    28-NOV-25 |   405.00 |        13.20 |  0.550
TSLA       |    21-NOV-25 |   412.50 |         4.27 |  0.533
TSLA       |    28-NOV-25 |   407.50 |        12.00 |  0.500
TSLA       |    05-DEC-25 |   400.00 |        20.80 |  0.473
TSLA       |    28-NOV-25 |   410.00 |        10.83 |  0.451
TSLA       |    05-DEC-25 |   402.50 |        19.45 |  0.442
TSLA       |    21-NOV-25 |   415.00 |         3.47 |  0.433
TSLA       |    05-DEC-25 |   405.00 |        18.07 |  0.410
TSLA       |    28-NOV-25 |   412.50 |         9.71 |  0.404
TSLA       |    12-DEC-25 |   400.00 |        24.60 |  0.384
TSLA       |    05-DEC-25 |   407.50 |        16.90 |  0.384
TSLA       |    28-NOV-25 |   415.00 |         8.75 |  0.364
TSLA       |    05-DEC-25 |   410.00 |        15.74 |  0.358
TSLA       |    21-NOV-25 |   417.50 |         2.78 |  0.346
TSLA       |    12-DEC-25 |   405.00 |        22.05 |  0.344
TSLA       |    05-DEC-25 |   412.50 |        14.65 |  0.333
TSLA       |    19-DEC-25 |   400.00 |        27.65 |  0.329
TSLA       |    28-NOV-25 |   417.50 |         7.80 |  0.325
TSLA       |    05-DEC-25 |   415.00 |        13.59 |  0.309
TSLA       |    19-DEC-25 |   405.00 |        25.40 |  0.302
TSLA       |    26-DEC-25 |   400.00 |        30.10 |  0.301
TSLA       |    12-DEC-25 |   410.00 |        19.00 |  0.297
TSLA       |    28-NOV-25 |   420.00 |         7.02 |  0.292
TSLA       |    05-DEC-25 |   417.50 |        12.65 |  0.287
TSLA       |    21-NOV-25 |   420.00 |         2.23 |  0.278
TSLA       |    02-JAN-26 |   400.00 |        32.10 |  0.277
TSLA       |    26-DEC-25 |   405.00 |        27.50 |  0.275
TSLA       |    19-DEC-25 |   410.00 |        23.00 |  0.274
TSLA       |    12-DEC-25 |   415.00 |        17.45 |  0.272
TSLA       |    05-DEC-25 |   420.00 |        11.66 |  0.265
TSLA       |    28-NOV-25 |   422.50 |         6.20 |  0.258
TSLA       |    02-JAN-26 |   405.00 |        29.87 |  0.257
TSLA       |    26-DEC-25 |   410.00 |        25.10 |  0.251
TSLA       |    19-DEC-25 |   415.00 |        20.80 |  0.248
TSLA       |    16-JAN-26 |   400.00 |        38.10 |  0.244
TSLA       |    02-JAN-26 |   410.00 |        28.11 |  0.242
TSLA       |    05-DEC-25 |   422.50 |        10.45 |  0.237
TSLA       |    12-DEC-25 |   420.00 |        15.10 |  0.236
TSLA       |    28-NOV-25 |   425.00 |         5.56 |  0.231
TSLA       |    16-JAN-26 |   405.00 |        36.00 |  0.231
TSLA       |    05-DEC-25 |   425.00 |        10.00 |  0.227
TSLA       |    26-DEC-25 |   415.00 |        22.65 |  0.226
TSLA       |    02-JAN-26 |   415.00 |        26.28 |  0.226
TSLA       |    19-DEC-25 |   420.00 |        18.85 |  0.224
TSLA       |    21-NOV-25 |   422.50 |         1.76 |  0.219
TSLA       |    26-DEC-25 |   420.00 |        21.40 |  0.214
TSLA       |    12-DEC-25 |   425.00 |        13.70 |  0.214
TSLA       |    16-JAN-26 |   410.00 |        33.30 |  0.213
TSLA       |    02-JAN-26 |   420.00 |        24.45 |  0.211
TSLA       |    28-NOV-25 |   427.50 |         4.90 |  0.204
TSLA       |    19-DEC-25 |   425.00 |        17.00 |  0.202
TSLA       |    05-DEC-25 |   427.50 |         8.90 |  0.202
TSLA       |    16-JAN-26 |   415.00 |        31.20 |  0.200
TSLA       |    20-FEB-26 |   400.00 |        49.53 |  0.200
TSLA       |    05-DEC-25 |   430.00 |         8.50 |  0.193
TSLA       |    02-JAN-26 |   425.00 |        22.30 |  0.192
TSLA       |    12-DEC-25 |   430.00 |        12.10 |  0.189
TSLA       |    26-DEC-25 |   425.00 |        18.85 |  0.188
TSLA       |    16-JAN-26 |   420.00 |        29.10 |  0.186
TSLA       |    19-DEC-25 |   430.00 |        15.30 |  0.182
TSLA       |    28-NOV-25 |   430.00 |         4.35 |  0.181
TSLA       |    20-FEB-26 |   410.00 |        44.95 |  0.181
TSLA       |    02-JAN-26 |   430.00 |        20.28 |  0.175
TSLA       |    16-JAN-26 |   425.00 |        26.65 |  0.171
TSLA       |    20-MAR-26 |   400.00 |        56.16 |  0.171
TSLA       |    26-DEC-25 |   430.00 |        17.00 |  0.170
TSLA       |    21-NOV-25 |   425.00 |         1.37 |  0.170
TSLA       |    12-DEC-25 |   435.00 |        10.65 |  0.166
TSLA       |    20-MAR-26 |   405.00 |        54.00 |  0.165
TSLA       |    20-FEB-26 |   420.00 |        40.70 |  0.164
TSLA       |    19-DEC-25 |   435.00 |        13.70 |  0.163
TSLA       |    05-DEC-25 |   435.00 |         7.20 |  0.163
TSLA       |    16-JAN-26 |   430.00 |        25.30 |  0.162
TSLA       |    20-MAR-26 |   410.00 |        52.12 |  0.159
TSLA       |    02-JAN-26 |   435.00 |        18.23 |  0.157
TSLA       |    28-NOV-25 |   432.50 |         3.75 |  0.156
TSLA       |    26-DEC-25 |   435.00 |        15.55 |  0.155
TSLA       |    17-APR-26 |   400.00 |        62.83 |  0.155
TSLA       |    20-MAR-26 |   415.00 |        49.46 |  0.151
TSLA       |    16-JAN-26 |   435.00 |        23.54 |  0.151
TSLA       |    20-FEB-26 |   430.00 |        36.91 |  0.149
TSLA       |    19-DEC-25 |   440.00 |        12.40 |  0.148
TSLA       |    17-APR-26 |   405.00 |        59.55 |  0.147
TSLA       |    20-MAR-26 |   420.00 |        47.76 |  0.146
TSLA       |    02-JAN-26 |   440.00 |        16.76 |  0.144
TSLA       |    15-MAY-26 |   400.00 |        69.76 |  0.144
TSLA       |    17-APR-26 |   410.00 |        58.25 |  0.144
TSLA       |    16-JAN-26 |   440.00 |        22.00 |  0.141
TSLA       |    12-DEC-25 |   440.00 |         9.05 |  0.141
TSLA       |    26-DEC-25 |   440.00 |        13.85 |  0.138
TSLA       |    05-DEC-25 |   440.00 |         6.04 |  0.137
TSLA       |    17-APR-26 |   415.00 |        55.30 |  0.137
TSLA       |    02-JAN-26 |   445.00 |        15.68 |  0.135
TSLA       |    17-APR-26 |   420.00 |        54.40 |  0.135
TSLA       |    28-NOV-25 |   435.00 |         3.25 |  0.135
TSLA       |    15-MAY-26 |   410.00 |        65.00 |  0.134
TSLA       |    20-MAR-26 |   430.00 |        43.65 |  0.133
TSLA       |    21-NOV-25 |   427.50 |         1.07 |  0.133
TSLA       |    20-FEB-26 |   440.00 |        33.02 |  0.133
TSLA       |    18-JUN-26 |   400.00 |        75.20 |  0.131
TSLA       |    19-DEC-25 |   445.00 |        11.01 |  0.131
TSLA       |    16-JAN-26 |   445.00 |        20.39 |  0.131
TSLA       |    12-DEC-25 |   445.00 |         8.30 |  0.130
TSLA       |    26-DEC-25 |   445.00 |        12.85 |  0.128
TSLA       |    17-APR-26 |   425.00 |        51.63 |  0.128
TSLA       |    18-JUN-26 |   405.00 |        73.00 |  0.127
TSLA       |    17-APR-26 |   435.00 |        51.00 |  0.126
TSLA       |    15-MAY-26 |   420.00 |        61.03 |  0.126
TSLA       |    18-JUN-26 |   410.00 |        71.10 |  0.123
TSLA       |    02-JAN-26 |   450.00 |        14.29 |  0.123
TSLA       |    28-NOV-25 |   437.50 |         2.95 |  0.123
TSLA       |    17-JUL-26 |   400.00 |        79.43 |  0.122
TSLA       |    16-JAN-26 |   450.00 |        19.05 |  0.122
TSLA       |    17-JUL-26 |   410.00 |        79.25 |  0.122
TSLA       |    20-FEB-26 |   450.00 |        30.20 |  0.122
TSLA       |    17-APR-26 |   430.00 |        49.05 |  0.121
TSLA       |    20-MAR-26 |   440.00 |        39.30 |  0.120
TSLA       |    15-MAY-26 |   430.00 |        57.17 |  0.118
TSLA       |    26-DEC-25 |   450.00 |        11.85 |  0.118
TSLA       |    19-DEC-25 |   450.00 |         9.90 |  0.118
TSLA       |    05-DEC-25 |   445.00 |         5.15 |  0.117
TSLA       |    18-JUN-26 |   415.00 |        67.60 |  0.117
TSLA       |    18-JUN-26 |   420.00 |        66.80 |  0.116
TSLA       |    21-AUG-26 |   400.00 |        86.30 |  0.115
TSLA       |    16-JAN-26 |   455.00 |        17.63 |  0.113
TSLA       |    18-JUN-26 |   425.00 |        65.20 |  0.113
TSLA       |    17-APR-26 |   440.00 |        45.60 |  0.113
TSLA       |    12-DEC-25 |   450.00 |         7.20 |  0.112
TSLA       |    20-MAR-26 |   450.00 |        36.90 |  0.112
TSLA       |    02-JAN-26 |   455.00 |        12.95 |  0.112
TSLA       |    17-JUL-26 |   420.00 |        71.45 |  0.110
TSLA       |    20-FEB-26 |   460.00 |        27.19 |  0.110
TSLA       |    15-MAY-26 |   440.00 |        53.30 |  0.110
TSLA       |    17-APR-26 |   445.00 |        44.60 |  0.110
TSLA       |    21-AUG-26 |   410.00 |        81.95 |  0.109
TSLA       |    18-SEP-26 |   400.00 |        90.30 |  0.109
TSLA       |    18-JUN-26 |   430.00 |        62.40 |  0.108
TSLA       |    28-NOV-25 |   440.00 |         2.61 |  0.108
TSLA       |    17-APR-26 |   450.00 |        43.24 |  0.107
TSLA       |    16-JAN-26 |   460.00 |        16.50 |  0.106
TSLA       |    18-JUN-26 |   445.00 |        61.17 |  0.106
TSLA       |    19-DEC-25 |   455.00 |         8.80 |  0.105
TSLA       |    02-JAN-26 |   460.00 |        12.10 |  0.104
TSLA       |    18-JUN-26 |   435.00 |        59.90 |  0.104
TSLA       |    18-SEP-26 |   410.00 |        86.30 |  0.104
TSLA       |    17-JUL-26 |   430.00 |        67.00 |  0.103
TSLA       |    17-APR-26 |   455.00 |        41.65 |  0.103
TSLA       |    15-MAY-26 |   450.00 |        50.00 |  0.103
TSLA       |    18-JUN-26 |   440.00 |        59.35 |  0.103
TSLA       |    21-AUG-26 |   420.00 |        77.35 |  0.103
TSLA       |    26-DEC-25 |   455.00 |        10.25 |  0.102
TSLA       |    21-NOV-25 |   430.00 |         0.83 |  0.102
TSLA       |    18-SEP-26 |   420.00 |        83.10 |  0.100
TSLA       |    05-DEC-25 |   450.00 |         4.35 |  0.099
TSLA       |    16-JAN-26 |   465.00 |        15.40 |  0.099
TSLA       |    20-FEB-26 |   470.00 |        24.50 |  0.099
TSLA       |    17-JUL-26 |   440.00 |        64.35 |  0.099
TSLA       |    21-AUG-26 |   430.00 |        74.45 |  0.099
TSLA       |    20-MAR-26 |   460.00 |        32.55 |  0.099
TSLA       |    17-APR-26 |   460.00 |        39.65 |  0.098
TSLA       |    12-DEC-25 |   455.00 |         6.24 |  0.097
TSLA       |    26-DEC-25 |   460.00 |         9.60 |  0.096
TSLA       |    18-JUN-26 |   450.00 |        55.50 |  0.096
TSLA       |    15-MAY-26 |   460.00 |        46.42 |  0.096
TSLA       |    17-APR-26 |   465.00 |        38.40 |  0.095
TSLA       |    28-NOV-25 |   442.50 |         2.29 |  0.095
TSLA       |    20-MAR-26 |   470.00 |        30.95 |  0.094
TSLA       |    18-JUN-26 |   455.00 |        54.30 |  0.094
TSLA       |    19-DEC-25 |   460.00 |         7.90 |  0.094
TSLA       |    18-DEC-26 |   400.00 |       102.16 |  0.094
TSLA       |    21-AUG-26 |   440.00 |        70.85 |  0.094
TSLA       |    17-JUL-26 |   450.00 |        60.40 |  0.093
TSLA       |    15-JAN-27 |   400.00 |       107.36 |  0.093
TSLA       |    18-SEP-26 |   430.00 |        76.90 |  0.093
TSLA       |    17-APR-26 |   470.00 |        37.02 |  0.092
TSLA       |    02-JAN-26 |   465.00 |        10.65 |  0.092
TSLA       |    18-DEC-26 |   410.00 |       100.00 |  0.092
TSLA       |    18-SEP-26 |   440.00 |        75.12 |  0.091
TSLA       |    18-JUN-26 |   465.00 |        52.15 |  0.091
TSLA       |    20-FEB-26 |   480.00 |        22.21 |  0.090
TSLA       |    16-JAN-26 |   470.00 |        13.95 |  0.089
TSLA       |    15-MAY-26 |   470.00 |        42.90 |  0.089
TSLA       |    15-JAN-27 |   410.00 |       102.60 |  0.089
TSLA       |    18-JUN-26 |   460.00 |        51.42 |  0.089
TSLA       |    18-DEC-26 |   420.00 |        95.55 |  0.088
TSLA       |    21-AUG-26 |   450.00 |        66.45 |  0.088
TSLA       |    17-APR-26 |   475.00 |        35.67 |  0.088
TSLA       |    17-JUL-26 |   460.00 |        57.15 |  0.088
TSLA       |    20-MAR-26 |   480.00 |        28.52 |  0.087
TSLA       |    21-AUG-26 |   460.00 |        64.70 |  0.086
TSLA       |    17-APR-26 |   480.00 |        34.60 |  0.086
TSLA       |    02-JAN-26 |   470.00 |        10.02 |  0.086
TSLA       |    18-SEP-26 |   450.00 |        71.12 |  0.086
TSLA       |    15-MAY-26 |   480.00 |        41.58 |  0.086
TSLA       |    12-DEC-25 |   460.00 |         5.46 |  0.085
TSLA       |    16-JAN-26 |   475.00 |        13.22 |  0.085
TSLA       |    15-JAN-27 |   420.00 |        98.51 |  0.085
TSLA       |    18-JUN-26 |   475.00 |        48.73 |  0.085
TSLA       |    18-JUN-26 |   470.00 |        48.94 |  0.085
TSLA       |    18-DEC-26 |   430.00 |        91.69 |  0.085
TSLA       |    19-DEC-25 |   465.00 |         7.10 |  0.084
TSLA       |    17-APR-26 |   485.00 |        33.35 |  0.083
TSLA       |    15-JAN-27 |   430.00 |        96.00 |  0.083
TSLA       |    28-NOV-25 |   445.00 |         2.00 |  0.083
TSLA       |    17-JUL-26 |   470.00 |        54.00 |  0.083
TSLA       |    18-SEP-26 |   460.00 |        68.40 |  0.083
TSLA       |    18-JUN-26 |   480.00 |        47.13 |  0.082
TSLA       |    26-DEC-25 |   465.00 |         8.23 |  0.082
TSLA       |    21-AUG-26 |   470.00 |        61.35 |  0.082
TSLA       |    05-DEC-25 |   455.00 |         3.60 |  0.082
TSLA       |    18-DEC-26 |   440.00 |        87.40 |  0.081
TSLA       |    20-FEB-26 |   490.00 |        20.20 |  0.081
TSLA       |    21-NOV-25 |   432.50 |         0.65 |  0.080
TSLA       |    17-JUN-27 |   400.00 |       125.55 |  0.080
TSLA       |    17-JUL-26 |   480.00 |        52.23 |  0.080
TSLA       |    15-JAN-27 |   440.00 |        92.58 |  0.080
TSLA       |    18-DEC-26 |   450.00 |        85.65 |  0.079
TSLA       |    18-JUN-26 |   495.00 |        45.60 |  0.079
TSLA       |    20-MAR-26 |   490.00 |        25.80 |  0.079
TSLA       |    15-MAY-26 |   490.00 |        37.92 |  0.078
TSLA       |    18-SEP-26 |   470.00 |        64.85 |  0.078
TSLA       |    17-APR-26 |   490.00 |        31.59 |  0.078
TSLA       |    18-JUN-26 |   485.00 |        44.83 |  0.078
TSLA       |    16-JAN-26 |   480.00 |        12.21 |  0.078
TSLA       |    17-JUN-27 |   410.00 |       121.08 |  0.077
TSLA       |    26-DEC-25 |   470.00 |         7.75 |  0.077
TSLA       |    18-SEP-26 |   480.00 |        63.95 |  0.077
TSLA       |    17-APR-26 |   495.00 |        30.95 |  0.077
TSLA       |    18-JUN-26 |   490.00 |        44.15 |  0.077
TSLA       |    15-JAN-27 |   450.00 |        88.83 |  0.077
TSLA       |    21-AUG-26 |   480.00 |        57.50 |  0.076
TSLA       |    17-JUL-26 |   490.00 |        49.70 |  0.076
TSLA       |    15-JAN-27 |   460.00 |        86.99 |  0.075
TSLA       |    17-JUN-27 |   420.00 |       117.43 |  0.075
TSLA       |    15-MAY-26 |   500.00 |        36.25 |  0.075
