Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-11-21T04:41:38.595600
Total Options: 94

These are tier 1 options:
Underlying: UMC | Expiration: 21-Nov-25 | Strike: 7.00 | Previous Close: 0.10 | Adjusted PE: 0.12 | Yield: 1.29%
Underlying: TSM | Expiration: 28-Nov-25 | Strike: 267.50 | Previous Close: 3.63 | Adjusted PE: 0.60 | Yield: 0.27%
Underlying: TSM | Expiration: 21-Nov-25 | Strike: 267.50 | Previous Close: 0.69 | Adjusted PE: 0.60 | Yield: 0.25%
Underlying: TSM | Expiration: 21-Nov-25 | Strike: 270.00 | Previous Close: 1.08 | Adjusted PE: 0.60 | Yield: 0.40%
Underlying: TSM | Expiration: 28-Nov-25 | Strike: 270.00 | Previous Close: 4.51 | Adjusted PE: 0.60 | Yield: 0.33%
Underlying: TSM | Expiration: 21-Nov-25 | Strike: 272.50 | Previous Close: 1.53 | Adjusted PE: 0.61 | Yield: 0.56%
Underlying: TSM | Expiration: 28-Nov-25 | Strike: 272.50 | Previous Close: 4.75 | Adjusted PE: 0.61 | Yield: 0.35%
Underlying: TSM | Expiration: 05-Dec-25 | Strike: 272.50 | Previous Close: 6.72 | Adjusted PE: 0.61 | Yield: 0.25%
Underlying: TSM | Expiration: 21-Nov-25 | Strike: 275.00 | Previous Close: 2.33 | Adjusted PE: 0.62 | Yield: 0.84%
Underlying: TSM | Expiration: 28-Nov-25 | Strike: 275.00 | Previous Close: 5.89 | Adjusted PE: 0.62 | Yield: 0.43%
Underlying: TSM | Expiration: 05-Dec-25 | Strike: 275.00 | Previous Close: 7.57 | Adjusted PE: 0.62 | Yield: 0.28%
Underlying: TSM | Expiration: 12-Dec-25 | Strike: 275.00 | Previous Close: 10.66 | Adjusted PE: 0.62 | Yield: 0.26%
Underlying: TSM | Expiration: 21-Nov-25 | Strike: 277.50 | Previous Close: 3.27 | Adjusted PE: 0.62 | Yield: 1.18%
Underlying: TSM | Expiration: 28-Nov-25 | Strike: 277.50 | Previous Close: 6.96 | Adjusted PE: 0.62 | Yield: 0.50%
Underlying: TSM | Expiration: 05-Dec-25 | Strike: 277.50 | Previous Close: 9.30 | Adjusted PE: 0.62 | Yield: 0.34%
Underlying: NTES | Expiration: 21-Nov-25 | Strike: 85.00 | Previous Close: 0.32 | Adjusted PE: 1.11 | Yield: 0.37%
Underlying: NTES | Expiration: 21-Nov-25 | Strike: 90.00 | Previous Close: 0.57 | Adjusted PE: 1.18 | Yield: 0.62%
Underlying: NTES | Expiration: 21-Nov-25 | Strike: 130.00 | Previous Close: 0.50 | Adjusted PE: 1.70 | Yield: 0.38%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 30.00 | Previous Close: 0.37 | Adjusted PE: 4.04 | Yield: 1.20%
