Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-09T04:39:56.561793600
Total Options: 73

These are tier 1 options:
Underlying: UMC | Expiration: 19-Dec-25 | Strike: 8.00 | Previous Close: 0.30 | Adjusted PE: 0.13 | Yield: 0.40%
Underlying: TSM | Expiration: 12-Dec-25 | Strike: 297.50 | Previous Close: 3.97 | Adjusted PE: 0.67 | Yield: 0.33%
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 297.50 | Previous Close: 6.60 | Adjusted PE: 0.67 | Yield: 0.25%
Underlying: TSM | Expiration: 12-Dec-25 | Strike: 300.00 | Previous Close: 4.50 | Adjusted PE: 0.67 | Yield: 0.37%
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 300.00 | Previous Close: 7.00 | Adjusted PE: 0.67 | Yield: 0.26%
Underlying: TSM | Expiration: 26-Dec-25 | Strike: 300.00 | Previous Close: 8.97 | Adjusted PE: 0.67 | Yield: 0.23%
Underlying: PLAB | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.65 | Adjusted PE: 5.05 | Yield: 0.32%
Underlying: PLAB | Expiration: 19-Dec-25 | Strike: 25.00 | Previous Close: 1.60 | Adjusted PE: 5.61 | Yield: 0.71%
Underlying: PLAB | Expiration: 16-Jan-26 | Strike: 25.00 | Previous Close: 2.05 | Adjusted PE: 5.61 | Yield: 0.30%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 700.00 | Previous Close: 6.85 | Adjusted PE: 7.75 | Yield: 0.24%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 35.00 | Previous Close: 0.80 | Adjusted PE: 7.95 | Yield: 0.25%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 36.00 | Previous Close: 1.37 | Adjusted PE: 8.18 | Yield: 0.42%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.77 | Adjusted PE: 8.18 | Yield: 0.28%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 55.00 | Previous Close: 0.70 | Adjusted PE: 8.26 | Yield: 0.31%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 55.00 | Previous Close: 1.37 | Adjusted PE: 8.26 | Yield: 0.28%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 56.00 | Previous Close: 0.93 | Adjusted PE: 8.42 | Yield: 0.41%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 56.00 | Previous Close: 1.73 | Adjusted PE: 8.42 | Yield: 0.34%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 56.00 | Previous Close: 2.38 | Adjusted PE: 8.42 | Yield: 0.25%
Underlying: ACLS | Expiration: 19-Dec-25 | Strike: 90.00 | Previous Close: 2.50 | Adjusted PE: 9.24 | Yield: 0.31%
Underlying: TGLS | Expiration: 19-Dec-25 | Strike: 50.00 | Previous Close: 1.10 | Adjusted PE: 9.67 | Yield: 0.24%
Underlying: META | Expiration: 12-Dec-25 | Strike: 662.50 | Previous Close: 6.30 | Adjusted PE: 12.07 | Yield: 0.24%
Underlying: META | Expiration: 12-Dec-25 | Strike: 665.00 | Previous Close: 7.50 | Adjusted PE: 12.11 | Yield: 0.28%
Underlying: ALGN | Expiration: 12-Dec-25 | Strike: 155.00 | Previous Close: 1.70 | Adjusted PE: 12.90 | Yield: 0.27%
Underlying: ALGN | Expiration: 12-Dec-25 | Strike: 157.50 | Previous Close: 2.80 | Adjusted PE: 13.11 | Yield: 0.44%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 157.50 | Previous Close: 4.10 | Adjusted PE: 13.11 | Yield: 0.29%
Underlying: SNPS | Expiration: 16-Jan-26 | Strike: 380.00 | Previous Close: 23.60 | Adjusted PE: 13.26 | Yield: 0.23%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 420.00 | Previous Close: 4.00 | Adjusted PE: 14.66 | Yield: 0.24%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 422.50 | Previous Close: 4.38 | Adjusted PE: 14.74 | Yield: 0.26%
Underlying: ISSC | Expiration: 19-Dec-25 | Strike: 10.00 | Previous Close: 0.78 | Adjusted PE: 14.82 | Yield: 0.86%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 425.00 | Previous Close: 5.00 | Adjusted PE: 14.83 | Yield: 0.29%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 427.50 | Previous Close: 5.40 | Adjusted PE: 14.92 | Yield: 0.32%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 430.00 | Previous Close: 5.80 | Adjusted PE: 15.01 | Yield: 0.34%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 432.50 | Previous Close: 6.59 | Adjusted PE: 15.09 | Yield: 0.38%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 435.00 | Previous Close: 7.02 | Adjusted PE: 15.18 | Yield: 0.40%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 437.50 | Previous Close: 8.50 | Adjusted PE: 15.27 | Yield: 0.49%
Underlying: YETI | Expiration: 19-Dec-25 | Strike: 42.50 | Previous Close: 1.05 | Adjusted PE: 15.27 | Yield: 0.27%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 440.00 | Previous Close: 8.71 | Adjusted PE: 15.35 | Yield: 0.49%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 440.00 | Previous Close: 11.60 | Adjusted PE: 15.35 | Yield: 0.29%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 442.50 | Previous Close: 9.30 | Adjusted PE: 15.44 | Yield: 0.53%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 445.00 | Previous Close: 10.70 | Adjusted PE: 15.53 | Yield: 0.60%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 445.00 | Previous Close: 13.30 | Adjusted PE: 15.53 | Yield: 0.33%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 447.50 | Previous Close: 10.82 | Adjusted PE: 15.62 | Yield: 0.60%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 447.50 | Previous Close: 13.80 | Adjusted PE: 15.62 | Yield: 0.34%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 450.00 | Previous Close: 12.16 | Adjusted PE: 15.70 | Yield: 0.68%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 450.00 | Previous Close: 14.90 | Adjusted PE: 15.70 | Yield: 0.37%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 450.00 | Previous Close: 16.05 | Adjusted PE: 15.70 | Yield: 0.27%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 452.50 | Previous Close: 11.00 | Adjusted PE: 15.79 | Yield: 0.61%
Underlying: CPRX | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.58 | Adjusted PE: 15.87 | Yield: 0.28%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 455.00 | Previous Close: 14.01 | Adjusted PE: 15.88 | Yield: 0.77%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 455.00 | Previous Close: 17.00 | Adjusted PE: 15.88 | Yield: 0.42%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 457.50 | Previous Close: 14.61 | Adjusted PE: 15.96 | Yield: 0.80%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 460.00 | Previous Close: 16.70 | Adjusted PE: 16.05 | Yield: 0.91%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 460.00 | Previous Close: 19.42 | Adjusted PE: 16.05 | Yield: 0.47%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 460.00 | Previous Close: 21.00 | Adjusted PE: 16.05 | Yield: 0.35%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 462.50 | Previous Close: 18.00 | Adjusted PE: 16.14 | Yield: 0.97%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 465.00 | Previous Close: 18.81 | Adjusted PE: 16.23 | Yield: 1.01%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 465.00 | Previous Close: 20.60 | Adjusted PE: 16.23 | Yield: 0.49%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 465.00 | Previous Close: 22.00 | Adjusted PE: 16.23 | Yield: 0.36%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 465.00 | Previous Close: 25.05 | Adjusted PE: 16.23 | Yield: 0.32%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 465.00 | Previous Close: 26.65 | Adjusted PE: 16.23 | Yield: 0.26%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 7.11 | Adjusted PE: 19.00 | Yield: 0.25%
Underlying: GOOGL | Expiration: 12-Dec-25 | Strike: 310.00 | Previous Close: 3.07 | Adjusted PE: 19.10 | Yield: 0.25%
Underlying: GOOGL | Expiration: 12-Dec-25 | Strike: 312.50 | Previous Close: 4.12 | Adjusted PE: 19.26 | Yield: 0.33%
Underlying: GOOG | Expiration: 12-Dec-25 | Strike: 312.50 | Previous Close: 3.85 | Adjusted PE: 19.26 | Yield: 0.31%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 312.50 | Previous Close: 6.67 | Adjusted PE: 19.26 | Yield: 0.24%
