Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-10T04:32:40.772618200
Total Options: 91

These are tier 1 options:
Underlying: COP | Expiration: 12-Dec-25 | Strike: 93.00 | Previous Close: 0.82 | Adjusted PE: 5.13 | Yield: 0.29%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 35.00 | Previous Close: 0.70 | Adjusted PE: 7.95 | Yield: 0.25%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 36.00 | Previous Close: 1.20 | Adjusted PE: 8.18 | Yield: 0.41%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 3.16 | Adjusted PE: 8.41 | Yield: 0.33%
Underlying: XOM | Expiration: 12-Dec-25 | Strike: 118.00 | Previous Close: 0.87 | Adjusted PE: 8.60 | Yield: 0.24%
Underlying: CRUS | Expiration: 19-Dec-25 | Strike: 125.00 | Previous Close: 3.80 | Adjusted PE: 8.69 | Yield: 0.38%
Underlying: META | Expiration: 12-Dec-25 | Strike: 652.50 | Previous Close: 5.30 | Adjusted PE: 11.89 | Yield: 0.27%
Underlying: META | Expiration: 12-Dec-25 | Strike: 655.00 | Previous Close: 6.28 | Adjusted PE: 11.93 | Yield: 0.32%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 8.50 | Adjusted PE: 19.60 | Yield: 0.32%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 340.00 | Previous Close: 11.00 | Adjusted PE: 20.19 | Yield: 0.40%
Underlying: NVMI | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 8.32 | Adjusted PE: 34.08 | Yield: 0.32%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 557.50 | Previous Close: 4.00 | Adjusted PE: 44.07 | Yield: 0.24%
These are tier 2 options:
Underlying: NTES | Expiration: 19-Dec-25 | Strike: 135.00 | Previous Close: 2.45 | Adjusted PE: 1.76 | Yield: 0.23%
Underlying: COP | Expiration: 19-Dec-25 | Strike: 93.00 | Previous Close: 1.61 | Adjusted PE: 5.13 | Yield: 0.22%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 690.00 | Previous Close: 11.00 | Adjusted PE: 7.64 | Yield: 0.20%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 34.00 | Previous Close: 0.60 | Adjusted PE: 7.72 | Yield: 0.22%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 34.00 | Previous Close: 1.73 | Adjusted PE: 7.72 | Yield: 0.20%
Underlying: META | Expiration: 12-Dec-25 | Strike: 650.00 | Previous Close: 4.33 | Adjusted PE: 11.84 | Yield: 0.22%
Underlying: META | Expiration: 19-Dec-25 | Strike: 652.50 | Previous Close: 10.77 | Adjusted PE: 11.89 | Yield: 0.21%
Underlying: META | Expiration: 19-Dec-25 | Strike: 655.00 | Previous Close: 11.80 | Adjusted PE: 11.93 | Yield: 0.23%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 320.00 | Previous Close: 29.80 | Adjusted PE: 19.00 | Yield: 0.19%
Underlying: VEEV | Expiration: 19-Dec-25 | Strike: 230.00 | Previous Close: 3.50 | Adjusted PE: 26.62 | Yield: 0.19%
These are tier 3 options:
Underlying: COP | Expiration: 19-Dec-25 | Strike: 92.50 | Previous Close: 1.37 | Adjusted PE: 5.10 | Yield: 0.18%
Underlying: COP | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 2.42 | Adjusted PE: 5.13 | Yield: 0.16%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 33.00 | Previous Close: 1.45 | Adjusted PE: 7.50 | Yield: 0.17%
Underlying: ACLS | Expiration: 19-Dec-25 | Strike: 85.00 | Previous Close: 1.25 | Adjusted PE: 8.72 | Yield: 0.18%
Underlying: META | Expiration: 12-Dec-25 | Strike: 647.50 | Previous Close: 3.50 | Adjusted PE: 11.80 | Yield: 0.18%
