Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-11T04:32:27.814867700
Total Options: 88

These are tier 1 options:
Underlying: NTES | Expiration: 19-Dec-25 | Strike: 135.00 | Previous Close: 2.18 | Adjusted PE: 1.76 | Yield: 0.23%
Underlying: LNTH | Expiration: 19-Dec-25 | Strike: 60.00 | Previous Close: 1.32 | Adjusted PE: 8.08 | Yield: 0.31%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.25 | Adjusted PE: 8.18 | Yield: 0.25%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 38.00 | Previous Close: 3.21 | Adjusted PE: 8.63 | Yield: 0.34%
Underlying: XOM | Expiration: 12-Dec-25 | Strike: 119.00 | Previous Close: 0.62 | Adjusted PE: 8.67 | Yield: 0.26%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 39.00 | Previous Close: 1.15 | Adjusted PE: 8.86 | Yield: 0.42%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 39.00 | Previous Close: 3.16 | Adjusted PE: 8.86 | Yield: 0.32%
Underlying: META | Expiration: 12-Dec-25 | Strike: 642.50 | Previous Close: 2.96 | Adjusted PE: 11.70 | Yield: 0.23%
Underlying: META | Expiration: 12-Dec-25 | Strike: 645.00 | Previous Close: 3.65 | Adjusted PE: 11.75 | Yield: 0.28%
Underlying: META | Expiration: 12-Dec-25 | Strike: 647.50 | Previous Close: 4.59 | Adjusted PE: 11.80 | Yield: 0.35%
Underlying: META | Expiration: 19-Dec-25 | Strike: 647.50 | Previous Close: 10.45 | Adjusted PE: 11.80 | Yield: 0.23%
Underlying: META | Expiration: 12-Dec-25 | Strike: 650.00 | Previous Close: 5.62 | Adjusted PE: 11.84 | Yield: 0.43%
Underlying: META | Expiration: 19-Dec-25 | Strike: 650.00 | Previous Close: 11.34 | Adjusted PE: 11.84 | Yield: 0.25%
Underlying: UTHR | Expiration: 19-Dec-25 | Strike: 480.00 | Previous Close: 9.50 | Adjusted PE: 12.11 | Yield: 0.28%
Underlying: CPRX | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.80 | Adjusted PE: 15.87 | Yield: 0.50%
Underlying: YETI | Expiration: 19-Dec-25 | Strike: 45.00 | Previous Close: 1.00 | Adjusted PE: 16.17 | Yield: 0.31%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 650.00 | Previous Close: 4.00 | Adjusted PE: 26.58 | Yield: 0.31%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 652.50 | Previous Close: 3.40 | Adjusted PE: 26.68 | Yield: 0.26%
Underlying: INTU | Expiration: 12-Dec-25 | Strike: 660.00 | Previous Close: 8.20 | Adjusted PE: 26.99 | Yield: 0.62%
Underlying: CAMT | Expiration: 19-Dec-25 | Strike: 120.00 | Previous Close: 3.50 | Adjusted PE: 35.50 | Yield: 0.42%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 550.00 | Previous Close: 2.70 | Adjusted PE: 43.48 | Yield: 0.25%
