Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-12T04:35:11.337308300
Total Options: 115

These are tier 1 options:
Underlying: ALKS | Expiration: 19-Dec-25 | Strike: 29.00 | Previous Close: 0.78 | Adjusted PE: 7.60 | Yield: 0.44%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 725.00 | Previous Close: 3.10 | Adjusted PE: 8.02 | Yield: 0.43%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 732.50 | Previous Close: 9.68 | Adjusted PE: 8.11 | Yield: 1.32%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 735.00 | Previous Close: 5.69 | Adjusted PE: 8.13 | Yield: 0.77%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 735.00 | Previous Close: 10.70 | Adjusted PE: 8.13 | Yield: 0.24%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 737.50 | Previous Close: 11.70 | Adjusted PE: 8.16 | Yield: 0.26%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 740.00 | Previous Close: 8.62 | Adjusted PE: 8.19 | Yield: 1.16%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 740.00 | Previous Close: 10.30 | Adjusted PE: 8.19 | Yield: 0.23%
Underlying: REGN | Expiration: 12-Dec-25 | Strike: 745.00 | Previous Close: 8.54 | Adjusted PE: 8.24 | Yield: 1.15%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 745.00 | Previous Close: 12.50 | Adjusted PE: 8.24 | Yield: 0.28%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 55.00 | Previous Close: 0.22 | Adjusted PE: 8.26 | Yield: 0.38%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 55.00 | Previous Close: 1.00 | Adjusted PE: 8.26 | Yield: 0.30%
Underlying: LNTH | Expiration: 16-Jan-26 | Strike: 62.50 | Previous Close: 3.73 | Adjusted PE: 8.42 | Yield: 0.25%
Underlying: META | Expiration: 12-Dec-25 | Strike: 647.50 | Previous Close: 1.70 | Adjusted PE: 11.80 | Yield: 0.26%
Underlying: META | Expiration: 12-Dec-25 | Strike: 650.00 | Previous Close: 2.46 | Adjusted PE: 11.84 | Yield: 0.38%
Underlying: META | Expiration: 12-Dec-25 | Strike: 652.50 | Previous Close: 3.50 | Adjusted PE: 11.89 | Yield: 0.54%
Underlying: META | Expiration: 19-Dec-25 | Strike: 652.50 | Previous Close: 9.85 | Adjusted PE: 11.89 | Yield: 0.25%
Underlying: ALGN | Expiration: 12-Dec-25 | Strike: 160.00 | Previous Close: 0.70 | Adjusted PE: 13.32 | Yield: 0.43%
Underlying: ALGN | Expiration: 12-Dec-25 | Strike: 162.50 | Previous Close: 0.81 | Adjusted PE: 13.52 | Yield: 0.49%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 162.50 | Previous Close: 2.80 | Adjusted PE: 13.52 | Yield: 0.29%
Underlying: GRMN | Expiration: 19-Dec-25 | Strike: 210.00 | Previous Close: 2.95 | Adjusted PE: 15.63 | Yield: 0.23%
Underlying: CPRX | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.54 | Adjusted PE: 15.87 | Yield: 0.39%
Underlying: GOOG | Expiration: 12-Dec-25 | Strike: 310.00 | Previous Close: 1.10 | Adjusted PE: 19.10 | Yield: 0.35%
Underlying: GOOG | Expiration: 12-Dec-25 | Strike: 312.50 | Previous Close: 1.95 | Adjusted PE: 19.26 | Yield: 0.62%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 312.50 | Previous Close: 4.83 | Adjusted PE: 19.26 | Yield: 0.26%
Underlying: MPWR | Expiration: 19-Dec-25 | Strike: 940.00 | Previous Close: 13.30 | Adjusted PE: 20.33 | Yield: 0.24%
Underlying: MPWR | Expiration: 19-Dec-25 | Strike: 950.00 | Previous Close: 15.57 | Adjusted PE: 20.55 | Yield: 0.27%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 350.00 | Previous Close: 6.60 | Adjusted PE: 20.78 | Yield: 0.31%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 350.00 | Previous Close: 19.55 | Adjusted PE: 20.78 | Yield: 0.23%
Underlying: MPWR | Expiration: 19-Dec-25 | Strike: 970.00 | Previous Close: 22.40 | Adjusted PE: 20.98 | Yield: 0.39%
Underlying: MPWR | Expiration: 19-Dec-25 | Strike: 980.00 | Previous Close: 28.40 | Adjusted PE: 21.20 | Yield: 0.48%
Underlying: MPWR | Expiration: 16-Jan-26 | Strike: 980.00 | Previous Close: 54.32 | Adjusted PE: 21.20 | Yield: 0.23%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 360.00 | Previous Close: 12.03 | Adjusted PE: 21.38 | Yield: 0.56%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 360.00 | Previous Close: 23.20 | Adjusted PE: 21.38 | Yield: 0.27%
Underlying: PNR | Expiration: 19-Dec-25 | Strike: 105.00 | Previous Close: 1.50 | Adjusted PE: 22.11 | Yield: 0.24%
Underlying: CDNS | Expiration: 12-Dec-25 | Strike: 327.50 | Previous Close: 1.00 | Adjusted PE: 32.65 | Yield: 0.30%
Underlying: CDNS | Expiration: 12-Dec-25 | Strike: 332.50 | Previous Close: 2.30 | Adjusted PE: 33.14 | Yield: 0.69%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 332.50 | Previous Close: 5.16 | Adjusted PE: 33.14 | Yield: 0.26%
Underlying: CDNS | Expiration: 12-Dec-25 | Strike: 335.00 | Previous Close: 2.98 | Adjusted PE: 33.39 | Yield: 0.89%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 335.00 | Previous Close: 6.68 | Adjusted PE: 33.39 | Yield: 0.33%
Underlying: CDNS | Expiration: 26-Dec-25 | Strike: 335.00 | Previous Close: 10.35 | Adjusted PE: 33.39 | Yield: 0.31%
Underlying: ISRG | Expiration: 12-Dec-25 | Strike: 545.00 | Previous Close: 2.05 | Adjusted PE: 43.08 | Yield: 0.37%
Underlying: NVDA | Expiration: 12-Dec-25 | Strike: 177.50 | Previous Close: 0.46 | Adjusted PE: 49.45 | Yield: 0.25%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 178.00 | Previous Close: 2.69 | Adjusted PE: 49.59 | Yield: 0.25%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 179.00 | Previous Close: 2.98 | Adjusted PE: 49.87 | Yield: 0.28%
Underlying: NVDA | Expiration: 12-Dec-25 | Strike: 180.00 | Previous Close: 1.12 | Adjusted PE: 50.15 | Yield: 0.62%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 180.00 | Previous Close: 3.42 | Adjusted PE: 50.15 | Yield: 0.32%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 180.00 | Previous Close: 4.40 | Adjusted PE: 50.15 | Yield: 0.24%
These are tier 2 options:
Underlying: ALKS | Expiration: 16-Jan-26 | Strike: 29.00 | Previous Close: 1.50 | Adjusted PE: 7.60 | Yield: 0.21%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 732.50 | Previous Close: 9.40 | Adjusted PE: 8.11 | Yield: 0.21%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 54.00 | Previous Close: 0.72 | Adjusted PE: 8.11 | Yield: 0.22%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 54.00 | Previous Close: 0.12 | Adjusted PE: 8.11 | Yield: 0.20%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 55.00 | Previous Close: 2.27 | Adjusted PE: 8.26 | Yield: 0.22%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 55.00 | Previous Close: 2.55 | Adjusted PE: 8.26 | Yield: 0.19%
Underlying: META | Expiration: 19-Dec-25 | Strike: 647.50 | Previous Close: 8.30 | Adjusted PE: 11.80 | Yield: 0.21%
Underlying: META | Expiration: 19-Dec-25 | Strike: 650.00 | Previous Close: 8.61 | Adjusted PE: 11.84 | Yield: 0.22%
Underlying: META | Expiration: 26-Dec-25 | Strike: 652.50 | Previous Close: 12.40 | Adjusted PE: 11.89 | Yield: 0.19%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 160.00 | Previous Close: 1.98 | Adjusted PE: 13.32 | Yield: 0.21%
Underlying: ALGN | Expiration: 26-Dec-25 | Strike: 162.50 | Previous Close: 3.60 | Adjusted PE: 13.52 | Yield: 0.22%
Underlying: ALGN | Expiration: 02-Jan-26 | Strike: 162.50 | Previous Close: 5.02 | Adjusted PE: 13.52 | Yield: 0.22%
Underlying: CPRX | Expiration: 16-Jan-26 | Strike: 22.50 | Previous Close: 1.13 | Adjusted PE: 15.87 | Yield: 0.21%
Underlying: GOOG | Expiration: 12-Dec-25 | Strike: 307.50 | Previous Close: 0.60 | Adjusted PE: 18.95 | Yield: 0.19%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 310.00 | Previous Close: 3.85 | Adjusted PE: 19.10 | Yield: 0.21%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 312.50 | Previous Close: 6.17 | Adjusted PE: 19.26 | Yield: 0.20%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 340.00 | Previous Close: 4.40 | Adjusted PE: 20.19 | Yield: 0.22%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 350.00 | Previous Close: 32.50 | Adjusted PE: 20.78 | Yield: 0.20%
Underlying: MPWR | Expiration: 16-Jan-26 | Strike: 970.00 | Previous Close: 45.60 | Adjusted PE: 20.98 | Yield: 0.20%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 360.00 | Previous Close: 38.50 | Adjusted PE: 21.38 | Yield: 0.23%
Underlying: CDNS | Expiration: 12-Dec-25 | Strike: 322.50 | Previous Close: 0.70 | Adjusted PE: 32.15 | Yield: 0.21%
Underlying: CDNS | Expiration: 26-Dec-25 | Strike: 327.50 | Previous Close: 6.25 | Adjusted PE: 32.65 | Yield: 0.19%
Underlying: CDNS | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 4.48 | Adjusted PE: 32.89 | Yield: 0.23%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 545.00 | Previous Close: 6.50 | Adjusted PE: 43.08 | Yield: 0.20%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 176.00 | Previous Close: 2.04 | Adjusted PE: 49.03 | Yield: 0.19%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 177.00 | Previous Close: 2.35 | Adjusted PE: 49.31 | Yield: 0.22%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 177.50 | Previous Close: 2.45 | Adjusted PE: 49.45 | Yield: 0.23%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 177.50 | Previous Close: 3.50 | Adjusted PE: 49.45 | Yield: 0.20%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 180.00 | Previous Close: 5.52 | Adjusted PE: 50.15 | Yield: 0.22%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 180.00 | Previous Close: 6.74 | Adjusted PE: 50.15 | Yield: 0.20%
These are tier 3 options:
Underlying: SMLR | Expiration: 19-Dec-25 | Strike: 19.00 | Previous Close: 0.90 | Adjusted PE: 0.64 | Yield: 0.78%
Underlying: SMLR | Expiration: 16-Jan-26 | Strike: 19.00 | Previous Close: 2.09 | Adjusted PE: 0.64 | Yield: 0.46%
Underlying: SMLR | Expiration: 17-Apr-26 | Strike: 19.00 | Previous Close: 3.70 | Adjusted PE: 0.64 | Yield: 0.23%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 49.50 | Previous Close: 0.10 | Adjusted PE: 7.44 | Yield: 0.18%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 53.00 | Previous Close: 1.20 | Adjusted PE: 7.96 | Yield: 0.16%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 727.50 | Previous Close: 7.40 | Adjusted PE: 8.05 | Yield: 0.17%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 730.00 | Previous Close: 7.90 | Adjusted PE: 8.08 | Yield: 0.18%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 730.00 | Previous Close: 12.00 | Adjusted PE: 8.08 | Yield: 0.16%
Underlying: REGN | Expiration: 09-Jan-26 | Strike: 740.00 | Previous Close: 24.20 | Adjusted PE: 8.19 | Yield: 0.17%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 745.00 | Previous Close: 29.70 | Adjusted PE: 8.24 | Yield: 0.17%
Underlying: META | Expiration: 12-Dec-25 | Strike: 645.00 | Previous Close: 1.10 | Adjusted PE: 11.75 | Yield: 0.17%
Underlying: META | Expiration: 19-Dec-25 | Strike: 645.00 | Previous Close: 6.50 | Adjusted PE: 11.75 | Yield: 0.17%
Underlying: META | Expiration: 26-Dec-25 | Strike: 647.50 | Previous Close: 10.75 | Adjusted PE: 11.80 | Yield: 0.17%
Underlying: META | Expiration: 26-Dec-25 | Strike: 650.00 | Previous Close: 11.50 | Adjusted PE: 11.84 | Yield: 0.18%
