Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-14T04:33:03.800018600
Total Options: 131

These are tier 1 options:
Underlying: SPNS | Expiration: 16-Jan-26 | Strike: 15.00 | Previous Close: 1.00 | Adjusted PE: 5.67 | Yield: 0.29%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 54.00 | Previous Close: 0.94 | Adjusted PE: 8.11 | Yield: 0.34%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.10 | Adjusted PE: 8.18 | Yield: 0.25%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 36.00 | Previous Close: 0.45 | Adjusted PE: 8.18 | Yield: 0.24%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 37.00 | Previous Close: 0.65 | Adjusted PE: 8.41 | Yield: 0.35%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 2.50 | Adjusted PE: 8.41 | Yield: 0.29%
Underlying: SPNS | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.40 | Adjusted PE: 8.51 | Yield: 0.35%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 38.00 | Previous Close: 1.20 | Adjusted PE: 8.63 | Yield: 0.63%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 38.00 | Previous Close: 2.20 | Adjusted PE: 8.63 | Yield: 0.25%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 38.00 | Previous Close: 4.20 | Adjusted PE: 8.63 | Yield: 0.24%
Underlying: META | Expiration: 19-Dec-25 | Strike: 640.00 | Previous Close: 7.66 | Adjusted PE: 11.66 | Yield: 0.24%
Underlying: META | Expiration: 19-Dec-25 | Strike: 642.50 | Previous Close: 8.63 | Adjusted PE: 11.70 | Yield: 0.27%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 165.00 | Previous Close: 3.03 | Adjusted PE: 13.73 | Yield: 0.37%
Underlying: ALGN | Expiration: 26-Dec-25 | Strike: 165.00 | Previous Close: 3.50 | Adjusted PE: 13.73 | Yield: 0.24%
Underlying: CPRX | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.70 | Adjusted PE: 15.87 | Yield: 0.61%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 4.50 | Adjusted PE: 19.00 | Yield: 0.28%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 6.40 | Adjusted PE: 19.60 | Yield: 0.39%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 18.15 | Adjusted PE: 19.60 | Yield: 0.24%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 330.00 | Previous Close: 35.40 | Adjusted PE: 19.60 | Yield: 0.23%
Underlying: RMD | Expiration: 19-Dec-25 | Strike: 250.00 | Previous Close: 2.90 | Adjusted PE: 20.22 | Yield: 0.23%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 667.50 | Previous Close: 8.57 | Adjusted PE: 27.29 | Yield: 0.26%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 670.00 | Previous Close: 8.70 | Adjusted PE: 27.40 | Yield: 0.26%
These are tier 2 options:
Underlying: YELP | Expiration: 19-Dec-25 | Strike: 30.00 | Previous Close: 0.35 | Adjusted PE: 4.27 | Yield: 0.23%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 1.60 | Adjusted PE: 7.95 | Yield: 0.20%
