Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-15T09:41:11.018848800
Total Options: 108

These are tier 1 options:
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 732.50 | Previous Close: 10.02 | Adjusted PE: 8.11 | Yield: 0.27%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 54.00 | Previous Close: 0.94 | Adjusted PE: 8.11 | Yield: 0.34%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 735.00 | Previous Close: 10.10 | Adjusted PE: 8.13 | Yield: 0.28%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 740.00 | Previous Close: 12.60 | Adjusted PE: 8.19 | Yield: 0.34%
Underlying: ACLS | Expiration: 19-Dec-25 | Strike: 85.00 | Previous Close: 2.15 | Adjusted PE: 8.72 | Yield: 0.50%
Underlying: META | Expiration: 19-Dec-25 | Strike: 640.00 | Previous Close: 7.66 | Adjusted PE: 11.66 | Yield: 0.24%
Underlying: META | Expiration: 19-Dec-25 | Strike: 642.50 | Previous Close: 8.63 | Adjusted PE: 11.70 | Yield: 0.27%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 165.00 | Previous Close: 3.03 | Adjusted PE: 13.73 | Yield: 0.37%
Underlying: ALGN | Expiration: 26-Dec-25 | Strike: 165.00 | Previous Close: 3.50 | Adjusted PE: 13.73 | Yield: 0.24%
Underlying: CPRX | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.70 | Adjusted PE: 15.87 | Yield: 0.61%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 442.50 | Previous Close: 5.22 | Adjusted PE: 17.95 | Yield: 0.24%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 445.00 | Previous Close: 6.05 | Adjusted PE: 18.05 | Yield: 0.27%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 447.50 | Previous Close: 6.40 | Adjusted PE: 18.15 | Yield: 0.29%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 450.00 | Previous Close: 7.80 | Adjusted PE: 18.25 | Yield: 0.35%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 450.00 | Previous Close: 9.50 | Adjusted PE: 18.25 | Yield: 0.23%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 452.50 | Previous Close: 8.00 | Adjusted PE: 18.35 | Yield: 0.35%
