Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-16T04:32:11.757570100
Total Options: 95

These are tier 1 options:
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.15 | Adjusted PE: 8.18 | Yield: 0.27%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 750.00 | Previous Close: 7.90 | Adjusted PE: 8.30 | Yield: 0.26%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 37.00 | Previous Close: 1.10 | Adjusted PE: 8.41 | Yield: 0.74%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 2.60 | Adjusted PE: 8.41 | Yield: 0.32%
Underlying: UTHR | Expiration: 19-Dec-25 | Strike: 490.00 | Previous Close: 6.60 | Adjusted PE: 12.36 | Yield: 0.34%
Underlying: UTHR | Expiration: 19-Dec-25 | Strike: 500.00 | Previous Close: 11.70 | Adjusted PE: 12.61 | Yield: 0.58%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 307.50 | Previous Close: 3.45 | Adjusted PE: 18.95 | Yield: 0.28%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 307.50 | Previous Close: 3.00 | Adjusted PE: 18.95 | Yield: 0.24%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 4.40 | Adjusted PE: 19.00 | Yield: 0.34%
Underlying: PNR | Expiration: 19-Dec-25 | Strike: 105.00 | Previous Close: 1.25 | Adjusted PE: 22.11 | Yield: 0.30%
Underlying: VEEV | Expiration: 19-Dec-25 | Strike: 220.00 | Previous Close: 3.70 | Adjusted PE: 25.46 | Yield: 0.42%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 555.00 | Previous Close: 8.30 | Adjusted PE: 43.88 | Yield: 0.37%
Underlying: ISRG | Expiration: 19-Dec-25 | Strike: 557.50 | Previous Close: 6.10 | Adjusted PE: 44.07 | Yield: 0.27%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 173.00 | Previous Close: 1.72 | Adjusted PE: 48.20 | Yield: 0.25%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 174.00 | Previous Close: 2.14 | Adjusted PE: 48.48 | Yield: 0.31%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 175.00 | Previous Close: 2.53 | Adjusted PE: 48.76 | Yield: 0.36%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 175.00 | Previous Close: 3.70 | Adjusted PE: 48.76 | Yield: 0.26%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 176.00 | Previous Close: 2.79 | Adjusted PE: 49.03 | Yield: 0.40%
These are tier 2 options:
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 34.00 | Previous Close: 1.50 | Adjusted PE: 7.72 | Yield: 0.20%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 1.77 | Adjusted PE: 7.95 | Yield: 0.23%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 745.00 | Previous Close: 6.23 | Adjusted PE: 8.24 | Yield: 0.21%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 750.00 | Previous Close: 12.15 | Adjusted PE: 8.30 | Yield: 0.20%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 210.00 | Previous Close: 1.66 | Adjusted PE: 12.47 | Yield: 0.20%
