Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-17T04:33:00.222400800
Total Options: 139

These are tier 1 options:
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 285.00 | Previous Close: 2.45 | Adjusted PE: 0.64 | Yield: 0.29%
Underlying: TSM | Expiration: 26-Dec-25 | Strike: 285.00 | Previous Close: 4.87 | Adjusted PE: 0.64 | Yield: 0.24%
Underlying: CRUS | Expiration: 19-Dec-25 | Strike: 95.00 | Previous Close: 1.75 | Adjusted PE: 6.60 | Yield: 0.61%
Underlying: IMO | Expiration: 19-Dec-25 | Strike: 85.00 | Previous Close: 0.84 | Adjusted PE: 6.66 | Yield: 0.33%
Underlying: ALKS | Expiration: 19-Dec-25 | Strike: 27.00 | Previous Close: 0.25 | Adjusted PE: 7.07 | Yield: 0.30%
Underlying: ALKS | Expiration: 19-Dec-25 | Strike: 28.00 | Previous Close: 0.55 | Adjusted PE: 7.34 | Yield: 0.64%
Underlying: ALKS | Expiration: 16-Jan-26 | Strike: 28.00 | Previous Close: 1.55 | Adjusted PE: 7.34 | Yield: 0.26%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 53.00 | Previous Close: 1.10 | Adjusted PE: 7.96 | Yield: 0.29%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 54.00 | Previous Close: 0.99 | Adjusted PE: 8.11 | Yield: 0.61%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 54.00 | Previous Close: 1.25 | Adjusted PE: 8.11 | Yield: 0.33%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 54.00 | Previous Close: 1.72 | Adjusted PE: 8.11 | Yield: 0.29%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 54.00 | Previous Close: 2.10 | Adjusted PE: 8.11 | Yield: 0.24%
Underlying: CRUS | Expiration: 19-Dec-25 | Strike: 120.00 | Previous Close: 1.10 | Adjusted PE: 8.34 | Yield: 0.30%
Underlying: LRN | Expiration: 19-Dec-25 | Strike: 65.00 | Previous Close: 0.50 | Adjusted PE: 8.53 | Yield: 0.25%
Underlying: UTHR | Expiration: 19-Dec-25 | Strike: 500.00 | Previous Close: 8.00 | Adjusted PE: 12.61 | Yield: 0.53%
Underlying: YETI | Expiration: 19-Dec-25 | Strike: 42.50 | Previous Close: 0.52 | Adjusted PE: 15.27 | Yield: 0.40%
Underlying: MSFT | Expiration: 19-Dec-25 | Strike: 475.00 | Previous Close: 3.40 | Adjusted PE: 17.83 | Yield: 0.24%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 452.50 | Previous Close: 3.88 | Adjusted PE: 18.35 | Yield: 0.29%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 455.00 | Previous Close: 3.75 | Adjusted PE: 18.46 | Yield: 0.27%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 457.50 | Previous Close: 5.65 | Adjusted PE: 18.56 | Yield: 0.41%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 460.00 | Previous Close: 5.60 | Adjusted PE: 18.66 | Yield: 0.41%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 460.00 | Previous Close: 11.67 | Adjusted PE: 18.66 | Yield: 0.36%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 462.50 | Previous Close: 7.10 | Adjusted PE: 18.76 | Yield: 0.51%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 305.00 | Previous Close: 2.70 | Adjusted PE: 18.80 | Yield: 0.29%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 305.00 | Previous Close: 2.17 | Adjusted PE: 18.80 | Yield: 0.24%
Underlying: GOOG | Expiration: 19-Dec-25 | Strike: 307.50 | Previous Close: 3.15 | Adjusted PE: 18.95 | Yield: 0.34%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 3.35 | Adjusted PE: 19.00 | Yield: 0.35%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 8.06 | Adjusted PE: 19.60 | Yield: 0.81%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 20.66 | Adjusted PE: 19.60 | Yield: 0.30%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 330.00 | Previous Close: 37.55 | Adjusted PE: 19.60 | Yield: 0.26%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 660.00 | Previous Close: 12.90 | Adjusted PE: 26.99 | Yield: 0.28%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 665.00 | Previous Close: 5.30 | Adjusted PE: 27.19 | Yield: 0.27%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 667.50 | Previous Close: 7.42 | Adjusted PE: 27.29 | Yield: 0.37%
These are tier 2 options:
Underlying: TSM | Expiration: 19-Dec-25 | Strike: 282.50 | Previous Close: 1.75 | Adjusted PE: 0.63 | Yield: 0.21%
Underlying: TSM | Expiration: 02-Jan-26 | Strike: 282.50 | Previous Close: 5.97 | Adjusted PE: 0.63 | Yield: 0.19%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 52.00 | Previous Close: 0.32 | Adjusted PE: 7.81 | Yield: 0.20%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 52.00 | Previous Close: 0.70 | Adjusted PE: 7.81 | Yield: 0.19%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 53.00 | Previous Close: 0.37 | Adjusted PE: 7.96 | Yield: 0.23%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 53.00 | Previous Close: 1.22 | Adjusted PE: 7.96 | Yield: 0.21%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 450.00 | Previous Close: 3.00 | Adjusted PE: 18.25 | Yield: 0.22%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 310.00 | Previous Close: 13.70 | Adjusted PE: 18.41 | Yield: 0.21%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 455.00 | Previous Close: 7.03 | Adjusted PE: 18.46 | Yield: 0.22%
Underlying: GOOGL | Expiration: 19-Dec-25 | Strike: 302.50 | Previous Close: 1.77 | Adjusted PE: 18.64 | Yield: 0.19%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 460.00 | Previous Close: 15.15 | Adjusted PE: 18.66 | Yield: 0.21%
Underlying: GOOGL | Expiration: 26-Dec-25 | Strike: 305.00 | Previous Close: 4.29 | Adjusted PE: 18.80 | Yield: 0.20%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 307.50 | Previous Close: 4.80 | Adjusted PE: 18.95 | Yield: 0.22%
Underlying: GOOG | Expiration: 02-Jan-26 | Strike: 307.50 | Previous Close: 6.75 | Adjusted PE: 18.95 | Yield: 0.20%
Underlying: RMD | Expiration: 19-Dec-25 | Strike: 240.00 | Previous Close: 1.59 | Adjusted PE: 19.41 | Yield: 0.22%
