Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-23T04:33:00.906910200
Total Options: 94

These are tier 1 options:
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 477.50 | Previous Close: 3.35 | Adjusted PE: 19.37 | Yield: 0.23%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 480.00 | Previous Close: 11.40 | Adjusted PE: 19.47 | Yield: 0.34%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 480.00 | Previous Close: 3.71 | Adjusted PE: 19.47 | Yield: 0.26%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 14.40 | Adjusted PE: 19.60 | Yield: 0.26%
Underlying: CDNS | Expiration: 26-Dec-25 | Strike: 315.00 | Previous Close: 2.34 | Adjusted PE: 31.40 | Yield: 0.25%
Underlying: CDNS | Expiration: 02-Jan-26 | Strike: 315.00 | Previous Close: 5.25 | Adjusted PE: 31.40 | Yield: 0.24%
Underlying: NVMI | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 13.70 | Adjusted PE: 34.08 | Yield: 0.24%
These are tier 2 options:
Underlying: COP | Expiration: 26-Dec-25 | Strike: 93.00 | Previous Close: 0.62 | Adjusted PE: 5.13 | Yield: 0.22%
Underlying: COP | Expiration: 02-Jan-26 | Strike: 93.00 | Previous Close: 1.34 | Adjusted PE: 5.13 | Yield: 0.20%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 5.35 | Adjusted PE: 8.53 | Yield: 0.21%
Underlying: REGN | Expiration: 26-Dec-25 | Strike: 775.00 | Previous Close: 4.56 | Adjusted PE: 8.58 | Yield: 0.20%
Underlying: GOOG | Expiration: 26-Dec-25 | Strike: 310.00 | Previous Close: 2.01 | Adjusted PE: 19.10 | Yield: 0.22%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 477.50 | Previous Close: 7.00 | Adjusted PE: 19.37 | Yield: 0.21%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 480.00 | Previous Close: 11.50 | Adjusted PE: 19.47 | Yield: 0.20%
Underlying: SNPS | Expiration: 23-Jan-26 | Strike: 480.00 | Previous Close: 19.65 | Adjusted PE: 19.47 | Yield: 0.20%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 575.00 | Previous Close: 23.30 | Adjusted PE: 45.46 | Yield: 0.19%
These are tier 3 options:
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 1.94 | Adjusted PE: 8.53 | Yield: 0.18%
