Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-24T04:33:41.676952200
Total Options: 123

These are tier 1 options:
Underlying: XOM | Expiration: 26-Dec-25 | Strike: 65.00 | Previous Close: 0.63 | Adjusted PE: 4.74 | Yield: 0.48%
Underlying: XOM | Expiration: 26-Dec-25 | Strike: 70.00 | Previous Close: 0.68 | Adjusted PE: 5.10 | Yield: 0.48%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 54.00 | Previous Close: 1.45 | Adjusted PE: 8.11 | Yield: 0.24%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 1.40 | Adjusted PE: 8.18 | Yield: 0.24%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 55.00 | Previous Close: 0.32 | Adjusted PE: 8.26 | Yield: 0.28%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 55.00 | Previous Close: 0.82 | Adjusted PE: 8.26 | Yield: 0.25%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 1.55 | Adjusted PE: 8.41 | Yield: 0.26%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 38.00 | Previous Close: 2.20 | Adjusted PE: 8.63 | Yield: 0.36%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 39.00 | Previous Close: 2.50 | Adjusted PE: 8.86 | Yield: 0.40%
Underlying: ALGN | Expiration: 26-Dec-25 | Strike: 155.00 | Previous Close: 0.95 | Adjusted PE: 12.90 | Yield: 0.30%
Underlying: ALGN | Expiration: 02-Jan-26 | Strike: 155.00 | Previous Close: 2.31 | Adjusted PE: 12.90 | Yield: 0.25%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 467.50 | Previous Close: 2.48 | Adjusted PE: 18.96 | Yield: 0.26%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 470.00 | Previous Close: 7.48 | Adjusted PE: 19.06 | Yield: 0.27%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 472.50 | Previous Close: 4.70 | Adjusted PE: 19.17 | Yield: 0.50%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 472.50 | Previous Close: 7.40 | Adjusted PE: 19.17 | Yield: 0.26%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 472.50 | Previous Close: 12.20 | Adjusted PE: 19.17 | Yield: 0.24%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 475.00 | Previous Close: 3.73 | Adjusted PE: 19.27 | Yield: 0.39%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 13.37 | Adjusted PE: 19.60 | Yield: 0.25%
Underlying: MPWR | Expiration: 16-Jan-26 | Strike: 940.00 | Previous Close: 37.00 | Adjusted PE: 20.33 | Yield: 0.25%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 670.00 | Previous Close: 9.25 | Adjusted PE: 27.40 | Yield: 0.23%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 672.50 | Previous Close: 5.00 | Adjusted PE: 27.50 | Yield: 0.37%
These are tier 2 options:
Underlying: ON | Expiration: 16-Jan-26 | Strike: 55.00 | Previous Close: 1.99 | Adjusted PE: 8.26 | Yield: 0.23%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 5.60 | Adjusted PE: 8.53 | Yield: 0.22%
Underlying: TGLS | Expiration: 16-Jan-26 | Strike: 50.00 | Previous Close: 1.60 | Adjusted PE: 9.67 | Yield: 0.20%
Underlying: ALGN | Expiration: 09-Jan-26 | Strike: 155.00 | Previous Close: 3.30 | Adjusted PE: 12.90 | Yield: 0.19%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 467.50 | Previous Close: 5.50 | Adjusted PE: 18.96 | Yield: 0.20%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 467.50 | Previous Close: 9.90 | Adjusted PE: 18.96 | Yield: 0.19%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 320.00 | Previous Close: 26.51 | Adjusted PE: 19.00 | Yield: 0.21%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 320.00 | Previous Close: 10.12 | Adjusted PE: 19.00 | Yield: 0.20%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 470.00 | Previous Close: 1.90 | Adjusted PE: 19.06 | Yield: 0.20%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 667.50 | Previous Close: 2.85 | Adjusted PE: 27.29 | Yield: 0.21%
Underlying: INTU | Expiration: 26-Dec-25 | Strike: 670.00 | Previous Close: 3.08 | Adjusted PE: 27.40 | Yield: 0.23%
Underlying: INTU | Expiration: 02-Jan-26 | Strike: 672.50 | Previous Close: 8.27 | Adjusted PE: 27.50 | Yield: 0.21%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 575.00 | Previous Close: 25.83 | Adjusted PE: 45.46 | Yield: 0.23%
Underlying: ISRG | Expiration: 16-Jan-26 | Strike: 575.00 | Previous Close: 18.40 | Adjusted PE: 45.46 | Yield: 0.20%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 187.50 | Previous Close: 2.58 | Adjusted PE: 52.24 | Yield: 0.23%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 187.50 | Previous Close: 0.86 | Adjusted PE: 52.24 | Yield: 0.23%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 187.50 | Previous Close: 4.15 | Adjusted PE: 52.24 | Yield: 0.20%
Underlying: NVDA | Expiration: 16-Jan-26 | Strike: 189.00 | Previous Close: 6.06 | Adjusted PE: 52.66 | Yield: 0.20%
These are tier 3 options:
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 1.05 | Adjusted PE: 7.95 | Yield: 0.19%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 54.00 | Previous Close: 1.60 | Adjusted PE: 8.11 | Yield: 0.18%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 54.00 | Previous Close: 0.60 | Adjusted PE: 8.11 | Yield: 0.18%
Underlying: ACLS | Expiration: 16-Jan-26 | Strike: 80.00 | Previous Close: 2.10 | Adjusted PE: 8.21 | Yield: 0.16%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 55.00 | Previous Close: 2.59 | Adjusted PE: 8.26 | Yield: 0.19%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 55.00 | Previous Close: 3.66 | Adjusted PE: 8.26 | Yield: 0.17%
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 1.86 | Adjusted PE: 8.53 | Yield: 0.18%
Underlying: LRN | Expiration: 20-Mar-26 | Strike: 65.00 | Previous Close: 6.15 | Adjusted PE: 8.53 | Yield: 0.16%
Underlying: ACMR | Expiration: 15-May-26 | Strike: 38.00 | Previous Close: 6.10 | Adjusted PE: 8.63 | Yield: 0.16%
