Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-25T04:32:39.270062600
Total Options: 129

These are tier 1 options:
Underlying: META | Expiration: 26-Dec-25 | Strike: 130.00 | Previous Close: 0.31 | Adjusted PE: 2.37 | Yield: 0.23%
Underlying: ON | Expiration: 26-Dec-25 | Strike: 55.00 | Previous Close: 0.42 | Adjusted PE: 8.26 | Yield: 0.75%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 55.00 | Previous Close: 0.99 | Adjusted PE: 8.26 | Yield: 0.36%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 55.00 | Previous Close: 1.67 | Adjusted PE: 8.26 | Yield: 0.30%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 55.00 | Previous Close: 1.95 | Adjusted PE: 8.26 | Yield: 0.24%
Underlying: XOM | Expiration: 26-Dec-25 | Strike: 119.00 | Previous Close: 0.34 | Adjusted PE: 8.67 | Yield: 0.28%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 40.00 | Previous Close: 4.20 | Adjusted PE: 9.09 | Yield: 0.28%
Underlying: META | Expiration: 26-Dec-25 | Strike: 665.00 | Previous Close: 1.68 | Adjusted PE: 12.11 | Yield: 0.25%
Underlying: META | Expiration: 26-Dec-25 | Strike: 667.50 | Previous Close: 2.64 | Adjusted PE: 12.16 | Yield: 0.39%
Underlying: MSFT | Expiration: 26-Dec-25 | Strike: 487.50 | Previous Close: 1.38 | Adjusted PE: 18.30 | Yield: 0.28%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 470.00 | Previous Close: 6.12 | Adjusted PE: 19.06 | Yield: 0.26%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 472.50 | Previous Close: 1.35 | Adjusted PE: 19.17 | Yield: 0.28%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 472.50 | Previous Close: 6.29 | Adjusted PE: 19.17 | Yield: 0.27%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 475.00 | Previous Close: 2.27 | Adjusted PE: 19.27 | Yield: 0.48%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 475.00 | Previous Close: 11.52 | Adjusted PE: 19.27 | Yield: 0.24%
These are tier 2 options:
Underlying: META | Expiration: 26-Dec-25 | Strike: 260.00 | Previous Close: 0.57 | Adjusted PE: 4.74 | Yield: 0.22%
Underlying: ALKS | Expiration: 16-Jan-26 | Strike: 27.00 | Previous Close: 0.80 | Adjusted PE: 7.07 | Yield: 0.20%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 54.00 | Previous Close: 0.60 | Adjusted PE: 8.11 | Yield: 0.22%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 54.00 | Previous Close: 1.65 | Adjusted PE: 8.11 | Yield: 0.20%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 37.00 | Previous Close: 2.85 | Adjusted PE: 8.41 | Yield: 0.20%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 5.45 | Adjusted PE: 8.53 | Yield: 0.22%
Underlying: META | Expiration: 02-Jan-26 | Strike: 665.00 | Previous Close: 6.34 | Adjusted PE: 12.11 | Yield: 0.19%
Underlying: YETI | Expiration: 16-Jan-26 | Strike: 45.00 | Previous Close: 1.45 | Adjusted PE: 16.17 | Yield: 0.21%
Underlying: SNPS | Expiration: 09-Jan-26 | Strike: 472.50 | Previous Close: 10.37 | Adjusted PE: 19.17 | Yield: 0.22%
These are tier 3 options:
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 35.00 | Previous Close: 1.00 | Adjusted PE: 7.95 | Yield: 0.19%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 55.00 | Previous Close: 3.95 | Adjusted PE: 8.26 | Yield: 0.19%
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 1.80 | Adjusted PE: 8.53 | Yield: 0.18%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 780.00 | Previous Close: 20.50 | Adjusted PE: 8.63 | Yield: 0.18%
