Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-29T09:38:34.897986800
Total Options: 84

These are tier 1 options:
Underlying: TSM | Expiration: 02-Jan-26 | Strike: 302.50 | Previous Close: 3.55 | Adjusted PE: 0.68 | Yield: 0.29%
Underlying: TSM | Expiration: 09-Jan-26 | Strike: 302.50 | Previous Close: 6.35 | Adjusted PE: 0.68 | Yield: 0.23%
Underlying: TSM | Expiration: 16-Jan-26 | Strike: 302.50 | Previous Close: 9.75 | Adjusted PE: 0.68 | Yield: 0.23%
Underlying: COP | Expiration: 02-Jan-26 | Strike: 91.00 | Previous Close: 0.86 | Adjusted PE: 5.02 | Yield: 0.23%
Underlying: ON | Expiration: 02-Jan-26 | Strike: 54.00 | Previous Close: 0.56 | Adjusted PE: 8.11 | Yield: 0.26%
Underlying: ON | Expiration: 09-Jan-26 | Strike: 54.00 | Previous Close: 1.24 | Adjusted PE: 8.11 | Yield: 0.25%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 1.50 | Adjusted PE: 8.41 | Yield: 0.29%
Underlying: REGN | Expiration: 02-Jan-26 | Strike: 775.00 | Previous Close: 7.40 | Adjusted PE: 8.58 | Yield: 0.24%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 40.00 | Previous Close: 2.47 | Adjusted PE: 9.09 | Yield: 0.44%
Underlying: ALGN | Expiration: 02-Jan-26 | Strike: 157.50 | Previous Close: 1.75 | Adjusted PE: 13.11 | Yield: 0.28%
Underlying: SNPS | Expiration: 02-Jan-26 | Strike: 475.00 | Previous Close: 5.53 | Adjusted PE: 19.27 | Yield: 0.29%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 12.60 | Adjusted PE: 19.60 | Yield: 0.27%
Underlying: CDNS | Expiration: 02-Jan-26 | Strike: 317.50 | Previous Close: 4.30 | Adjusted PE: 31.65 | Yield: 0.34%
Underlying: CDNS | Expiration: 09-Jan-26 | Strike: 317.50 | Previous Close: 6.83 | Adjusted PE: 31.65 | Yield: 0.24%
Underlying: ISRG | Expiration: 23-Jan-26 | Strike: 575.00 | Previous Close: 26.08 | Adjusted PE: 45.46 | Yield: 0.25%
Underlying: NVDA | Expiration: 02-Jan-26 | Strike: 190.00 | Previous Close: 2.48 | Adjusted PE: 52.93 | Yield: 0.33%
Underlying: NVDA | Expiration: 09-Jan-26 | Strike: 190.00 | Previous Close: 4.20 | Adjusted PE: 52.93 | Yield: 0.25%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 462.50 | Previous Close: 4.43 | Adjusted PE: 70.30 | Yield: 0.24%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 465.00 | Previous Close: 5.22 | Adjusted PE: 70.68 | Yield: 0.28%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 467.50 | Previous Close: 6.09 | Adjusted PE: 71.06 | Yield: 0.33%
Underlying: TSLA | Expiration: 09-Jan-26 | Strike: 467.50 | Previous Close: 10.65 | Adjusted PE: 71.06 | Yield: 0.25%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 470.00 | Previous Close: 7.08 | Adjusted PE: 71.44 | Yield: 0.38%
Underlying: TSLA | Expiration: 09-Jan-26 | Strike: 470.00 | Previous Close: 11.68 | Adjusted PE: 71.44 | Yield: 0.28%
Underlying: TSLA | Expiration: 30-Jan-26 | Strike: 470.00 | Previous Close: 25.40 | Adjusted PE: 71.44 | Yield: 0.24%
Underlying: TSLA | Expiration: 16-Jan-26 | Strike: 470.00 | Previous Close: 15.30 | Adjusted PE: 71.44 | Yield: 0.23%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 472.50 | Previous Close: 8.15 | Adjusted PE: 71.82 | Yield: 0.43%
Underlying: TSLA | Expiration: 09-Jan-26 | Strike: 472.50 | Previous Close: 12.88 | Adjusted PE: 71.82 | Yield: 0.30%
Underlying: TSLA | Expiration: 16-Jan-26 | Strike: 472.50 | Previous Close: 16.63 | Adjusted PE: 71.82 | Yield: 0.25%
Underlying: TSLA | Expiration: 02-Jan-26 | Strike: 475.00 | Previous Close: 9.35 | Adjusted PE: 72.20 | Yield: 0.49%
Underlying: TSLA | Expiration: 09-Jan-26 | Strike: 475.00 | Previous Close: 14.11 | Adjusted PE: 72.20 | Yield: 0.33%
