Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-08T11:02:51.187617600
Total Options: 45

These are tier 1 options:
These are tier 2 options:
These are tier 3 options:
Underlying: MAMA | Expiration: 16-Jan-26 | Strike: 12.50 | Previous Close: 0.34 | Adjusted PE: 53.21 | Yield: 0.38%
These are tier 4 options:
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 3.00 | Previous Close: 0.09 | Adjusted PE: 0.40 | Yield: 1.33%
Underlying: STLA | Expiration: 16-Jan-26 | Strike: 3.00 | Previous Close: 0.15 | Adjusted PE: 0.40 | Yield: 0.67%
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 4.00 | Previous Close: 0.12 | Adjusted PE: 0.53 | Yield: 1.38%
Underlying: STLA | Expiration: 16-Jan-26 | Strike: 4.00 | Previous Close: 0.18 | Adjusted PE: 0.53 | Yield: 0.61%
Underlying: STLA | Expiration: 30-Jan-26 | Strike: 10.50 | Previous Close: 0.40 | Adjusted PE: 1.40 | Yield: 0.23%
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 10.50 | Previous Close: 0.05 | Adjusted PE: 1.40 | Yield: 0.19%
Underlying: STLA | Expiration: 16-Jan-26 | Strike: 10.50 | Previous Close: 0.15 | Adjusted PE: 1.40 | Yield: 0.19%
Underlying: STLA | Expiration: 23-Jan-26 | Strike: 10.50 | Previous Close: 0.20 | Adjusted PE: 1.40 | Yield: 0.17%
Underlying: STLA | Expiration: 06-Feb-26 | Strike: 10.50 | Previous Close: 0.33 | Adjusted PE: 1.40 | Yield: 0.15%
Underlying: OPFI | Expiration: 16-Jan-26 | Strike: 10.00 | Previous Close: 0.36 | Adjusted PE: 4.86 | Yield: 0.50%
Underlying: OPFI | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.70 | Adjusted PE: 4.86 | Yield: 0.23%
These are tier 5 options:
Underlying: STLA | Expiration: 09-Jan-26 | Strike: 10.00 | Previous Close: 0.03 | Adjusted PE: 1.33 | Yield: 0.10%
Underlying: STLA | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.30 | Adjusted PE: 1.33 | Yield: 0.10%
Underlying: STLA | Expiration: 13-Feb-26 | Strike: 10.50 | Previous Close: 0.36 | Adjusted PE: 1.40 | Yield: 0.13%
Underlying: RPD | Expiration: 20-Mar-26 | Strike: 13.00 | Previous Close: 0.76 | Adjusted PE: 4.06 | Yield: 0.12%
Underlying: CX | Expiration: 16-Jan-26 | Strike: 11.00 | Previous Close: 0.14 | Adjusted PE: 7.04 | Yield: 0.17%
Underlying: CX | Expiration: 20-Feb-26 | Strike: 11.00 | Previous Close: 0.34 | Adjusted PE: 7.04 | Yield: 0.10%
Underlying: NRDS | Expiration: 20-Feb-26 | Strike: 12.50 | Previous Close: 0.65 | Adjusted PE: 8.69 | Yield: 0.17%
Underlying: AMRX | Expiration: 20-Mar-26 | Strike: 12.50 | Previous Close: 0.75 | Adjusted PE: 25.95 | Yield: 0.12%
These are tier 6 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 8.00 | Previous Close: 0.20 | Adjusted PE: 0.13 | Yield: 0.08%
Underlying: UMC | Expiration: 17-Apr-26 | Strike: 8.00 | Previous Close: 0.40 | Adjusted PE: 0.13 | Yield: 0.07%
Underlying: UMC | Expiration: 17-Jul-26 | Strike: 8.00 | Previous Close: 0.70 | Adjusted PE: 0.13 | Yield: 0.07%
Underlying: SOGP | Expiration: 17-Apr-26 | Strike: 9.02 | Previous Close: 1.65 | Adjusted PE: 0.26 | Yield: 0.26%
Underlying: SABR | Expiration: 15-Jan-27 | Strike: 0.50 | Previous Close: 0.10 | Adjusted PE: 0.29 | Yield: 0.07%
Underlying: VNET | Expiration: 16-Jan-26 | Strike: 8.00 | Previous Close: 0.05 | Adjusted PE: 0.42 | Yield: 0.07%
Underlying: CSIQ | Expiration: 15-May-26 | Strike: 13.00 | Previous Close: 1.00 | Adjusted PE: 0.43 | Yield: 0.09%
Underlying: FINV | Expiration: 16-Jan-26 | Strike: 5.00 | Previous Close: 0.07 | Adjusted PE: 0.45 | Yield: 0.17%
Underlying: FINV | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.25 | Adjusted PE: 0.45 | Yield: 0.16%
Underlying: FINV | Expiration: 18-Dec-26 | Strike: 5.00 | Previous Close: 0.95 | Adjusted PE: 0.45 | Yield: 0.08%
Underlying: VNET | Expiration: 16-Jan-26 | Strike: 9.00 | Previous Close: 0.20 | Adjusted PE: 0.47 | Yield: 0.30%
Underlying: SABR | Expiration: 15-Jan-27 | Strike: 1.00 | Previous Close: 0.25 | Adjusted PE: 0.57 | Yield: 0.09%
Underlying: KPTI | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 0.61 | Yield: 0.13%
Underlying: CIG | Expiration: 18-Jun-26 | Strike: 2.00 | Previous Close: 0.25 | Adjusted PE: 0.70 | Yield: 0.11%
Underlying: MGNX | Expiration: 20-Feb-26 | Strike: 1.50 | Previous Close: 0.15 | Adjusted PE: 0.82 | Yield: 0.31%
Underlying: SRPT | Expiration: 15-Jan-27 | Strike: 10.00 | Previous Close: 1.60 | Adjusted PE: 0.92 | Yield: 0.06%
Underlying: GT | Expiration: 16-Jan-26 | Strike: 6.00 | Previous Close: 0.07 | Adjusted PE: 1.03 | Yield: 0.14%
Underlying: OEC | Expiration: 17-Jul-26 | Strike: 5.00 | Previous Close: 0.70 | Adjusted PE: 1.05 | Yield: 0.11%
Underlying: F | Expiration: 23-Jan-26 | Strike: 6.00 | Previous Close: 0.05 | Adjusted PE: 1.07 | Yield: 0.06%
