Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-16T04:38:02.589934200
Total Options: 65

These are tier 1 options:
Underlying: UMC | Expiration: 16-Jan-26 | Strike: 6.00 | Previous Close: 0.05 | Adjusted PE: 0.10 | Yield: 0.67%
Underlying: UMC | Expiration: 16-Jan-26 | Strike: 8.00 | Previous Close: 0.05 | Adjusted PE: 0.13 | Yield: 0.50%
Underlying: TSM | Expiration: 16-Jan-26 | Strike: 335.00 | Previous Close: 1.12 | Adjusted PE: 0.75 | Yield: 0.33%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 335.00 | Previous Close: 4.15 | Adjusted PE: 0.75 | Yield: 0.25%
Underlying: TSM | Expiration: 16-Jan-26 | Strike: 337.50 | Previous Close: 1.70 | Adjusted PE: 0.75 | Yield: 0.50%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 337.50 | Previous Close: 5.05 | Adjusted PE: 0.75 | Yield: 0.30%
Underlying: TSM | Expiration: 16-Jan-26 | Strike: 340.00 | Previous Close: 2.57 | Adjusted PE: 0.76 | Yield: 0.75%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 340.00 | Previous Close: 6.27 | Adjusted PE: 0.76 | Yield: 0.37%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 340.00 | Previous Close: 8.90 | Adjusted PE: 0.76 | Yield: 0.26%
Underlying: NTES | Expiration: 16-Jan-26 | Strike: 135.00 | Previous Close: 0.56 | Adjusted PE: 1.76 | Yield: 0.41%
Underlying: COP | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 0.26 | Adjusted PE: 3.58 | Yield: 0.39%
Underlying: COP | Expiration: 16-Jan-26 | Strike: 70.00 | Previous Close: 0.31 | Adjusted PE: 3.86 | Yield: 0.43%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 21.00 | Previous Close: 0.06 | Adjusted PE: 4.77 | Yield: 0.24%
Underlying: COP | Expiration: 16-Jan-26 | Strike: 98.00 | Previous Close: 0.35 | Adjusted PE: 5.40 | Yield: 0.35%
Underlying: COP | Expiration: 23-Jan-26 | Strike: 98.00 | Previous Close: 1.21 | Adjusted PE: 5.40 | Yield: 0.25%
Underlying: INMD | Expiration: 16-Jan-26 | Strike: 14.00 | Previous Close: 0.10 | Adjusted PE: 5.78 | Yield: 0.64%
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 60.00 | Previous Close: 0.23 | Adjusted PE: 7.87 | Yield: 0.37%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 730.00 | Previous Close: 21.00 | Adjusted PE: 8.08 | Yield: 0.29%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 735.00 | Previous Close: 3.00 | Adjusted PE: 8.13 | Yield: 0.41%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 735.00 | Previous Close: 20.66 | Adjusted PE: 8.13 | Yield: 0.28%
Underlying: REGN | Expiration: 16-Jan-26 | Strike: 740.00 | Previous Close: 3.70 | Adjusted PE: 8.19 | Yield: 0.50%
Underlying: LRN | Expiration: 16-Jan-26 | Strike: 65.00 | Previous Close: 0.30 | Adjusted PE: 8.53 | Yield: 0.45%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 4.00 | Adjusted PE: 8.53 | Yield: 0.26%
Underlying: ON | Expiration: 16-Jan-26 | Strike: 60.00 | Previous Close: 0.31 | Adjusted PE: 9.02 | Yield: 0.50%
