Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-21T04:37:08.472516200
Total Options: 85

These are tier 1 options:
Underlying: RDY | Expiration: 20-Feb-26 | Strike: 12.50 | Previous Close: 0.95 | Adjusted PE: 0.09 | Yield: 0.34%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 320.00 | Previous Close: 2.70 | Adjusted PE: 0.72 | Yield: 0.28%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 320.00 | Previous Close: 5.90 | Adjusted PE: 0.72 | Yield: 0.23%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 322.50 | Previous Close: 3.39 | Adjusted PE: 0.72 | Yield: 0.35%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 322.50 | Previous Close: 6.29 | Adjusted PE: 0.72 | Yield: 0.24%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 325.00 | Previous Close: 4.36 | Adjusted PE: 0.73 | Yield: 0.45%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 325.00 | Previous Close: 7.95 | Adjusted PE: 0.73 | Yield: 0.31%
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 9.80 | Adjusted PE: 0.73 | Yield: 0.23%
Underlying: COP | Expiration: 23-Jan-26 | Strike: 94.00 | Previous Close: 0.82 | Adjusted PE: 5.18 | Yield: 0.29%
Underlying: COP | Expiration: 23-Jan-26 | Strike: 95.00 | Previous Close: 0.91 | Adjusted PE: 5.24 | Yield: 0.32%
Underlying: COP | Expiration: 30-Jan-26 | Strike: 95.00 | Previous Close: 1.87 | Adjusted PE: 5.24 | Yield: 0.25%
Underlying: REGN | Expiration: 06-Feb-26 | Strike: 700.00 | Previous Close: 21.80 | Adjusted PE: 7.75 | Yield: 0.24%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 700.00 | Previous Close: 13.15 | Adjusted PE: 7.75 | Yield: 0.24%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 710.00 | Previous Close: 16.40 | Adjusted PE: 7.86 | Yield: 0.29%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 715.00 | Previous Close: 17.70 | Adjusted PE: 7.91 | Yield: 0.31%
