Sold Option Buy-to-Close Report - Option Scanner
Underlying: RDY
Strike: 12.5
Expiration: 2026-02-20
Type: put
Sold Date: 2026-01-21
Sold Price: 0.90
Total Trading Days: 22
Timestamp: 2026-01-21T07:18:02.828428800

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2026-01-21   1          0.85         0.81        
2026-01-22   2          0.81         0.73        
2026-01-23   3          0.77         0.65        
2026-01-26   4          0.73         0.57        
2026-01-27   5          0.69         0.49        
2026-01-28   6          0.65         0.40        
2026-01-29   7          0.61         0.32        
2026-01-30   8          0.57         0.24        
2026-02-02   9          0.53         0.16        
2026-02-03   10         0.49         0.08        
2026-02-04   11         0.45         0.22        
2026-02-05   12         0.40         0.16        
2026-02-06   13         0.36         0.10        
2026-02-09   14         0.32         0.04        
2026-02-10   15         0.28         0.13        
2026-02-11   16         0.24         0.08        
2026-02-12   17         0.20         0.03        
2026-02-13   18         0.16         0.07        
2026-02-17   19         0.12         0.02        
2026-02-18   20         0.08         0.03        
2026-02-19   21         0.04         0.01        
2026-02-20   22         0.00         0.00        
