Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-22T04:36:50.475675700
Total Options: 85

These are tier 1 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 11.00 | Previous Close: 0.95 | Adjusted PE: 0.18 | Yield: 0.41%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 320.00 | Previous Close: 1.79 | Adjusted PE: 0.72 | Yield: 0.28%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 322.50 | Previous Close: 2.50 | Adjusted PE: 0.72 | Yield: 0.39%
Underlying: TSM | Expiration: 23-Jan-26 | Strike: 325.00 | Previous Close: 3.50 | Adjusted PE: 0.73 | Yield: 0.54%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 325.00 | Previous Close: 6.90 | Adjusted PE: 0.73 | Yield: 0.30%
Underlying: ON | Expiration: 23-Jan-26 | Strike: 30.00 | Previous Close: 0.84 | Adjusted PE: 4.51 | Yield: 1.38%
Underlying: COP | Expiration: 23-Jan-26 | Strike: 97.00 | Previous Close: 0.83 | Adjusted PE: 5.35 | Yield: 0.42%
Underlying: COP | Expiration: 30-Jan-26 | Strike: 97.00 | Previous Close: 2.10 | Adjusted PE: 5.35 | Yield: 0.31%
Underlying: PLAB | Expiration: 20-Feb-26 | Strike: 35.00 | Previous Close: 1.75 | Adjusted PE: 6.16 | Yield: 0.24%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 32.00 | Previous Close: 1.75 | Adjusted PE: 7.27 | Yield: 0.26%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 715.00 | Previous Close: 13.10 | Adjusted PE: 7.91 | Yield: 0.26%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 720.00 | Previous Close: 17.40 | Adjusted PE: 7.97 | Yield: 0.35%
Underlying: REGN | Expiration: 06-Feb-26 | Strike: 720.00 | Previous Close: 20.10 | Adjusted PE: 7.97 | Yield: 0.23%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 725.00 | Previous Close: 16.45 | Adjusted PE: 8.02 | Yield: 0.32%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 730.00 | Previous Close: 20.00 | Adjusted PE: 8.08 | Yield: 0.39%
Underlying: REGN | Expiration: 30-Jan-26 | Strike: 735.00 | Previous Close: 19.45 | Adjusted PE: 8.13 | Yield: 0.38%
