Sold Option Buy-to-Close Report - Option Scanner
Underlying: UMC
Strike: 11.0
Expiration: 2026-02-20
Type: put
Sold Date: 2026-01-22
Sold Price: 0.90
Total Trading Days: 21
Timestamp: 2026-01-23T11:32:05.869001500

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2026-01-22   1          0.85         0.81        
2026-01-23   2          0.81         0.72        
2026-01-26   3          0.77         0.64        
2026-01-27   4          0.72         0.55        
2026-01-28   5          0.68         0.47        
2026-01-29   6          0.64         0.38        
2026-01-30   7          0.60         0.30        
2026-02-02   8          0.55         0.21        
2026-02-03   9          0.51         0.12        
2026-02-04   10         0.47         0.04        
2026-02-05   11         0.42         0.19        
2026-02-06   12         0.38         0.12        
2026-02-09   13         0.34         0.06        
2026-02-10   14         0.30         0.15        
2026-02-11   15         0.25         0.09        
2026-02-12   16         0.21         0.04        
2026-02-13   17         0.17         0.08        
2026-02-17   18         0.12         0.03        
2026-02-18   19         0.08         0.03        
2026-02-19   20         0.04         0.01        
2026-02-20   21         0.00         0.00        
