Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-26T14:30:52.522348700
Total Options: 52

These are tier 1 options:
These are tier 2 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.43 | Adjusted PE: 0.17 | Yield: 0.22%
These are tier 3 options:
Underlying: UMC | Expiration: 20-Mar-26 | Strike: 10.00 | Previous Close: 0.65 | Adjusted PE: 0.17 | Yield: 0.16%
These are tier 4 options:
Underlying: STLA | Expiration: 27-Feb-26 | Strike: 9.00 | Previous Close: 0.34 | Adjusted PE: 1.20 | Yield: 0.15%
Underlying: STLA | Expiration: 30-Jan-26 | Strike: 9.50 | Previous Close: 0.13 | Adjusted PE: 1.27 | Yield: 0.25%
Underlying: STLA | Expiration: 06-Feb-26 | Strike: 9.50 | Previous Close: 0.20 | Adjusted PE: 1.27 | Yield: 0.20%
Underlying: STLA | Expiration: 13-Feb-26 | Strike: 9.50 | Previous Close: 0.28 | Adjusted PE: 1.27 | Yield: 0.19%
Underlying: STLA | Expiration: 27-Feb-26 | Strike: 9.50 | Previous Close: 0.43 | Adjusted PE: 1.27 | Yield: 0.18%
Underlying: STLA | Expiration: 20-Feb-26 | Strike: 9.50 | Previous Close: 0.32 | Adjusted PE: 1.27 | Yield: 0.17%
Underlying: SSTK | Expiration: 15-May-26 | Strike: 17.50 | Previous Close: 1.85 | Adjusted PE: 3.64 | Yield: 0.14%
Underlying: ISSC | Expiration: 17-Apr-26 | Strike: 17.50 | Previous Close: 1.35 | Adjusted PE: 11.94 | Yield: 0.13%
These are tier 5 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 9.00 | Previous Close: 0.19 | Adjusted PE: 0.15 | Yield: 0.11%
Underlying: UMC | Expiration: 20-Mar-26 | Strike: 9.00 | Previous Close: 0.33 | Adjusted PE: 0.15 | Yield: 0.09%
Underlying: UMC | Expiration: 17-Jul-26 | Strike: 10.00 | Previous Close: 1.32 | Adjusted PE: 0.17 | Yield: 0.11%
Underlying: STLA | Expiration: 20-Mar-26 | Strike: 9.00 | Previous Close: 0.45 | Adjusted PE: 1.20 | Yield: 0.13%
Underlying: STLA | Expiration: 06-Mar-26 | Strike: 9.00 | Previous Close: 0.32 | Adjusted PE: 1.20 | Yield: 0.12%
Underlying: STLA | Expiration: 20-Feb-26 | Strike: 9.00 | Previous Close: 0.20 | Adjusted PE: 1.20 | Yield: 0.11%
Underlying: STLA | Expiration: 06-Feb-26 | Strike: 9.00 | Previous Close: 0.10 | Adjusted PE: 1.20 | Yield: 0.10%
Underlying: CRNT | Expiration: 20-Feb-26 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 2.34 | Yield: 0.16%
Underlying: GPK | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.49 | Adjusted PE: 2.44 | Yield: 0.17%
Underlying: MTLS | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 3.51 | Yield: 0.20%
Underlying: FIVN | Expiration: 20-Mar-26 | Strike: 15.00 | Previous Close: 0.67 | Adjusted PE: 5.13 | Yield: 0.11%
Underlying: FIVN | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.33 | Adjusted PE: 5.13 | Yield: 0.11%
Underlying: FIVN | Expiration: 17-Apr-26 | Strike: 15.00 | Previous Close: 0.85 | Adjusted PE: 5.13 | Yield: 0.10%
Underlying: INMD | Expiration: 20-Feb-26 | Strike: 13.00 | Previous Close: 0.26 | Adjusted PE: 5.37 | Yield: 0.10%
Underlying: FIVN | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 1.10 | Adjusted PE: 5.98 | Yield: 0.33%
Underlying: FIVN | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 1.51 | Adjusted PE: 5.98 | Yield: 0.22%
Underlying: HLIT | Expiration: 17-Apr-26 | Strike: 10.00 | Previous Close: 0.90 | Adjusted PE: 6.94 | Yield: 0.15%
Underlying: HLIT | Expiration: 17-Jul-26 | Strike: 10.00 | Previous Close: 1.10 | Adjusted PE: 6.94 | Yield: 0.09%
Underlying: OPRA | Expiration: 20-Mar-26 | Strike: 13.00 | Previous Close: 0.85 | Adjusted PE: 7.38 | Yield: 0.17%
Underlying: OPRA | Expiration: 20-Feb-26 | Strike: 13.00 | Previous Close: 0.40 | Adjusted PE: 7.38 | Yield: 0.16%
Underlying: OPRA | Expiration: 15-May-26 | Strike: 13.00 | Previous Close: 1.20 | Adjusted PE: 7.38 | Yield: 0.12%
Underlying: CX | Expiration: 20-Feb-26 | Strike: 12.00 | Previous Close: 0.22 | Adjusted PE: 7.68 | Yield: 0.09%
Underlying: NRDS | Expiration: 20-Feb-26 | Strike: 12.50 | Previous Close: 0.80 | Adjusted PE: 8.69 | Yield: 0.33%
Underlying: STVN | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.35 | Adjusted PE: 8.84 | Yield: 0.12%
Underlying: AMRX | Expiration: 18-Jun-26 | Strike: 12.50 | Previous Close: 1.45 | Adjusted PE: 25.95 | Yield: 0.11%
Underlying: AMRX | Expiration: 20-Mar-26 | Strike: 12.50 | Previous Close: 0.50 | Adjusted PE: 25.95 | Yield: 0.10%
Underlying: RFIL | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.35 | Adjusted PE: 32.72 | Yield: 0.18%
