Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-26T14:31:13.078473600
Total Options: 89

These are tier 1 options:
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 330.00 | Previous Close: 4.56 | Adjusted PE: 0.74 | Yield: 0.28%
Underlying: TSM | Expiration: 30-Jan-26 | Strike: 332.50 | Previous Close: 5.31 | Adjusted PE: 0.74 | Yield: 0.32%
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 332.50 | Previous Close: 7.70 | Adjusted PE: 0.74 | Yield: 0.23%
Underlying: COP | Expiration: 30-Jan-26 | Strike: 98.00 | Previous Close: 1.39 | Adjusted PE: 5.40 | Yield: 0.28%
Underlying: COP | Expiration: 06-Feb-26 | Strike: 98.00 | Previous Close: 2.31 | Adjusted PE: 5.40 | Yield: 0.24%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 2.88 | Adjusted PE: 8.53 | Yield: 0.23%
Underlying: ALKS | Expiration: 20-Feb-26 | Strike: 33.00 | Previous Close: 1.95 | Adjusted PE: 8.64 | Yield: 0.31%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 58.00 | Previous Close: 2.29 | Adjusted PE: 8.72 | Yield: 0.26%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 59.00 | Previous Close: 2.45 | Adjusted PE: 8.87 | Yield: 0.28%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 59.00 | Previous Close: 0.76 | Adjusted PE: 8.87 | Yield: 0.25%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 59.00 | Previous Close: 2.60 | Adjusted PE: 8.87 | Yield: 0.23%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 60.00 | Previous Close: 1.09 | Adjusted PE: 9.02 | Yield: 0.36%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 60.00 | Previous Close: 2.85 | Adjusted PE: 9.02 | Yield: 0.32%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 60.00 | Previous Close: 1.65 | Adjusted PE: 9.02 | Yield: 0.27%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 2.96 | Adjusted PE: 9.02 | Yield: 0.26%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 61.00 | Previous Close: 1.57 | Adjusted PE: 9.17 | Yield: 0.51%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 61.00 | Previous Close: 3.25 | Adjusted PE: 9.17 | Yield: 0.35%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 61.00 | Previous Close: 3.40 | Adjusted PE: 9.17 | Yield: 0.29%
Underlying: ON | Expiration: 27-Feb-26 | Strike: 61.00 | Previous Close: 3.45 | Adjusted PE: 9.17 | Yield: 0.24%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 70.00 | Previous Close: 4.75 | Adjusted PE: 9.19 | Yield: 0.36%
Underlying: ACLS | Expiration: 20-Feb-26 | Strike: 90.00 | Previous Close: 5.42 | Adjusted PE: 9.24 | Yield: 0.32%
Underlying: XOM | Expiration: 30-Jan-26 | Strike: 134.00 | Previous Close: 1.65 | Adjusted PE: 9.77 | Yield: 0.25%
