Sold Option Buy-to-Close Report - Option Scanner
Underlying: ISSC
Strike: 17.5
Expiration: 2026-02-20
Type: put
Sold Date: 2026-01-27
Sold Price: 0.95
Total Trading Days: 18
Timestamp: 2026-01-27T07:08:05.180177900

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2026-01-27   1          0.89         0.84        
2026-01-28   2          0.84         0.73        
2026-01-29   3          0.79         0.63        
2026-01-30   4          0.73         0.52        
2026-02-02   5          0.68         0.42        
2026-02-03   6          0.63         0.31        
2026-02-04   7          0.58         0.21        
2026-02-05   8          0.52         0.10        
2026-02-06   9          0.47         0.23        
2026-02-09   10         0.42         0.15        
2026-02-10   11         0.36         0.07        
2026-02-11   12         0.31         0.15        
2026-02-12   13         0.26         0.09        
2026-02-13   14         0.21         0.02        
2026-02-17   15         0.15         0.06        
2026-02-18   16         0.10         0.05        
2026-02-19   17         0.05         0.02        
2026-02-20   18         0.00         0.00        
