Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-28T08:07:58.887582800
Total Options: 51

These are tier 1 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 12.00 | Previous Close: 0.77 | Adjusted PE: 0.20 | Yield: 0.37%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 0.75 | Adjusted PE: 11.94 | Yield: 0.25%
These are tier 2 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 11.00 | Previous Close: 0.42 | Adjusted PE: 0.18 | Yield: 0.22%
Underlying: UMC | Expiration: 20-Mar-26 | Strike: 12.00 | Previous Close: 0.95 | Adjusted PE: 0.20 | Yield: 0.21%
These are tier 3 options:
Underlying: UMC | Expiration: 17-Apr-26 | Strike: 12.00 | Previous Close: 1.15 | Adjusted PE: 0.20 | Yield: 0.17%
Underlying: ISSC | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 1.10 | Adjusted PE: 11.94 | Yield: 0.17%
These are tier 4 options:
Underlying: UMC | Expiration: 20-Mar-26 | Strike: 11.00 | Previous Close: 0.65 | Adjusted PE: 0.18 | Yield: 0.16%
Underlying: STLA | Expiration: 30-Jan-26 | Strike: 9.50 | Previous Close: 0.07 | Adjusted PE: 1.27 | Yield: 0.21%
Underlying: STLA | Expiration: 06-Feb-26 | Strike: 9.50 | Previous Close: 0.17 | Adjusted PE: 1.27 | Yield: 0.21%
Underlying: STLA | Expiration: 13-Feb-26 | Strike: 9.50 | Previous Close: 0.24 | Adjusted PE: 1.27 | Yield: 0.19%
Underlying: STLA | Expiration: 20-Feb-26 | Strike: 9.50 | Previous Close: 0.30 | Adjusted PE: 1.27 | Yield: 0.18%
These are tier 5 options:
Underlying: UMC | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.20 | Adjusted PE: 0.17 | Yield: 0.11%
Underlying: UMC | Expiration: 17-Apr-26 | Strike: 11.00 | Previous Close: 0.73 | Adjusted PE: 0.18 | Yield: 0.12%
Underlying: UMC | Expiration: 17-Jul-26 | Strike: 12.00 | Previous Close: 1.70 | Adjusted PE: 0.20 | Yield: 0.12%
Underlying: STLA | Expiration: 20-Mar-26 | Strike: 9.00 | Previous Close: 0.35 | Adjusted PE: 1.20 | Yield: 0.10%
Underlying: STLA | Expiration: 20-Feb-26 | Strike: 9.00 | Previous Close: 0.16 | Adjusted PE: 1.20 | Yield: 0.10%
Underlying: STLA | Expiration: 13-Feb-26 | Strike: 9.00 | Previous Close: 0.12 | Adjusted PE: 1.20 | Yield: 0.09%
Underlying: CRNT | Expiration: 20-Feb-26 | Strike: 2.00 | Previous Close: 0.07 | Adjusted PE: 2.34 | Yield: 0.16%
Underlying: GPK | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.70 | Adjusted PE: 2.44 | Yield: 0.27%
Underlying: MTLS | Expiration: 20-Feb-26 | Strike: 5.00 | Previous Close: 0.20 | Adjusted PE: 3.51 | Yield: 0.20%
Underlying: SSTK | Expiration: 15-May-26 | Strike: 17.50 | Previous Close: 1.45 | Adjusted PE: 3.64 | Yield: 0.11%
Underlying: FIVN | Expiration: 20-Mar-26 | Strike: 15.00 | Previous Close: 0.67 | Adjusted PE: 5.13 | Yield: 0.11%
Underlying: FIVN | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.33 | Adjusted PE: 5.13 | Yield: 0.11%
Underlying: FIVN | Expiration: 17-Apr-26 | Strike: 15.00 | Previous Close: 0.85 | Adjusted PE: 5.13 | Yield: 0.10%
Underlying: INMD | Expiration: 20-Feb-26 | Strike: 13.00 | Previous Close: 0.26 | Adjusted PE: 5.37 | Yield: 0.10%
Underlying: FIVN | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 1.10 | Adjusted PE: 5.98 | Yield: 0.33%
Underlying: FIVN | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 1.51 | Adjusted PE: 5.98 | Yield: 0.22%
Underlying: HLIT | Expiration: 17-Apr-26 | Strike: 10.00 | Previous Close: 0.90 | Adjusted PE: 6.94 | Yield: 0.15%
Underlying: HLIT | Expiration: 17-Jul-26 | Strike: 10.00 | Previous Close: 1.10 | Adjusted PE: 6.94 | Yield: 0.09%
Underlying: OPRA | Expiration: 17-Apr-26 | Strike: 12.50 | Previous Close: 0.75 | Adjusted PE: 7.10 | Yield: 0.11%
Underlying: OPRA | Expiration: 20-Feb-26 | Strike: 13.00 | Previous Close: 0.29 | Adjusted PE: 7.38 | Yield: 0.13%
Underlying: CX | Expiration: 20-Feb-26 | Strike: 12.00 | Previous Close: 0.25 | Adjusted PE: 7.68 | Yield: 0.12%
Underlying: CX | Expiration: 20-Mar-26 | Strike: 12.00 | Previous Close: 0.46 | Adjusted PE: 7.68 | Yield: 0.10%
Underlying: NRDS | Expiration: 20-Feb-26 | Strike: 12.50 | Previous Close: 0.80 | Adjusted PE: 8.69 | Yield: 0.33%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 15.00 | Previous Close: 0.30 | Adjusted PE: 10.23 | Yield: 0.11%
Underlying: AMRX | Expiration: 18-Jun-26 | Strike: 12.50 | Previous Close: 1.45 | Adjusted PE: 25.95 | Yield: 0.11%
Underlying: AMRX | Expiration: 20-Mar-26 | Strike: 12.50 | Previous Close: 0.50 | Adjusted PE: 25.95 | Yield: 0.10%
Underlying: RFIL | Expiration: 20-Feb-26 | Strike: 10.00 | Previous Close: 0.60 | Adjusted PE: 32.72 | Yield: 0.35%
These are tier 6 options:
Underlying: UMC | Expiration: 20-Mar-26 | Strike: 10.00 | Previous Close: 0.34 | Adjusted PE: 0.17 | Yield: 0.09%
Underlying: KPTI | Expiration: 17-Apr-26 | Strike: 2.50 | Previous Close: 0.80 | Adjusted PE: 0.30 | Yield: 0.55%
Underlying: VNET | Expiration: 15-Jan-27 | Strike: 7.00 | Previous Close: 1.25 | Adjusted PE: 0.37 | Yield: 0.07%
Underlying: SOGP | Expiration: 20-Mar-26 | Strike: 12.50 | Previous Close: 2.30 | Adjusted PE: 0.37 | Yield: 0.50%
Underlying: MLCO | Expiration: 30-Jan-26 | Strike: 1.00 | Previous Close: 0.02 | Adjusted PE: 0.41 | Yield: 0.33%
Underlying: VNET | Expiration: 20-Feb-26 | Strike: 8.00 | Previous Close: 0.18 | Adjusted PE: 0.42 | Yield: 0.11%
Underlying: FINV | Expiration: 20-Mar-26 | Strike: 5.00 | Previous Close: 0.35 | Adjusted PE: 0.45 | Yield: 0.18%
