These are covered call options for owned stock: UMC
Dollar Cost Average (Basis): $12.00
Generated on: 2026-01-28 16:57:52

Underlying | Expiration   | Strike   | Previous Close | Yield
--------------------------------------------------------------------------------
UMC        |    20-FEB-26 |    12.00 |           1.25 |   0.61%
UMC        |    20-FEB-26 |    13.00 |           0.85 |   0.41%
UMC        |    20-MAR-26 |    12.00 |           1.49 |   0.33%
UMC        |    17-APR-26 |    12.00 |           1.85 |   0.27%
UMC        |    20-MAR-26 |    13.00 |           1.04 |   0.23%
UMC        |    20-FEB-26 |    14.00 |           0.45 |   0.22%
UMC        |    17-APR-26 |    13.00 |           1.26 |   0.19%
UMC        |    20-FEB-26 |    15.00 |           0.34 |   0.16%
UMC        |    17-APR-26 |    14.00 |           1.00 |   0.15%
UMC        |    17-JUL-26 |    16.00 |           2.08 |   0.15%
UMC        |    20-MAR-26 |    14.00 |           0.65 |   0.14%
UMC        |    17-JUL-26 |    12.00 |           1.76 |   0.12%
UMC        |    20-FEB-26 |    16.00 |           0.24 |   0.11%
UMC        |    17-APR-26 |    15.00 |           0.75 |   0.11%
UMC        |    20-MAR-26 |    15.00 |           0.48 |   0.11%
UMC        |    17-JUL-26 |    13.00 |           1.50 |   0.11%
UMC        |    17-JUL-26 |    14.00 |           1.30 |   0.09%
UMC        |    17-APR-26 |    16.00 |           0.62 |   0.09%
UMC        |    15-JAN-27 |    12.00 |           2.40 |   0.08%
UMC        |    20-MAR-26 |    16.00 |           0.35 |   0.08%
UMC        |    20-MAR-26 |    17.00 |           0.25 |   0.05%
UMC        |    15-JAN-27 |    15.00 |           1.55 |   0.05%
UMC        |    20-FEB-26 |    20.00 |           0.10 |   0.04%
UMC        |    20-MAR-26 |    18.00 |           0.18 |   0.04%
UMC        |    15-JAN-27 |    17.00 |           1.06 |   0.04%
UMC        |    15-JAN-27 |    20.00 |           0.79 |   0.03%

Total covered calls found: 26
