Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-02-02T06:57:29.928513900
Total Options: 146

These are tier 1 options:
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 4.25 | Adjusted PE: 0.52 | Yield: 0.26%
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 5.10 | Adjusted PE: 0.52 | Yield: 0.31%
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 330.00 | Previous Close: 6.19 | Adjusted PE: 0.52 | Yield: 0.38%
Underlying: TSM | Expiration: 13-Feb-26 | Strike: 330.00 | Previous Close: 8.55 | Adjusted PE: 0.52 | Yield: 0.26%
Underlying: NTES | Expiration: 20-Feb-26 | Strike: 125.00 | Previous Close: 4.30 | Adjusted PE: 1.63 | Yield: 0.25%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 65.00 | Previous Close: 2.88 | Adjusted PE: 8.53 | Yield: 0.23%
Underlying: ALKS | Expiration: 20-Feb-26 | Strike: 33.00 | Previous Close: 1.95 | Adjusted PE: 8.64 | Yield: 0.31%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 58.00 | Previous Close: 2.29 | Adjusted PE: 8.72 | Yield: 0.26%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 59.00 | Previous Close: 2.45 | Adjusted PE: 8.87 | Yield: 0.28%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 59.00 | Previous Close: 0.76 | Adjusted PE: 8.87 | Yield: 0.25%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 59.00 | Previous Close: 2.60 | Adjusted PE: 8.87 | Yield: 0.23%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 60.00 | Previous Close: 1.09 | Adjusted PE: 9.02 | Yield: 0.36%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 60.00 | Previous Close: 2.85 | Adjusted PE: 9.02 | Yield: 0.32%
Underlying: ON | Expiration: 06-Feb-26 | Strike: 60.00 | Previous Close: 1.65 | Adjusted PE: 9.02 | Yield: 0.27%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 60.00 | Previous Close: 2.96 | Adjusted PE: 9.02 | Yield: 0.26%
Underlying: ON | Expiration: 30-Jan-26 | Strike: 61.00 | Previous Close: 1.57 | Adjusted PE: 9.17 | Yield: 0.51%
Underlying: ON | Expiration: 13-Feb-26 | Strike: 61.00 | Previous Close: 3.25 | Adjusted PE: 9.17 | Yield: 0.35%
Underlying: ON | Expiration: 20-Feb-26 | Strike: 61.00 | Previous Close: 3.40 | Adjusted PE: 9.17 | Yield: 0.29%
Underlying: ON | Expiration: 27-Feb-26 | Strike: 61.00 | Previous Close: 3.45 | Adjusted PE: 9.17 | Yield: 0.24%
Underlying: LRN | Expiration: 20-Feb-26 | Strike: 70.00 | Previous Close: 4.75 | Adjusted PE: 9.19 | Yield: 0.36%
Underlying: ACLS | Expiration: 20-Feb-26 | Strike: 90.00 | Previous Close: 5.42 | Adjusted PE: 9.24 | Yield: 0.32%
Underlying: TNC | Expiration: 20-Feb-26 | Strike: 75.00 | Previous Close: 2.50 | Adjusted PE: 9.62 | Yield: 0.24%
Underlying: META | Expiration: 02-Feb-26 | Strike: 707.50 | Previous Close: 2.31 | Adjusted PE: 9.71 | Yield: 0.33%
Underlying: META | Expiration: 04-Feb-26 | Strike: 707.50 | Previous Close: 5.30 | Adjusted PE: 9.71 | Yield: 0.25%
Underlying: META | Expiration: 02-Feb-26 | Strike: 710.00 | Previous Close: 2.80 | Adjusted PE: 9.75 | Yield: 0.39%
Underlying: META | Expiration: 04-Feb-26 | Strike: 710.00 | Previous Close: 6.40 | Adjusted PE: 9.75 | Yield: 0.30%
Underlying: META | Expiration: 06-Feb-26 | Strike: 710.00 | Previous Close: 8.73 | Adjusted PE: 9.75 | Yield: 0.25%
Underlying: META | Expiration: 09-Feb-26 | Strike: 710.00 | Previous Close: 9.84 | Adjusted PE: 9.75 | Yield: 0.23%
Underlying: META | Expiration: 02-Feb-26 | Strike: 712.50 | Previous Close: 3.50 | Adjusted PE: 9.78 | Yield: 0.49%
Underlying: META | Expiration: 04-Feb-26 | Strike: 712.50 | Previous Close: 7.20 | Adjusted PE: 9.78 | Yield: 0.34%
Underlying: META | Expiration: 06-Feb-26 | Strike: 712.50 | Previous Close: 9.75 | Adjusted PE: 9.78 | Yield: 0.27%
Underlying: META | Expiration: 09-Feb-26 | Strike: 712.50 | Previous Close: 10.87 | Adjusted PE: 9.78 | Yield: 0.25%
Underlying: META | Expiration: 02-Feb-26 | Strike: 715.00 | Previous Close: 4.69 | Adjusted PE: 9.81 | Yield: 0.66%
Underlying: META | Expiration: 04-Feb-26 | Strike: 715.00 | Previous Close: 8.35 | Adjusted PE: 9.81 | Yield: 0.39%
Underlying: META | Expiration: 06-Feb-26 | Strike: 715.00 | Previous Close: 11.00 | Adjusted PE: 9.81 | Yield: 0.31%
Underlying: META | Expiration: 09-Feb-26 | Strike: 715.00 | Previous Close: 11.50 | Adjusted PE: 9.81 | Yield: 0.27%
Underlying: META | Expiration: 11-Feb-26 | Strike: 715.00 | Previous Close: 13.50 | Adjusted PE: 9.81 | Yield: 0.24%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 47.00 | Previous Close: 2.25 | Adjusted PE: 10.68 | Yield: 0.25%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 48.00 | Previous Close: 2.65 | Adjusted PE: 10.90 | Yield: 0.29%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 49.00 | Previous Close: 3.10 | Adjusted PE: 11.13 | Yield: 0.33%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 86.00 | Previous Close: 1.00 | Adjusted PE: 11.84 | Yield: 0.23%
Underlying: ISSC | Expiration: 20-Feb-26 | Strike: 17.50 | Previous Close: 1.30 | Adjusted PE: 11.94 | Yield: 0.53%
Underlying: ISSC | Expiration: 20-Mar-26 | Strike: 17.50 | Previous Close: 1.70 | Adjusted PE: 11.94 | Yield: 0.28%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 87.00 | Previous Close: 1.10 | Adjusted PE: 11.98 | Yield: 0.25%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 88.00 | Previous Close: 1.35 | Adjusted PE: 12.12 | Yield: 0.31%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 89.00 | Previous Close: 1.10 | Adjusted PE: 12.25 | Yield: 0.25%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 90.00 | Previous Close: 1.75 | Adjusted PE: 12.39 | Yield: 0.39%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 90.00 | Previous Close: 2.17 | Adjusted PE: 12.39 | Yield: 0.24%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 91.00 | Previous Close: 1.78 | Adjusted PE: 12.53 | Yield: 0.39%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 91.00 | Previous Close: 2.30 | Adjusted PE: 12.53 | Yield: 0.25%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 92.00 | Previous Close: 2.23 | Adjusted PE: 12.67 | Yield: 0.48%
